id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
977952009,PC02-2018-06-27_05-00.flac,2018 Markham Ravine Main,2018,6,27,5,0,sp11,Simple Call,40.5188,41.2677,2239,13609,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/06/26/9ybmw14am4sr/4871fcb6-2c7b-c11a-37d7-21e599043848.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733271896&Signature=zo3U54OQJKxrMFuAymC1a1894m0%3D,0.203128,3348
977952010,PC02-2018-06-28_15-00.flac,2018 Markham Ravine Main,2018,6,28,15,0,sp11,Simple Call,27.2428,27.9917,2239,13609,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/06/28/9ybmw14am4sr/85c729cb-f0e6-0c6a-38f3-39d393fe7c04.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733271896&Signature=penMMhE3Wrme0Yc%2FUt6gGDm%2FeTY%3D,0.215304,3348
977952011,PC02-2018-06-29_05-40.flac,2018 Markham Ravine Main,2018,6,29,5,40,sp11,Simple Call,48.9477,49.6965,2239,13609,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/06/28/9ybmw14am4sr/e99d8f00-c618-470f-efc0-7f9ceb8f61fb.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733271896&Signature=hMojwcqcTFO3LF%2F3j91Qzouw8t4%3D,0.241135,3348
977952012,PC02-2018-06-29_16-20.flac,2018 Markham Ravine Main,2018,6,29,16,20,sp11,Simple Call,17.2002,17.949,2239,13609,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/06/29/9ybmw14am4sr/985b0a9e-327a-2fe2-ad71-31c5e81d237d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733271896&Signature=4Z66HGz5h1TZb0CZcOfOZssLNWI%3D,0.213244,3348
977952013,PC02-2018-06-29_14-00.flac,2018 Markham Ravine Main,2018,6,29,14,0,sp11,Simple Call,47.5196,48.2685,2239,13609,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/06/29/9ybmw14am4sr/8887acee-6433-bc0e-dcd3-b7ad992e3f80.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733271896&Signature=zzbW0ltrDjdtDEGcNnT%2B5ubFZc8%3D,0.2166,3348
977952014,PC02-2018-06-30_11-00.flac,2018 Markham Ravine Main,2018,6,30,11,0,sp11,Simple Call,43.0498,43.7986,2239,13609,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/06/30/9ybmw14am4sr/89b1ab2f-a291-a1e0-6297-c7962a6815e6.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733271896&Signature=ZsYicICGPXv7IozpxZUfz7MN4rQ%3D,0.274622,3348
977952015,PC02-2018-06-30_15-00.flac,2018 Markham Ravine Main,2018,6,30,15,0,sp11,Simple Call,18.3263,19.0752,2239,13609,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/06/30/9ybmw14am4sr/2b67e21f-fd3c-9c3b-056b-604629e34807.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733271896&Signature=Txhqt0SUH0gNBjTo8JlbAzEksuk%3D,0.228689,3348
977952016,PC02-2018-07-02_06-40.flac,2018 Markham Ravine Main,2018,7,2,6,40,sp11,Simple Call,34.4178,35.1666,2239,13609,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/07/01/9ybmw14am4sr/e603854c-f858-4e48-2579-0fed542e1522.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733271896&Signature=STEBu2E1I2at5lTWklqWpG1oSt4%3D,0.227224,3348
977952018,PC02-2018-07-10_07-40.flac,2018 Markham Ravine Main,2018,7,10,7,40,sp11,Simple Call,38.5451,39.294,2239,13609,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/07/10/9ybmw14am4sr/fed8cf5e-cd12-4caf-a684-54de217c6139.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733271896&Signature=Isert0IiTBmJH0u703l7cXT9ilE%3D,0.301914,3348
977952019,PC02-2018-07-10_10-00.flac,2018 Markham Ravine Main,2018,7,10,10,0,sp11,Simple Call,11.8886,12.6375,2239,13609,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/07/10/9ybmw14am4sr/d92ebc70-89f2-fcd8-134b-fc34353dccf0.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733271896&Signature=Rrh3ETKFDwLljZFnbv3xtCb3G0A%3D,0.214333,3348
