id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
953069712,IPam-2019-06-09_15-00.flac,2019 Iron Point,2019,6,9,15,0,Agelaius tricolor,Courtship Song,27.952,28.8907,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/06/09/vb2q1x59znxe/965ebd7d-97c7-3f94-131c-b07489cde47f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741865731&Signature=3kcL94jkzrkroSSBtFJ6BqmPpbs%3D,0.251577,4979
953069713,IPam-2019-06-09_14-00.flac,2019 Iron Point,2019,6,9,14,0,Agelaius tricolor,Courtship Song,41.4667,42.4053,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/06/09/vb2q1x59znxe/41f9bbff-4d7d-bcdd-0c52-8ba2fa1c14e7.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741865731&Signature=w8gI4LwdwfaShiK5CXWGdpjk8Vc%3D,0.305312,4979
953069714,IPam-2019-06-09_12-00.flac,2019 Iron Point,2019,6,9,12,0,Agelaius tricolor,Courtship Song,46.1493,47.088,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/06/09/vb2q1x59znxe/ca4a4e18-5535-29d5-6fd6-34d6fefe52c0.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741865731&Signature=%2FISTyCO%2BYi2SrkdRW3miGSDHguw%3D,0.326341,4979
953069715,IPam-2019-06-09_11-00.flac,2019 Iron Point,2019,6,9,11,0,Agelaius tricolor,Courtship Song,25.104,26.0427,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/06/09/vb2q1x59znxe/9e0f87c0-8e9f-39a4-f15c-6a4741a4eb52.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741865731&Signature=ABn%2F2HktVMUtnucCMIOmVsJbsQQ%3D,0.298783,4979
953069716,IPam-2019-06-09_10-00.flac,2019 Iron Point,2019,6,9,10,0,Agelaius tricolor,Courtship Song,3.82933,4.768,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/06/09/vb2q1x59znxe/7cf8dcbe-370e-abd9-39bc-9a6fb7171c4e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741865731&Signature=coMLCKr4phaxjnQ56jVjTxR3heo%3D,0.213999,4979
953072582,IPam-2019-07-09_03-00.flac,2019 Iron Point,2019,7,9,3,0,Agelaius tricolor,Courtship Song,32.4,33.3387,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/07/08/vb2q1x59znxe/02c0e159-ca98-09f3-33ef-b4f37124db14.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741865731&Signature=5VXJ%2Bc64yLlr2MoAtxOS9ynnq24%3D,0.411481,4979
953072583,IPam-2019-07-09_02-00.flac,2019 Iron Point,2019,7,9,2,0,Agelaius tricolor,Courtship Song,55.2427,56.1813,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/07/08/vb2q1x59znxe/2dfb2ce2-bc92-25bf-47f9-f5a57b65190c.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741865731&Signature=HwtBCh3OChAH6HTPePUEmiZvdLI%3D,0.270153,4979
953072584,IPam-2019-07-09_01-00.flac,2019 Iron Point,2019,7,9,1,0,Agelaius tricolor,Courtship Song,26.4053,27.344,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/07/08/vb2q1x59znxe/2ca3bbfd-78f2-94fb-b331-09cc9f25afb1.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741865731&Signature=60%2Bun3VdMcrt0T%2BRC9A%2FShG64tc%3D,0.463935,4979
953072585,IPam-2019-07-09_00-00.flac,2019 Iron Point,2019,7,9,0,0,Agelaius tricolor,Courtship Song,48.8,49.7387,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/07/08/vb2q1x59znxe/9bf1b7aa-3020-4ad3-2611-52f079bc3fba.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741865731&Signature=ZUVDYFTHVYLwK7SmQjEDk7Wqkok%3D,0.345179,4979
953072586,IPam-2019-07-08_23-00.flac,2019 Iron Point,2019,7,8,23,0,Agelaius tricolor,Courtship Song,24.832,25.7707,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/07/08/vb2q1x59znxe/2162bd2a-8dc3-ba69-ce80-acd44d0a7c99.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741865731&Signature=tZz5DyalAo1C51V%2FjOD7eObXdWg%3D,0.266566,4979
953072587,IPam-2019-07-08_22-00.flac,2019 Iron Point,2019,7,8,22,0,Agelaius tricolor,Courtship Song,55.8347,56.7733,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/07/08/vb2q1x59znxe/261e713e-0347-dd57-8f23-6440f03d117d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741865731&Signature=YHQBgvoUk2Mjjc9P3w1uWIUDLbQ%3D,0.225987,4979
953072588,IPam-2019-07-08_21-00.flac,2019 Iron Point,2019,7,8,21,0,Agelaius tricolor,Courtship Song,10.9067,11.8453,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/07/08/vb2q1x59znxe/cc22924b-e70b-e334-478d-bc3969e461cf.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741865731&Signature=JAz4nkfzABGT4bdDhl7Jodfk%2BNg%3D,0.221918,4979
953072589,IPam-2019-07-08_17-00.flac,2019 Iron Point,2019,7,8,17,0,Agelaius tricolor,Courtship Song,12.704,13.6427,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/07/08/vb2q1x59znxe/3aa0cf48-b45b-b457-625b-d6a1cceb3e43.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741865731&Signature=f3PPV9tbjQSu5be3%2BvB31dl1rco%3D,0.210344,4979
