id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
196007655,HLam-2020-07-06_05-40.flac,2020 Hay Landfill AM,2020,7,6,5,40,Agelaius tricolor,Alternative Song,57.77066666666666,58.965333333333334,2625,7218.75,24000,(not validated),https://arbimon.rfcx.org/api/project/tricolored-blackbird-breeding-phenology/recordings/download/10304932,0.2097884562207894,6199
196007656,HLam-2020-07-07_06-20.flac,2020 Hay Landfill AM,2020,7,7,6,20,Agelaius tricolor,Alternative Song,45.19466666666667,46.38933333333333,2625,7218.75,24000,(not validated),https://arbimon.rfcx.org/api/project/tricolored-blackbird-breeding-phenology/recordings/download/10304966,0.20605574602523521,6199
196007657,HLam-2020-07-07_08-20.flac,2020 Hay Landfill AM,2020,7,7,8,20,Agelaius tricolor,Alternative Song,13.978666666666667,15.173333333333334,2625,7218.75,24000,(not validated),https://arbimon.rfcx.org/api/project/tricolored-blackbird-breeding-phenology/recordings/download/10304970,0.2295832803407889,6199
196007658,HLam-2020-07-07_09-20.flac,2020 Hay Landfill AM,2020,7,7,9,20,Agelaius tricolor,Alternative Song,28.096,29.290666666666667,2625,7218.75,24000,(not validated),https://arbimon.rfcx.org/api/project/tricolored-blackbird-breeding-phenology/recordings/download/10304972,0.24039370652304662,6199
196007659,HLam-2020-07-07_09-40.flac,2020 Hay Landfill AM,2020,7,7,9,40,Agelaius tricolor,Alternative Song,34.565333333333335,35.76,2625,7218.75,24000,(not validated),https://arbimon.rfcx.org/api/project/tricolored-blackbird-breeding-phenology/recordings/download/10304973,0.22719542006601254,6199
196007660,HLam-2020-07-08_06-40.flac,2020 Hay Landfill AM,2020,7,8,6,40,Agelaius tricolor,Alternative Song,12.128,13.322666666666667,2625,7218.75,24000,(not validated),https://arbimon.rfcx.org/api/project/tricolored-blackbird-breeding-phenology/recordings/download/10304999,0.2092355780904034,6199
196007661,HLam-2020-07-09_06-40.flac,2020 Hay Landfill AM,2020,7,9,6,40,Agelaius tricolor,Alternative Song,12.549333333333333,13.744,2625,7218.75,24000,(not validated),https://arbimon.rfcx.org/api/project/tricolored-blackbird-breeding-phenology/recordings/download/10305031,0.2005877321473483,6199
196007662,HLam-2020-07-09_07-40.flac,2020 Hay Landfill AM,2020,7,9,7,40,Agelaius tricolor,Alternative Song,35.40266666666667,36.59733333333333,2625,7218.75,24000,(not validated),https://arbimon.rfcx.org/api/project/tricolored-blackbird-breeding-phenology/recordings/download/10305033,0.22835383646451088,6199
196007663,HLam-2020-07-09_08-20.flac,2020 Hay Landfill AM,2020,7,9,8,20,Agelaius tricolor,Alternative Song,10.906666666666666,12.101333333333333,2625,7218.75,24000,(not validated),https://arbimon.rfcx.org/api/project/tricolored-blackbird-breeding-phenology/recordings/download/10305034,0.20873650958863213,6199
196007664,HLam-2020-07-09_08-40.flac,2020 Hay Landfill AM,2020,7,9,8,40,Agelaius tricolor,Alternative Song,12.56,13.754666666666667,2625,7218.75,24000,(not validated),https://arbimon.rfcx.org/api/project/tricolored-blackbird-breeding-phenology/recordings/download/10305035,0.21038366556771754,6199
196007665,HLam-2020-07-09_09-20.flac,2020 Hay Landfill AM,2020,7,9,9,20,Agelaius tricolor,Alternative Song,22.037333333333333,23.232,2625,7218.75,24000,(not validated),https://arbimon.rfcx.org/api/project/tricolored-blackbird-breeding-phenology/recordings/download/10305036,0.20268404990026256,6199
196007666,HLam-2020-07-09_10-20.flac,2020 Hay Landfill AM,2020,7,9,10,20,Agelaius tricolor,Alternative Song,43.568,44.76266666666667,2625,7218.75,24000,(not validated),https://arbimon.rfcx.org/api/project/tricolored-blackbird-breeding-phenology/recordings/download/10305038,0.24313624839044365,6199
196007734,HLam-2020-02-21_07-20.flac,2020 Hay Landfill AM,2020,2,21,7,20,Agelaius tricolor,Alternative Song,15.701333333333332,16.896,2625,7218.75,24000,(not validated),https://arbimon.rfcx.org/api/project/tricolored-blackbird-breeding-phenology/recordings/download/10300587,0.2083541997354059,6199
196007815,HLam-2020-07-02_07-00.flac,2020 Hay Landfill AM,2020,7,2,7,0,Agelaius tricolor,Alternative Song,21.610666666666667,22.805333333333333,2625,7218.75,24000,(not validated),https://arbimon.rfcx.org/api/project/tricolored-blackbird-breeding-phenology/recordings/download/7564399,0.2616788681558125,6199
