id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
890144706,CNWR27-2am-2021-06-20_20-30.flac,2021 Colusa NWR 27-2,2021,6,20,20,30,Agelaius tricolor,Courtship Song,7.36,8.29867,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/20/dhdmw6lfmxr3/4043a4da-6b92-2a50-b8d4-c0991305bd75.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741866406&Signature=1Mn6oF0V%2Be92Ax6IXoS1LGdBBDU%3D,0.37783,24221
890144707,CNWR27-2am-2021-06-21_14-30.flac,2021 Colusa NWR 27-2,2021,6,21,14,30,Agelaius tricolor,Courtship Song,34.384,35.3227,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/21/dhdmw6lfmxr3/c8a80611-fa00-4d54-03e2-f0b789a51d80.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741866406&Signature=C%2FRsE%2FD%2BJ3zG%2BuVsrUJ7MGjEhmU%3D,0.317856,24221
890144708,CNWR27-2am-2021-06-21_14-40.flac,2021 Colusa NWR 27-2,2021,6,21,14,40,Agelaius tricolor,Courtship Song,18.8907,19.8293,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/21/dhdmw6lfmxr3/c8c324bf-9a6b-1288-0528-01bf48e3fb0f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741866406&Signature=%2F0q%2FrIcMrKwn8HxuzYaf5wusaSQ%3D,0.308076,24221
890144709,CNWR27-2am-2021-06-21_14-50.flac,2021 Colusa NWR 27-2,2021,6,21,14,50,Agelaius tricolor,Courtship Song,36.8053,37.744,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/21/dhdmw6lfmxr3/cb2787a3-f5a1-b607-9f9f-e934cfc4a185.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741866406&Signature=NjvhnOJNyKqsEkl64HOqTZZuu18%3D,0.269724,24221
890144710,CNWR27-2am-2021-06-21_15-00.flac,2021 Colusa NWR 27-2,2021,6,21,15,0,Agelaius tricolor,Courtship Song,41.584,42.5227,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/21/dhdmw6lfmxr3/4a46f397-f715-c4eb-999d-51a89a790445.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741866406&Signature=bF8%2FIs6INFWxdgceQvi43l%2Byk5g%3D,0.36608,24221
890144711,CNWR27-2am-2021-06-21_16-10.flac,2021 Colusa NWR 27-2,2021,6,21,16,10,Agelaius tricolor,Courtship Song,42.624,43.5627,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/21/dhdmw6lfmxr3/36b8c746-75fd-ac4e-6735-904f651ec70a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741866406&Signature=oL5JwLmiKLBrec7UtA54%2FaGYdKQ%3D,0.298846,24221
890144712,CNWR27-2am-2021-06-21_16-20.flac,2021 Colusa NWR 27-2,2021,6,21,16,20,Agelaius tricolor,Courtship Song,31.7707,32.7093,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/21/dhdmw6lfmxr3/9e511e06-f0f8-4f3d-00f0-a467dd497378.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741866406&Signature=FEdmlXZfaGLkVAz%2Fp8QQHkjOkVs%3D,0.433396,24221
890144713,CNWR27-2am-2021-06-21_16-30.flac,2021 Colusa NWR 27-2,2021,6,21,16,30,Agelaius tricolor,Courtship Song,15.5253,16.464,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/21/dhdmw6lfmxr3/e74c42aa-2961-5462-2a0b-7d36e16469ae.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741866406&Signature=df%2BERmI1E4GyOQ0grtrpGi2WfOE%3D,0.319462,24221
890144714,CNWR27-2am-2021-06-21_16-40.flac,2021 Colusa NWR 27-2,2021,6,21,16,40,Agelaius tricolor,Courtship Song,34.1973,35.136,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/21/dhdmw6lfmxr3/b4837644-a8f5-df80-55bb-899d5a6a7c44.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741866406&Signature=AfauVmuoNpEqeHblNaU1rzWoqPg%3D,0.327145,24221
890144715,CNWR27-2am-2021-04-22_00-00.flac,2021 Colusa NWR 27-2,2021,4,22,0,0,Agelaius tricolor,Courtship Song,39.1147,40.0533,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/21/dhdmw6lfmxr3/de2e0e34-d6e3-cf73-4a7e-c8dfe3afeec3.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741866406&Signature=ZhCjWs8UVwPZ9S8XlEmMAqgbyc4%3D,0.465222,24221
890144716,CNWR27-2am-2021-04-22_07-10.flac,2021 Colusa NWR 27-2,2021,4,22,7,10,Agelaius tricolor,Courtship Song,57.8187,58.7573,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/22/dhdmw6lfmxr3/a3fb7eb8-5839-d814-d5aa-d26591b7e53c.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741866406&Signature=acrZFHx2YzZQn9w8NfS%2FJmlcM%2FE%3D,0.497424,24221
890144717,CNWR27-2am-2021-04-22_07-20.flac,2021 Colusa NWR 27-2,2021,4,22,7,20,Agelaius tricolor,Courtship Song,14.96,15.8987,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/22/dhdmw6lfmxr3/6852e93b-ce89-d92b-e7f0-aa6e47723d81.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741866406&Signature=gmWwRbfOehaqU7ONvMwRdrUAdPg%3D,0.516578,24221
