id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
721834340,ConEam-2021-06-21_09-40.flac,2021 Conaway East,2021,6,21,9,40,sp22,Simple Call,30.1973,31.4027,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/21/wtgi6n9j1v4g/71fe5176-e855-f90f-3d3b-1db27ca6e46e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1731739802&Signature=zorYYzZ9jt4RsD8MFmP7bKWjmhY%3D,0.223886,21652
721834341,ConEam-2021-06-22_08-00.flac,2021 Conaway East,2021,6,22,8,0,sp22,Simple Call,31.984,33.1893,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/22/wtgi6n9j1v4g/9f0a785d-ada0-0734-d129-a120dd498106.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1731739802&Signature=3%2Bdl2K2834IPtlE1Pa0TCBS9v9Q%3D,0.275408,21652
721834342,ConEam-2021-06-22_08-40.flac,2021 Conaway East,2021,6,22,8,40,sp22,Simple Call,6.688,7.89333,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/22/wtgi6n9j1v4g/587478a3-73f2-5fff-c216-6ff8e1cd9112.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1731739802&Signature=cMZOgCmw4ttsn%2BfzJNtVKwu0lpk%3D,0.285196,21652
721834343,ConEam-2021-06-22_09-20.flac,2021 Conaway East,2021,6,22,9,20,sp22,Simple Call,11.232,12.4373,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/22/wtgi6n9j1v4g/faae41dd-0da3-5c54-6e5d-f5bff890a16b.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1731739802&Signature=VJthqAd8aNNHYgpcreJ5lTXnlZk%3D,0.220822,21652
721834344,ConEam-2021-06-22_10-40.flac,2021 Conaway East,2021,6,22,10,40,sp22,Simple Call,39.808,41.0133,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/22/wtgi6n9j1v4g/633dfe4a-659e-5669-71b1-88ce39ce32a8.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1731739802&Signature=IY9ZqPGn1O8AN76jVXSkyRdS46M%3D,0.227647,21652
721834345,ConEam-2021-06-22_15-20.flac,2021 Conaway East,2021,6,22,15,20,sp22,Simple Call,58.336,59.5413,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/22/wtgi6n9j1v4g/eb659f14-752c-fc60-4ea3-44a3c39eaffa.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1731739802&Signature=7uMHYAOsbILxybsuSgTesFJtAAo%3D,0.209406,21652
721834346,ConEam-2021-06-22_17-00.flac,2021 Conaway East,2021,6,22,17,0,sp22,Simple Call,33.136,34.3413,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/22/wtgi6n9j1v4g/b0e8be4b-e1aa-eddf-dd75-30a5733c128e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1731739802&Signature=DsV6ps5gcePSSZeabVNpBdZLJDU%3D,0.225542,21652
721834347,ConEam-2021-06-22_18-20.flac,2021 Conaway East,2021,6,22,18,20,sp22,Simple Call,42.8373,44.0427,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/22/wtgi6n9j1v4g/83547c3f-4427-f3eb-5724-746610ce7d55.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1731739802&Signature=tKNA4oPpOLEHpEsG8tuFfXLKYgQ%3D,0.21937,21652
721834348,ConEam-2021-06-23_06-20.flac,2021 Conaway East,2021,6,23,6,20,sp22,Simple Call,52.3253,53.5307,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/22/wtgi6n9j1v4g/6195c607-c2fb-6206-1edc-1e615b40a9c4.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1731739802&Signature=mksFKZB%2FzQFKMdQ2iXmKSt1y3HY%3D,0.28318,21652
721834349,ConEam-2021-06-23_08-40.flac,2021 Conaway East,2021,6,23,8,40,sp22,Simple Call,50.3893,51.5947,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/23/wtgi6n9j1v4g/f2ffaa4b-3438-0183-b3a4-4d38b32d97ad.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1731739802&Signature=jKo4XvEkNCKkBXMi3Axn5xCrcTY%3D,0.205019,21652
721834350,ConEam-2021-06-23_12-20.flac,2021 Conaway East,2021,6,23,12,20,sp22,Simple Call,7.93067,9.136,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/23/wtgi6n9j1v4g/b651e244-5f3d-cc6e-3d98-89db324e4757.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1731739802&Signature=ao70MEsHmC6ptsKuFPMlyIGp%2BX8%3D,0.218653,21652
721834351,ConEam-2021-06-23_15-40.flac,2021 Conaway East,2021,6,23,15,40,sp22,Simple Call,28.2507,29.456,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/23/wtgi6n9j1v4g/741a169a-44c1-000a-7caf-317e89ec033e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1731739802&Signature=XcUym%2BrGXuiAatkbTnR3chuGZnc%3D,0.225558,21652
721834352,ConEam-2021-06-23_16-00.flac,2021 Conaway East,2021,6,23,16,0,sp22,Simple Call,57.0987,58.304,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/23/wtgi6n9j1v4g/8b07a31c-be98-79cc-044f-293339201a60.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1731739802&Signature=jmLSLfsNpaP%2BCfHH0LSzKdzT%2FN0%3D,0.209793,21652
