id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
697358870,HLam-2021-04-26_16-40.flac,2021 Hay Landfill,2021,4,26,16,40,Agelaius tricolor,Simple Call 2,18.7093,19.104,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/26/plikxkdrqa5t/d4f85530-c774-3cd9-cf8d-c1d9dc75a805.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733273436&Signature=gt4d02EMF%2B8pQabpKHIfTfcpP%2Fc%3D,0.334554,11101
697358871,HLam-2021-04-26_17-00.flac,2021 Hay Landfill,2021,4,26,17,0,Agelaius tricolor,Simple Call 2,31.6907,32.0853,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/26/plikxkdrqa5t/e87267f6-cd18-e2b7-82ba-eb8947142080.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733273436&Signature=EyXbUmQHZIoVcrxRsTyvlKpfPc0%3D,0.364765,11101
697358872,HLam-2021-04-26_17-20.flac,2021 Hay Landfill,2021,4,26,17,20,Agelaius tricolor,Simple Call 2,6.26133,6.656,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/26/plikxkdrqa5t/62f431d8-4385-b417-065a-922915d16480.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733273436&Signature=BzkbBV1OPx8tZYZeYRQHvxho294%3D,0.40016,11101
697358873,HLam-2021-04-26_18-40.flac,2021 Hay Landfill,2021,4,26,18,40,Agelaius tricolor,Simple Call 2,8.864,9.25867,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/26/plikxkdrqa5t/11e02ead-5388-3c29-8306-bfdee0f70422.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733273436&Signature=RMMgLr1E8YPqUNlHoMvmS8bJ9sw%3D,0.352095,11101
697358874,HLam-2021-04-26_19-00.flac,2021 Hay Landfill,2021,4,26,19,0,Agelaius tricolor,Simple Call 2,1.04533,1.44,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/26/plikxkdrqa5t/91ddd4f7-b08b-20e0-91b2-7b615c7450c9.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733273436&Signature=JFwZib8L0W1a4AxvJy3PTYvRyG0%3D,0.27903,11101
697358875,HLam-2021-04-27_09-20.flac,2021 Hay Landfill,2021,4,27,9,20,Agelaius tricolor,Simple Call 2,0.0266667,0.421333,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/27/plikxkdrqa5t/e021856d-0bc6-7a47-8307-2ae31ec87ac8.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733273436&Signature=Ooq4eD%2FeapcjMMud8k9gvgmod7E%3D,0.223132,11101
697358876,HLam-2021-04-26_17-40.flac,2021 Hay Landfill,2021,4,26,17,40,Agelaius tricolor,Simple Call 2,56.8587,57.2533,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/26/plikxkdrqa5t/02d818f1-b2a6-d22b-a148-554c33ad9f99.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733273436&Signature=BJunvCpaFCYYZwbYdYd8sgAozSA%3D,0.304132,11101
697358877,HLam-2021-04-26_18-00.flac,2021 Hay Landfill,2021,4,26,18,0,Agelaius tricolor,Simple Call 2,59.0453,59.44,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/26/plikxkdrqa5t/493685f3-cffd-70d7-ffe9-7c10b41a056f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733273436&Signature=T2TW2tObhcTjvFexMuIk2KUFLdk%3D,0.419321,11101
697358878,HLam-2021-04-27_10-20.flac,2021 Hay Landfill,2021,4,27,10,20,Agelaius tricolor,Simple Call 2,3.888,4.28267,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/27/plikxkdrqa5t/6f512a4d-e7ab-117d-badd-46bd4eb8b8cf.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733273436&Signature=drRwDnLd0mMCv2KsnygluACX8Sc%3D,0.310999,11101
697358879,HLam-2021-04-27_10-40.flac,2021 Hay Landfill,2021,4,27,10,40,Agelaius tricolor,Simple Call 2,52.4,52.7947,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/27/plikxkdrqa5t/7ef0567e-8ea4-4560-9a00-f52b2c3235e2.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733273436&Signature=B7P6GOoR0LxghgoL9RjuW8EbilQ%3D,0.342225,11101
697358880,HLam-2021-04-27_11-00.flac,2021 Hay Landfill,2021,4,27,11,0,Agelaius tricolor,Simple Call 2,42.224,42.6187,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/27/plikxkdrqa5t/a9536c61-c10f-0d31-1866-189d8fec1f5e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733273436&Signature=Lv3rVyf0wTlM0IrI%2FV72RgGQTNQ%3D,0.393303,11101
697358881,HLam-2021-04-27_11-20.flac,2021 Hay Landfill,2021,4,27,11,20,Agelaius tricolor,Simple Call 2,8.752,9.14667,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/27/plikxkdrqa5t/efef4ca0-23de-c882-8ed9-6c5035fcf6e4.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733273436&Signature=nmtfoZbiBgVuD816fZERmcAQk5k%3D,0.353064,11101
697358882,HLam-2021-04-27_11-40.flac,2021 Hay Landfill,2021,4,27,11,40,Agelaius tricolor,Simple Call 2,39.0987,39.4933,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/27/plikxkdrqa5t/d4a40568-9b4e-45c4-bd94-5de31416ee3e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733273436&Signature=NoWXvXtgsKeYatG8lF0xJGF2iZg%3D,0.304717,11101
697358883,HLam-2021-04-27_12-00.flac,2021 Hay Landfill,2021,4,27,12,0,Agelaius tricolor,Simple Call 2,14.0693,14.464,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/27/plikxkdrqa5t/bb073854-6e4c-5c39-ea14-4ad79c8671cb.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733273436&Signature=rd80SwnGSqteUPMWR1G91uxup74%3D,0.314723,11101
697358884,HLam-2021-04-27_12-20.flac,2021 Hay Landfill,2021,4,27,12,20,Agelaius tricolor,Simple Call 2,55.7493,56.144,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/27/plikxkdrqa5t/8f816e34-ab59-7b42-3003-3318eac5fd47.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733273436&Signature=Egta6PxVmXjO8pIGL2neeUQDDQU%3D,0.343643,11101
697358885,HLam-2021-04-27_12-40.flac,2021 Hay Landfill,2021,4,27,12,40,Agelaius tricolor,Simple Call 2,16.592,16.9867,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/27/plikxkdrqa5t/6d7569d7-56ce-d8e1-fa66-db70be291e31.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733273436&Signature=dXm8RkrGJnSYVXKpiT6E7IaTLdc%3D,0.37656,11101
697358886,HLam-2021-04-27_13-00.flac,2021 Hay Landfill,2021,4,27,13,0,Agelaius tricolor,Simple Call 2,40.7467,41.1413,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/27/plikxkdrqa5t/ef56b35c-82ab-6196-705d-c9480a676299.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733273436&Signature=5t7aAPEJl4vUL4sOk37jVAPM72Y%3D,0.285918,11101
697358887,HLam-2021-04-27_13-20.flac,2021 Hay Landfill,2021,4,27,13,20,Agelaius tricolor,Simple Call 2,25.6373,26.032,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/27/plikxkdrqa5t/3ee57c62-83df-c284-fb08-f3ca093f9061.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733273436&Signature=h41uLwaUr5hQHOfvOZ%2FZbOu%2BFdk%3D,0.406594,11101
697358888,HLam-2021-04-27_13-40.flac,2021 Hay Landfill,2021,4,27,13,40,Agelaius tricolor,Simple Call 2,4.45333,4.848,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/27/plikxkdrqa5t/db1ccc09-b17e-b711-95a7-4821e862bc5f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733273436&Signature=DVgwYKvW%2FrjHQ6fGBz4VatsfNog%3D,0.316163,11101
697358889,HLam-2021-04-27_14-00.flac,2021 Hay Landfill,2021,4,27,14,0,Agelaius tricolor,Simple Call 2,41.4347,41.8293,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/27/plikxkdrqa5t/302ac277-bf13-63ea-1799-3eb956df4936.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733273436&Signature=3ckp0KsCKHcj9iF8uwa4iAZDgiE%3D,0.368376,11101
697358890,HLam-2021-04-27_14-20.flac,2021 Hay Landfill,2021,4,27,14,20,Agelaius tricolor,Simple Call 2,17.3227,17.7173,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/27/plikxkdrqa5t/ea3523bb-799c-77f4-3c25-5016fef11bae.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733273436&Signature=XvaadPowCAODBJ8vCLPageED%2FMw%3D,0.378186,11101
697358891,HLam-2021-04-27_14-40.flac,2021 Hay Landfill,2021,4,27,14,40,Agelaius tricolor,Simple Call 2,21.6053,22,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/27/plikxkdrqa5t/bbd1bcbe-f6a6-cd12-3389-93ddd6b7bfde.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733273436&Signature=Byeuwa7UZ8fIyYK8V4SvTc1oT3c%3D,0.367478,11101
697358892,HLam-2021-04-27_15-00.flac,2021 Hay Landfill,2021,4,27,15,0,Agelaius tricolor,Simple Call 2,52.3413,52.736,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/27/plikxkdrqa5t/559a613c-62ad-edb3-ef01-c69b02ea0f6e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733273436&Signature=3zsE4NH4PXkYykic8y7xYz2Bo%2F8%3D,0.30906,11101
697358893,HLam-2021-04-27_15-20.flac,2021 Hay Landfill,2021,4,27,15,20,Agelaius tricolor,Simple Call 2,15.664,16.0587,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/27/plikxkdrqa5t/d0fe2d49-1fbc-1431-867f-27b06d4fa86d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733273436&Signature=OUWCb64DLYOoBhO7Z2cpLwwKo%2Bg%3D,0.37863,11101
697358894,HLam-2021-04-27_15-40.flac,2021 Hay Landfill,2021,4,27,15,40,Agelaius tricolor,Simple Call 2,46.1653,46.56,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/27/plikxkdrqa5t/49f29b77-d299-9aed-bf60-256dd7537185.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733273436&Signature=vjBCVy3sFs%2FjbcY9yDJiEmkiq7c%3D,0.316767,11101
697358895,HLam-2021-04-27_16-00.flac,2021 Hay Landfill,2021,4,27,16,0,Agelaius tricolor,Simple Call 2,34.2453,34.64,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/27/plikxkdrqa5t/b90a2aaf-2a71-ca23-8570-efc2f52dccb9.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733273436&Signature=r4pedywgyN9Gds757RLzb3BTZ7I%3D,0.458004,11101
