id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
721889101,K1am-2021-06-27_05-20.WAV,2021 Kern 1,2021,6,27,5,20,sp22,Simple Call,56.528,57.7333,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/27/78s0ndag7cvk/b6b96ffc-c3e2-48d3-a259-028b78182d4d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1731740305&Signature=Y4%2B%2BYT2psP4J58SpF%2B8x8T30s%2FM%3D,0.252439,24606
721889102,K1am-2021-06-26_10-40.WAV,2021 Kern 1,2021,6,26,10,40,sp22,Simple Call,40.1653,41.3707,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/26/78s0ndag7cvk/d22d0d09-faca-46fc-a8e9-2c25894ac6af.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1731740305&Signature=SrdgaZ95bD5lL32bkBG98qasmDo%3D,0.253994,24606
721889103,K1am-2021-06-25_07-00.WAV,2021 Kern 1,2021,6,25,7,0,sp22,Simple Call,13.9893,15.1947,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/25/78s0ndag7cvk/bb1d90e7-8e8b-4b7b-8371-ede58a11bb76.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1731740305&Signature=JfQhj0jM1ZbLr%2BjJ2f6%2BzokbfXE%3D,0.239423,24606
721889104,K1am-2021-06-24_18-00.WAV,2021 Kern 1,2021,6,24,18,0,sp22,Simple Call,54.1173,55.3227,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/25/78s0ndag7cvk/6a8a2df7-e649-42c9-aafd-43333b239001.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1731740305&Signature=6Gb0y6C03h%2F94xd5zDEwfsZ%2BY1I%3D,0.244312,24606
721889105,K1am-2021-06-25_06-20.WAV,2021 Kern 1,2021,6,25,6,20,sp22,Simple Call,31.0187,32.224,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/25/78s0ndag7cvk/6176697e-a9a0-49c1-a3c6-cbeef3b94229.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1731740305&Signature=RtrIEsUUjb3y9jDBEXSddSW5hGQ%3D,0.201519,24606
721889106,K1am-2021-06-25_15-20.WAV,2021 Kern 1,2021,6,25,15,20,sp22,Simple Call,52.8373,54.0427,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/25/78s0ndag7cvk/4679597e-93d5-4e3d-9500-a6f985a51992.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1731740305&Signature=EK%2FjuCRrseTso17MYRNNJiEnU0w%3D,0.214415,24606
721889107,K1am-2021-06-24_20-20.WAV,2021 Kern 1,2021,6,24,20,20,sp22,Simple Call,49.7387,50.944,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/25/78s0ndag7cvk/e8ae444d-84f7-480b-9284-556ba16d7951.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1731740305&Signature=EjQfjytTJpocVVVXxJHe9MPvyBU%3D,0.202539,24606
721889108,K1am-2021-06-23_07-40.WAV,2021 Kern 1,2021,6,23,7,40,sp22,Simple Call,44.7413,45.9467,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/23/78s0ndag7cvk/0ec4b8b4-2e51-423b-a6ac-2cf140074116.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1731740305&Signature=sNaAC6oDcrHVtdosv4Z2pppAFHI%3D,0.279773,24606
721889109,K1am-2021-06-24_15-40.WAV,2021 Kern 1,2021,6,24,15,40,sp22,Simple Call,34.3947,35.6,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/24/78s0ndag7cvk/f988a3f0-136a-44a0-88db-6232e23c5380.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1731740305&Signature=OpUglF01%2B7Mk3q8eTQKE4m8sDkU%3D,0.274532,24606
721889110,K1am-2021-06-24_05-20.WAV,2021 Kern 1,2021,6,24,5,20,sp22,Simple Call,9.81867,11.024,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/24/78s0ndag7cvk/ccaeff9c-02a7-43b1-a441-ed86fe385c27.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1731740305&Signature=PrbSKX02u636dX66EbYF2GXe9zw%3D,0.235413,24606
721889111,K1am-2021-06-23_05-40.WAV,2021 Kern 1,2021,6,23,5,40,sp22,Simple Call,0.784,1.98933,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/23/78s0ndag7cvk/8e8ceec7-914e-4c7b-9cf2-21f2eac53ebf.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1731740305&Signature=Ug1kYZWXnzWuuy8dLKzea4nXKQo%3D,0.230495,24606
721889112,K1am-2021-06-23_05-20.WAV,2021 Kern 1,2021,6,23,5,20,sp22,Simple Call,32.1387,33.344,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/23/78s0ndag7cvk/4d37bcf1-667f-493c-a04b-f7844efa71b0.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1731740305&Signature=EI8psBTG1%2BUhsYdxZ6FH9oBU3OU%3D,0.228397,24606
721889113,K1am-2021-06-22_05-40.WAV,2021 Kern 1,2021,6,22,5,40,sp22,Simple Call,36.8107,38.016,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/22/78s0ndag7cvk/15b8ff6b-96a1-4cbb-9b1e-0c50e09b4b7e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1731740305&Signature=EKZMcW%2BrEJGXc9jJzq%2BMYStOpbE%3D,0.21135,24606
721889114,K1am-2021-06-20_11-00.WAV,2021 Kern 1,2021,6,20,11,0,sp22,Simple Call,32.4533,33.6587,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/20/78s0ndag7cvk/976d39e6-421a-41ec-a488-85efa2f6092d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1731740305&Signature=BLVp6cLLGGCLTFFubzbhpWetM6o%3D,0.241356,24606
721889115,K1am-2021-06-22_15-40.WAV,2021 Kern 1,2021,6,22,15,40,sp22,Simple Call,30.6773,31.8827,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/22/78s0ndag7cvk/cbb48cab-5462-4231-9402-13b6d6d20858.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1731740305&Signature=zGRnq%2BSqKK2mEAzAecP08ktE%2BVs%3D,0.24215,24606
721889116,K1am-2021-06-21_20-20.WAV,2021 Kern 1,2021,6,21,20,20,sp22,Simple Call,17.248,18.4533,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/22/78s0ndag7cvk/9ef7d02d-cbab-4fca-98bc-a343e54df415.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1731740305&Signature=rA6Cg0npyuVlM%2FfIQk9ArYgpabA%3D,0.302241,24606
721889117,K1am-2021-06-20_06-20.WAV,2021 Kern 1,2021,6,20,6,20,sp22,Simple Call,40.512,41.7173,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/20/78s0ndag7cvk/ff45596a-6bf5-4bf1-9763-c94273f86719.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1731740305&Signature=hiAmiVXazduFd7Lf94nQsB00iDE%3D,0.284303,24606
721889118,K1am-2021-06-19_20-00.WAV,2021 Kern 1,2021,6,19,20,0,sp22,Simple Call,17.872,19.0773,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/20/78s0ndag7cvk/62352e76-e3ba-4ad1-bb7b-d8ad6b3eb72c.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1731740305&Signature=TIOEtZ7awS7iRtjqvr57W6WPwtM%3D,0.221498,24606
721889119,K1am-2021-06-20_05-00.WAV,2021 Kern 1,2021,6,20,5,0,sp22,Simple Call,12.4213,13.6267,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/20/78s0ndag7cvk/25abaab6-3fab-4b2e-865a-f383df81f01d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1731740305&Signature=XG8v1giPNVN6w1%2BAeVJXPzIb8wI%3D,0.205943,24606
721889120,K1am-2021-06-20_05-20.WAV,2021 Kern 1,2021,6,20,5,20,sp22,Simple Call,33.616,34.8213,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/20/78s0ndag7cvk/848f6399-21ca-4766-8689-d79070135e1e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1731740305&Signature=Ks4Eqotyr%2F9dKionsfeLNJDISbI%3D,0.255015,24606
721889121,K1am-2021-06-19_05-00.WAV,2021 Kern 1,2021,6,19,5,0,sp22,Simple Call,12.5973,13.8027,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/19/78s0ndag7cvk/558ffb19-1053-4b76-ad15-a51f09546a9c.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1731740305&Signature=kebUjai8L5JaUZuXeAX8aaYtd9Y%3D,0.245565,24606
721889122,K1am-2021-06-19_11-20.WAV,2021 Kern 1,2021,6,19,11,20,sp22,Simple Call,44.9013,46.1067,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/19/78s0ndag7cvk/36f16248-e761-4273-a63e-88ba07785a83.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1731740305&Signature=cbr6mpopNptci9U%2F3mHJqTK5NmA%3D,0.236612,24606
