id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
901669409,K3am-2021-05-01_18-00.WAV,2021 Kern 3,2021,5,1,18,0,Agelaius tricolor,Courtship Song,49.2107,50.1493,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/05/02/81cqy10ep7pa/c95fad42-7d1f-419d-b086-693a2fa8abb1.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733273600&Signature=qA2uDD5Cz6evDrY3MZBc5o2r%2Bzs%3D,0.283893,24641
901669410,K3am-2021-04-30_11-20.WAV,2021 Kern 3,2021,4,30,11,20,Agelaius tricolor,Courtship Song,22.7253,23.664,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/30/81cqy10ep7pa/c2f345f5-a09c-48da-9db0-6b56bb0a1e7f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733273600&Signature=FZCWlK0c%2FeqRDnXko4doDWG%2BJuE%3D,0.463422,24641
901669411,K3am-2021-04-30_06-40.WAV,2021 Kern 3,2021,4,30,6,40,Agelaius tricolor,Courtship Song,1.56267,2.50133,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/30/81cqy10ep7pa/03aafffd-7fd6-476a-bb66-b7ef722140ad.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733273600&Signature=wnZ55e1rLeiL1ZTzdj11H%2FeQxhk%3D,0.370502,24641
901669412,K3am-2021-04-30_10-20.WAV,2021 Kern 3,2021,4,30,10,20,Agelaius tricolor,Courtship Song,35.7653,36.704,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/30/81cqy10ep7pa/86e9eec1-1562-40ad-beaf-f795d4e27ce1.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733273600&Signature=FH1s2AhrGZjL2TCASoO23doEBBM%3D,0.255187,24641
901669413,K3am-2021-05-01_07-00.WAV,2021 Kern 3,2021,5,1,7,0,Agelaius tricolor,Courtship Song,54.6933,55.632,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/05/01/81cqy10ep7pa/b8b3716b-9a1d-45bc-80d6-e9b71592e635.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733273600&Signature=Vvn6MyUKXLbAsSK0twHk71GSKJQ%3D,0.318409,24641
901669414,K3am-2021-04-29_08-20.WAV,2021 Kern 3,2021,4,29,8,20,Agelaius tricolor,Courtship Song,5.52,6.45867,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/29/81cqy10ep7pa/9bef0490-adf4-4b9f-aeee-04e3a73f486d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733273600&Signature=XHKTVzibi0iSKU5PyfrtDhGi8lM%3D,0.309521,24641
901669415,K3am-2021-04-29_18-20.WAV,2021 Kern 3,2021,4,29,18,20,Agelaius tricolor,Courtship Song,17.712,18.6507,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/30/81cqy10ep7pa/7c902a06-de4d-4532-b562-0ae7ec1d8c11.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733273600&Signature=j7jBKLIYoOjI0LcMy%2FklNft8TNk%3D,0.374322,24641
901669416,K3am-2021-04-30_18-40.WAV,2021 Kern 3,2021,4,30,18,40,Agelaius tricolor,Courtship Song,51.0773,52.016,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/05/01/81cqy10ep7pa/39cf5d0e-7cee-47b2-84d3-b200d12d90af.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733273600&Signature=XKDHmnv7hSZqvUPD1h7skquCONI%3D,0.305386,24641
901669417,K3am-2021-04-30_15-00.WAV,2021 Kern 3,2021,4,30,15,0,Agelaius tricolor,Courtship Song,13.7387,14.6773,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/30/81cqy10ep7pa/2094c675-4617-4114-94d2-88e1e482ca89.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733273600&Signature=eYihFZ2p2AkgM%2F3zxQnCX9tlJbA%3D,0.232916,24641
901669418,K3am-2021-04-28_19-40.WAV,2021 Kern 3,2021,4,28,19,40,Agelaius tricolor,Courtship Song,30.4427,31.3813,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/29/81cqy10ep7pa/2f525f16-2e7d-429f-90a6-55fb0e93d7f6.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733273600&Signature=NMYhNzjwJB4HKKOnxlJiotrybbA%3D,0.378681,24641
