id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
197182026,PCP1Wam-2021-04-05_17-00.flac,2021 Panoche Creek Preserve 1W,2021,4,5,17,0,Agelaius tricolor,Common Song,34.54933333333334,37.28,93.75,3093.75,24000,present,https://arbimon.rfcx.org/api/project/tricolored-blackbird-breeding-phenology/recordings/download/52699484,0.22578129681125975,24233
197182027,PCP1Wam-2021-04-05_17-20.flac,2021 Panoche Creek Preserve 1W,2021,4,5,17,20,Agelaius tricolor,Common Song,11.818666666666667,14.549333333333333,93.75,3093.75,24000,present,https://arbimon.rfcx.org/api/project/tricolored-blackbird-breeding-phenology/recordings/download/52699487,0.20687389926631755,24233
197182028,PCP1Wam-2021-04-05_22-00.flac,2021 Panoche Creek Preserve 1W,2021,4,5,22,0,Agelaius tricolor,Common Song,33.093333333333334,35.824,93.75,3093.75,24000,(not validated),https://arbimon.rfcx.org/api/project/tricolored-blackbird-breeding-phenology/recordings/download/52699535,0.22227289308479858,24233
197182029,PCP1Wam-2021-04-06_02-00.flac,2021 Panoche Creek Preserve 1W,2021,4,6,2,0,Agelaius tricolor,Common Song,6.586666666666667,9.317333333333334,93.75,3093.75,24000,(not validated),https://arbimon.rfcx.org/api/project/tricolored-blackbird-breeding-phenology/recordings/download/52699584,0.33725182339226617,24233
197182030,PCP1Wam-2021-04-06_06-00.flac,2021 Panoche Creek Preserve 1W,2021,4,6,6,0,Agelaius tricolor,Common Song,7.882666666666666,10.613333333333333,93.75,3093.75,24000,present,https://arbimon.rfcx.org/api/project/tricolored-blackbird-breeding-phenology/recordings/download/52699627,0.22549049373490737,24233
197182031,PCP1Wam-2021-04-06_11-20.flac,2021 Panoche Creek Preserve 1W,2021,4,6,11,20,Agelaius tricolor,Common Song,25.978666666666665,28.709333333333333,93.75,3093.75,24000,(not validated),https://arbimon.rfcx.org/api/project/tricolored-blackbird-breeding-phenology/recordings/download/52699672,0.2212693536263955,24233
197182032,PCP1Wam-2021-04-06_16-00.flac,2021 Panoche Creek Preserve 1W,2021,4,6,16,0,Agelaius tricolor,Common Song,9.770666666666667,12.501333333333333,93.75,3093.75,24000,present,https://arbimon.rfcx.org/api/project/tricolored-blackbird-breeding-phenology/recordings/download/52699724,0.20064416286381795,24233
197182033,PCP1Wam-2021-04-06_16-20.flac,2021 Panoche Creek Preserve 1W,2021,4,6,16,20,Agelaius tricolor,Common Song,18.346666666666668,21.077333333333332,93.75,3093.75,24000,present,https://arbimon.rfcx.org/api/project/tricolored-blackbird-breeding-phenology/recordings/download/52699728,0.21241798782127774,24233
197182034,PCP1Wam-2021-04-06_20-00.flac,2021 Panoche Creek Preserve 1W,2021,4,6,20,0,Agelaius tricolor,Common Song,40.32,43.050666666666665,93.75,3093.75,24000,(not validated),https://arbimon.rfcx.org/api/project/tricolored-blackbird-breeding-phenology/recordings/download/52699772,0.21988322946026517,24233
197182035,PCP1Wam-2021-04-07_03-00.flac,2021 Panoche Creek Preserve 1W,2021,4,7,3,0,Agelaius tricolor,Common Song,54.202666666666666,56.93333333333333,93.75,3093.75,24000,present,https://arbimon.rfcx.org/api/project/tricolored-blackbird-breeding-phenology/recordings/download/52699849,0.27153362455836016,24233
197182036,PCP1Wam-2021-04-07_06-00.flac,2021 Panoche Creek Preserve 1W,2021,4,7,6,0,Agelaius tricolor,Common Song,24.666666666666668,27.397333333333332,93.75,3093.75,24000,present,https://arbimon.rfcx.org/api/project/tricolored-blackbird-breeding-phenology/recordings/download/52699880,0.34564907190676836,24233
197182037,PCP1Wam-2021-04-07_07-00.flac,2021 Panoche Creek Preserve 1W,2021,4,7,7,0,Agelaius tricolor,Common Song,36.45333333333333,39.184,93.75,3093.75,24000,present,https://arbimon.rfcx.org/api/project/tricolored-blackbird-breeding-phenology/recordings/download/52699895,0.4134416086006013,24233
197182038,PCP1Wam-2021-04-07_11-00.flac,2021 Panoche Creek Preserve 1W,2021,4,7,11,0,Agelaius tricolor,Common Song,29.962666666666667,32.693333333333335,93.75,3093.75,24000,present,https://arbimon.rfcx.org/api/project/tricolored-blackbird-breeding-phenology/recordings/download/52699947,0.25302908500667426,24233
197182039,PCP1Wam-2021-04-07_14-40.flac,2021 Panoche Creek Preserve 1W,2021,4,7,14,40,Agelaius tricolor,Common Song,17.312,20.042666666666666,93.75,3093.75,24000,present,https://arbimon.rfcx.org/api/project/tricolored-blackbird-breeding-phenology/recordings/download/52699986,0.20616139098848682,24233
197182040,PCP1Wam-2021-04-07_16-40.flac,2021 Panoche Creek Preserve 1W,2021,4,7,16,40,Agelaius tricolor,Common Song,1.3493333333333333,4.08,93.75,3093.75,24000,present,https://arbimon.rfcx.org/api/project/tricolored-blackbird-breeding-phenology/recordings/download/52700008,0.2374881180175814,24233
197182041,PCP1Wam-2021-04-07_17-20.flac,2021 Panoche Creek Preserve 1W,2021,4,7,17,20,Agelaius tricolor,Common Song,49.44533333333333,52.176,93.75,3093.75,24000,present,https://arbimon.rfcx.org/api/project/tricolored-blackbird-breeding-phenology/recordings/download/52700017,0.21313932027076776,24233
197182042,PCP1Wam-2021-04-07_17-40.flac,2021 Panoche Creek Preserve 1W,2021,4,7,17,40,Agelaius tricolor,Common Song,2.112,4.842666666666666,93.75,3093.75,24000,present,https://arbimon.rfcx.org/api/project/tricolored-blackbird-breeding-phenology/recordings/download/52700022,0.21134087647929703,24233
197182043,PCP1Wam-2021-04-07_23-20.flac,2021 Panoche Creek Preserve 1W,2021,4,7,23,20,Agelaius tricolor,Common Song,27.253333333333334,29.984,93.75,3093.75,24000,present,https://arbimon.rfcx.org/api/project/tricolored-blackbird-breeding-phenology/recordings/download/52700073,0.242165590878204,24233
197182044,PCP1Wam-2021-04-08_02-40.flac,2021 Panoche Creek Preserve 1W,2021,4,8,2,40,Agelaius tricolor,Common Song,14.986666666666666,17.717333333333332,93.75,3093.75,24000,present,https://arbimon.rfcx.org/api/project/tricolored-blackbird-breeding-phenology/recordings/download/52700117,0.26048948324271626,24233
