id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
642856682,PAam-2021-06-04_15-00.flac,2021 Plumas Arboga,2021,6,4,15,0,Agelaius tricolor,Simple Call 2,24.378666666666668,24.773333333333333,375,21656.25,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/04/32o4dzibrlfq/60998986-47d9-aac7-762a-12c1b6762ca7.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1720628763&Signature=KQ%2B%2BMEu8EWGg2Sx0n4lrXORXtEU%3D,0.4104747723269994,21537
642856683,PAam-2021-06-04_15-20.flac,2021 Plumas Arboga,2021,6,4,15,20,Agelaius tricolor,Simple Call 2,31.872,32.266666666666666,375,21656.25,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/04/32o4dzibrlfq/64cb232e-2a26-e1d9-49b3-0002d7e995d9.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1720628763&Signature=po2u9LfY9ThlhyNEHHqRn%2BvACyY%3D,0.468663272657458,21537
642858369,PAam-2021-05-20_19-00.flac,2021 Plumas Arboga,2021,5,20,19,0,Agelaius tricolor,Simple Call 2,4.773333333333333,5.168,375,21656.25,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/05/20/32o4dzibrlfq/f316eb97-2868-6935-24c3-c34defc9f2ab.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1720628763&Signature=l%2BZqWs6MYXlV2QIPHaVeVxT4mF4%3D,0.4173925550360962,21537
642858370,PAam-2021-05-21_06-00.flac,2021 Plumas Arboga,2021,5,21,6,0,Agelaius tricolor,Simple Call 2,3.056,3.4506666666666668,375,21656.25,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/05/20/32o4dzibrlfq/52a2c46c-742d-47bb-693c-ec200c9761b9.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1720628763&Signature=zTh2NkRBNB9HjP0%2BgRhw5qdoCic%3D,0.5124360093505892,21537
642858371,PAam-2021-05-21_06-20.flac,2021 Plumas Arboga,2021,5,21,6,20,Agelaius tricolor,Simple Call 2,18.901333333333334,19.296,375,21656.25,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/05/20/32o4dzibrlfq/8a00b5c8-bc6e-5189-db48-401f5995a35a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1720628763&Signature=twLW7%2BzEUEC5PL%2FGWhX0R%2BaZeWA%3D,0.41376743650982983,21537
642858372,PAam-2021-05-21_06-40.flac,2021 Plumas Arboga,2021,5,21,6,40,Agelaius tricolor,Simple Call 2,37.91466666666667,38.309333333333335,375,21656.25,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/05/20/32o4dzibrlfq/ddb2bec4-6a93-5dc5-526c-c066f1d505b9.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1720628763&Signature=Pwgf91wJnCntd9DtAY1PmSnMr%2BA%3D,0.4811530717023704,21537
642858373,PAam-2021-05-21_07-00.flac,2021 Plumas Arboga,2021,5,21,7,0,Agelaius tricolor,Simple Call 2,2.517333333333333,2.912,375,21656.25,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/05/21/32o4dzibrlfq/446e8879-a610-3a0c-e44c-713088efb271.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1720628763&Signature=sLA79keLRyCzL3V7cK2ecDD5NMI%3D,0.4175510286603817,21537
642858374,PAam-2021-05-21_08-00.flac,2021 Plumas Arboga,2021,5,21,8,0,Agelaius tricolor,Simple Call 2,28.72533333333333,29.12,375,21656.25,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/05/21/32o4dzibrlfq/53445201-51b7-d602-ad75-177805b9134e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1720628763&Signature=CqI%2Bp%2B1gG2VhPJ3fb8wfYDBwP%2Fo%3D,0.6223903411497095,21537
642858375,PAam-2021-05-21_10-40.flac,2021 Plumas Arboga,2021,5,21,10,40,Agelaius tricolor,Simple Call 2,36.29333333333334,36.688,375,21656.25,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/05/21/32o4dzibrlfq/a0a89cb2-c43e-51e1-3524-2a8ba5ea9a41.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1720628763&Signature=kFIrmBSbP80MJOptJixN7g7xjGI%3D,0.4136670464808887,21537
642858376,PAam-2021-05-21_12-00.flac,2021 Plumas Arboga,2021,5,21,12,0,Agelaius tricolor,Simple Call 2,22.037333333333333,22.432,375,21656.25,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/05/21/32o4dzibrlfq/bdff221d-75c7-33e3-fc95-2a6b199199ac.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1720628763&Signature=xu%2F8BXJROtRm7MVV2eeDKxV5qhU%3D,0.4261209259527358,21537
