id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
642859905,RCNam-2021-05-07_16-20.WAV,2021 Reeds Creek North,2021,5,7,16,20,Agelaius tricolor,Simple Call 2,35.48266666666667,35.87733333333333,375,21656.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/55656879,0.4036434070657027,24651
642861057,RCNam-2021-05-07_18-40.WAV,2021 Reeds Creek North,2021,5,7,18,40,Agelaius tricolor,Simple Call 2,11.744,12.138666666666667,375,21656.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/55654617,0.41023146670926885,24651
642861058,RCNam-2021-05-07_06-40.WAV,2021 Reeds Creek North,2021,5,7,6,40,Agelaius tricolor,Simple Call 2,40.624,41.01866666666667,375,21656.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/55654647,0.41122009788637426,24651
642861059,RCNam-2021-05-07_09-20.WAV,2021 Reeds Creek North,2021,5,7,9,20,Agelaius tricolor,Simple Call 2,54.85333333333333,55.248,375,21656.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/55654648,0.5371495486052658,24651
642861060,RCNam-2021-05-07_10-00.WAV,2021 Reeds Creek North,2021,5,7,10,0,Agelaius tricolor,Simple Call 2,46.16,46.55466666666667,375,21656.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/55654659,0.4116190769593748,24651
642861061,RCNam-2021-05-07_16-00.WAV,2021 Reeds Creek North,2021,5,7,16,0,Agelaius tricolor,Simple Call 2,31.637333333333334,32.032,375,21656.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/55654661,0.4250930217116835,24651
642861062,RCNam-2021-05-08_20-00.WAV,2021 Reeds Creek North,2021,5,8,20,0,Agelaius tricolor,Simple Call 2,2.4,2.7946666666666666,375,21656.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/55654746,0.47443689856597204,24651
642861063,RCNam-2021-05-09_10-00.WAV,2021 Reeds Creek North,2021,5,9,10,0,Agelaius tricolor,Simple Call 2,41.141333333333336,41.536,375,21656.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/55654829,0.48969180481041513,24651
642861064,RCNam-2021-05-09_16-00.WAV,2021 Reeds Creek North,2021,5,9,16,0,Agelaius tricolor,Simple Call 2,16.106666666666666,16.501333333333335,375,21656.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/55654855,0.41941352417063094,24651
642861065,RCNam-2021-05-09_20-00.WAV,2021 Reeds Creek North,2021,5,9,20,0,Agelaius tricolor,Simple Call 2,1.8826666666666667,2.2773333333333334,375,21656.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/55654865,0.41685579317953697,24651
