id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
202329909,RCNam-2021-05-06_16-20.WAV,2021 Reeds Creek North,2021,5,6,16,20,Agelaius tricolor,Common Song,12.661333333333333,13.397333333333334,1218.75,4406.25,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/05/06/zbf2dyzd9odi/dc4e0279-3407-4867-a431-5b8b44815027.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1719836598&Signature=gZMyAkUtc1cnNDLCZp7qiFgXNrM%3D,0.25487867267360814,24651
202329910,RCNam-2021-05-07_16-20.WAV,2021 Reeds Creek North,2021,5,7,16,20,Agelaius tricolor,Common Song,33.669333333333334,34.40533333333333,1218.75,4406.25,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/05/07/zbf2dyzd9odi/dfe88ba8-3a54-4ec0-b5f6-8eab5148ae6c.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1719836598&Signature=p5Jv5aY%2BJfnXrboRGLaXSrPQT9s%3D,0.2314748006762641,24651
202329914,RCNam-2021-05-12_06-40.WAV,2021 Reeds Creek North,2021,5,12,6,40,Agelaius tricolor,Common Song,11.706666666666667,12.442666666666666,1218.75,4406.25,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/05/12/zbf2dyzd9odi/5a60dbcc-dbab-47e1-86e0-f550d2e4d5bd.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1719836598&Signature=Z6UDCPj%2FViGZjWXPvPy9o1piDTQ%3D,0.2159794829003895,24651
202329915,RCNam-2021-05-12_08-20.WAV,2021 Reeds Creek North,2021,5,12,8,20,Agelaius tricolor,Common Song,25.269333333333332,26.005333333333333,1218.75,4406.25,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/05/12/zbf2dyzd9odi/4f61cf50-fdc8-4838-8e84-31f2bb76286b.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1719836598&Signature=O%2BIYFMnrBGd7517A5N0TRgrLUGE%3D,0.21652587972252071,24651
202329916,RCNam-2021-05-13_04-00.WAV,2021 Reeds Creek North,2021,5,13,4,0,Agelaius tricolor,Common Song,44.192,44.928,1218.75,4406.25,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/05/13/zbf2dyzd9odi/d833e9c2-71be-44bd-b15e-61bc57b11e56.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1719836598&Signature=MFcMtoHIxJosVigieOgYl%2Buo3IA%3D,0.20519534785505952,24651
202329917,RCNam-2021-05-13_07-00.WAV,2021 Reeds Creek North,2021,5,13,7,0,Agelaius tricolor,Common Song,40.55466666666667,41.29066666666667,1218.75,4406.25,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/05/13/zbf2dyzd9odi/d463ce0a-dd46-46fb-acad-4927a6f72711.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1719836598&Signature=4i3TWtxsc8mkWsM1WbK%2F1uBVUpk%3D,0.25329132204648785,24651
202329918,RCNam-2021-05-13_11-20.WAV,2021 Reeds Creek North,2021,5,13,11,20,Agelaius tricolor,Common Song,29.797333333333334,30.533333333333335,1218.75,4406.25,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/05/13/zbf2dyzd9odi/53326b12-79a8-460e-84ea-1e1323de4cdc.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1719836598&Signature=RM9Ji4QDVbOdhAsSBGgqREMwLRg%3D,0.2162724691370554,24651
202329919,RCNam-2021-05-13_16-40.WAV,2021 Reeds Creek North,2021,5,13,16,40,Agelaius tricolor,Common Song,6.458666666666667,7.1946666666666665,1218.75,4406.25,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/05/13/zbf2dyzd9odi/fab44db2-9fe1-43a4-88f2-759fa0a56550.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1719836598&Signature=v7DDcUjIBtky86NMjpPP4IpRBz4%3D,0.24048381644509248,24651
202329920,RCNam-2021-05-14_16-40.WAV,2021 Reeds Creek North,2021,5,14,16,40,Agelaius tricolor,Common Song,47.946666666666665,48.68266666666667,1218.75,4406.25,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/05/14/zbf2dyzd9odi/7aba1192-669c-4987-b7bf-eec09ce7c3d1.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1719836598&Signature=vSZFPzzXCTJ1expLvov7kVIiQWI%3D,0.2533610639045213,24651
202329921,RCNam-2021-05-15_11-00.WAV,2021 Reeds Creek North,2021,5,15,11,0,Agelaius tricolor,Common Song,52.44266666666667,53.178666666666665,1218.75,4406.25,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/05/15/zbf2dyzd9odi/673f55f0-24a9-434d-87fb-87963f39cc3e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1719836598&Signature=u8zqD18Va8PBGT4pG8xPRk06Vdc%3D,0.2538675158587807,24651
