id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
901795177,RRam-2021-02-24_22-20.WAV,2021 Rush Ranch,2021,2,24,22,20,Agelaius tricolor,Courtship Song,42.736,43.6747,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/02/25/way4v0icxb15/7e019d6f-9b1e-4fa7-894a-a9e42b9936f0.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733274287&Signature=xFzLxjfg7dN6bm5T4C1GuCUVfAQ%3D,0.250193,24549
901795178,RRam-2021-02-24_21-40.WAV,2021 Rush Ranch,2021,2,24,21,40,Agelaius tricolor,Courtship Song,1.952,2.89067,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/02/25/way4v0icxb15/ae2808b3-6d76-41f3-8784-305390c4b3db.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733274287&Signature=dOSpL2vasMk9IcvHzjnLZthYzpQ%3D,0.676668,24549
901795179,RRam-2021-02-24_19-20.WAV,2021 Rush Ranch,2021,2,24,19,20,Agelaius tricolor,Courtship Song,42.56,43.4987,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/02/25/way4v0icxb15/735244f0-4e6e-4f11-b336-9df00c25de59.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733274287&Signature=A%2BKpxTWCKsYwlDvFsvKF9pR1X5Q%3D,0.325011,24549
901795180,RRam-2021-02-24_18-00.WAV,2021 Rush Ranch,2021,2,24,18,0,Agelaius tricolor,Courtship Song,59.056,59.9947,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/02/25/way4v0icxb15/c3c1c2e6-4f5b-44b7-b0be-2b6d488a33e5.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733274287&Signature=lHRviK3UbI%2BkjyxMewd7s7bh%2FKI%3D,0.297209,24549
901795181,RRam-2021-02-24_19-00.WAV,2021 Rush Ranch,2021,2,24,19,0,Agelaius tricolor,Courtship Song,11.4453,12.384,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/02/25/way4v0icxb15/e98d8684-375d-4fcf-b359-43ce5fd5c318.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733274287&Signature=%2B9Ik%2FMUVc%2BD63S5jTUMztmIJxF8%3D,0.310399,24549
901795182,RRam-2021-02-24_22-00.WAV,2021 Rush Ranch,2021,2,24,22,0,Agelaius tricolor,Courtship Song,56.0427,56.9813,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/02/25/way4v0icxb15/87ba1272-1234-42e9-a4cc-7213cd3abd86.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733274287&Signature=zn%2FU%2BFpdSDhnefLmOPF2CXJ4log%3D,0.3174,24549
901795183,RRam-2021-02-24_18-40.WAV,2021 Rush Ranch,2021,2,24,18,40,Agelaius tricolor,Courtship Song,12.816,13.7547,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/02/25/way4v0icxb15/ed360fc9-f427-453f-b515-1087f758bd26.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733274287&Signature=er3GV%2Fr6SgnPg0KYqjHkOxDdCmQ%3D,0.332234,24549
901795184,RRam-2021-02-24_13-20.WAV,2021 Rush Ranch,2021,2,24,13,20,Agelaius tricolor,Courtship Song,19.728,20.6667,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/02/24/way4v0icxb15/7c9819ea-48b7-43be-b1a3-9b6fbce57af4.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733274287&Signature=H6A7ywpTU3%2BdcBw5d4M%2FRiT%2FtyM%3D,0.226329,24549
901795185,RRam-2021-02-24_23-00.WAV,2021 Rush Ranch,2021,2,24,23,0,Agelaius tricolor,Courtship Song,34.288,35.2267,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/02/25/way4v0icxb15/88a9f4b8-fc38-4910-bd08-2039ede2274c.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733274287&Signature=ANwpzFC%2B1msS3B0KzgyD%2FMkJMyA%3D,0.281968,24549
901795186,RRam-2021-02-24_11-20.WAV,2021 Rush Ranch,2021,2,24,11,20,Agelaius tricolor,Courtship Song,49.8987,50.8373,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/02/24/way4v0icxb15/fc72e423-45cf-496a-96f2-f69456eabc35.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733274287&Signature=1ADmKiEyequSSWbjdcG3urYUegY%3D,0.461702,24549
901795187,RRam-2021-02-24_20-00.WAV,2021 Rush Ranch,2021,2,24,20,0,Agelaius tricolor,Courtship Song,32.9707,33.9093,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/02/25/way4v0icxb15/dd716925-06e5-4b42-9d3d-56deca6e2ffc.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733274287&Signature=n%2B32%2Bj5AfwdvWvCLoDDTmyOuDp8%3D,0.292473,24549
901795188,RRam-2021-02-24_19-40.WAV,2021 Rush Ranch,2021,2,24,19,40,Agelaius tricolor,Courtship Song,26.352,27.2907,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/02/25/way4v0icxb15/117bcfcd-faee-44e6-aaf1-367ebddef137.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733274287&Signature=pgfX%2FaZO5e%2FIgJ4hu8PWXzyfOvI%3D,0.301042,24549
901795189,RRam-2021-02-24_10-40.WAV,2021 Rush Ranch,2021,2,24,10,40,Agelaius tricolor,Courtship Song,43.1947,44.1333,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/02/24/way4v0icxb15/4785cd71-4f35-48ae-ae0e-462da4d9ae85.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733274287&Signature=z6U%2BU653q59RIC2etQL2%2FWOQIr0%3D,0.609667,24549
901795190,RRam-2021-02-24_10-00.WAV,2021 Rush Ranch,2021,2,24,10,0,Agelaius tricolor,Courtship Song,2.832,3.77067,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/02/24/way4v0icxb15/80b94b4e-4d85-431b-9ab8-83e28b32b23a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733274287&Signature=8oxoR4%2BSlqksDBAE3UKeBFV2EyE%3D,0.254032,24549
901795191,RRam-2021-02-24_10-20.WAV,2021 Rush Ranch,2021,2,24,10,20,Agelaius tricolor,Courtship Song,0.234667,1.17333,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/02/24/way4v0icxb15/228df233-625d-47d4-87c9-2005daf11fea.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733274287&Signature=IpIs6UW7xU1p3NQvaJdZeMGQmkM%3D,0.43111,24549
901795192,RRam-2021-02-24_05-20.WAV,2021 Rush Ranch,2021,2,24,5,20,Agelaius tricolor,Courtship Song,2.24,3.17867,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/02/24/way4v0icxb15/dd00c9a4-093b-4399-a6a7-ea2b05ad90e2.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733274287&Signature=HsIWZaJ3zbUoNEV%2BI0q%2Bpv7lui4%3D,0.204865,24549
