id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
679728682,Baja2am-2022-07-06_14-20.WAV,2022 Baja 2,2022,7,6,15,20,Agelaius tricolor,Simple Call 2,43.2693,43.664,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/07/06/y3uj9gbhmz3w/1ec6cbb0-774e-4e6f-83cc-80457f210828.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733281376&Signature=QYWQOnl08JQW8C5o1WG6huERGeU%3D,0.483323,53136
679728683,Baja2am-2022-07-06_08-00.WAV,2022 Baja 2,2022,7,6,9,0,Agelaius tricolor,Simple Call 2,28.8747,29.2693,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/07/06/y3uj9gbhmz3w/735bc2ec-46b9-4f7d-a0ed-b3ad936a6284.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733281376&Signature=6d%2FkW%2FpNcMWWF7ghj3Ga7XYF3ao%3D,0.414502,53136
679728684,Baja2am-2022-05-04_08-20.WAV,2022 Baja 2,2022,5,4,9,20,Agelaius tricolor,Simple Call 2,54.7413,55.136,375,21656,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/04/y3uj9gbhmz3w/db145aa2-4a15-4b7f-8d35-4171c9e8b43f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733281376&Signature=9acUI0UmolKvueHCMt6ogVLfo0I%3D,0.581468,53136
679728685,Baja2am-2022-05-04_07-20.WAV,2022 Baja 2,2022,5,4,8,20,Agelaius tricolor,Simple Call 2,17.728,18.1227,375,21656,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/04/y3uj9gbhmz3w/82ca051d-f52c-4725-8a72-c5830cc02c90.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733281376&Signature=yt5PsM6jAUfWmQzpu3d%2B4HK4gQo%3D,0.515496,53136
679728686,Baja2am-2022-05-04_11-00.WAV,2022 Baja 2,2022,5,4,12,0,Agelaius tricolor,Simple Call 2,33.8453,34.24,375,21656,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/04/y3uj9gbhmz3w/9be6ec93-849d-4786-b285-71738655194b.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733281376&Signature=Wq2McwFqqoJ0jl1ZhcHfsBe71VQ%3D,0.577623,53136
679728687,Baja2am-2022-05-04_13-40.WAV,2022 Baja 2,2022,5,4,14,40,Agelaius tricolor,Simple Call 2,56.1867,56.5813,375,21656,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/04/y3uj9gbhmz3w/38cc5f21-18e0-40c1-b2ec-be6da7de7b8e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733281376&Signature=MGozlmtzk9%2BSXfLoSwkFKo%2B82ms%3D,0.546038,53136
679728688,Baja2am-2022-05-04_13-20.WAV,2022 Baja 2,2022,5,4,14,20,Agelaius tricolor,Simple Call 2,22.8693,23.264,375,21656,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/04/y3uj9gbhmz3w/d368dc54-2864-40b2-afba-a0f25aaa0aed.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733281376&Signature=FiY2UsGlTk0NTmGYHEKaT8wkT0s%3D,0.545006,53136
679728689,Baja2am-2022-05-04_17-20.WAV,2022 Baja 2,2022,5,4,18,20,Agelaius tricolor,Simple Call 2,54.7253,55.12,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/05/y3uj9gbhmz3w/ec7b5a3d-4469-4c56-9cbb-c43ac079e01f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733281376&Signature=flTmyLw3StcBAeXseLiN12ozT1U%3D,0.49254,53136
679728690,Baja2am-2022-05-04_17-00.WAV,2022 Baja 2,2022,5,4,18,0,Agelaius tricolor,Simple Call 2,0.533333,0.928,375,21656,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/05/y3uj9gbhmz3w/a1206676-afc3-4952-8b21-9515de96bf55.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733281376&Signature=xQdHlird%2BHJ%2BPBMHjisuKlSMdD8%3D,0.579116,53136
679728691,Baja2am-2022-05-04_10-40.WAV,2022 Baja 2,2022,5,4,11,40,Agelaius tricolor,Simple Call 2,0.112,0.506667,375,21656,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/04/y3uj9gbhmz3w/e648eae3-f4a3-42ac-a779-5cab767df69d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733281376&Signature=XB8bY3NU7mmRIMBF1lCLcSAPpdM%3D,0.506548,53136
679728692,Baja2am-2022-05-05_05-20.WAV,2022 Baja 2,2022,5,5,6,20,Agelaius tricolor,Simple Call 2,17.8187,18.2133,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/05/y3uj9gbhmz3w/75ae7bf7-2e88-4921-a456-60b9cf037c36.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733281376&Signature=O1lSWBX6OMSHCUkGmCKnYzynqpM%3D,0.445078,53136
679728693,Baja2am-2022-05-04_09-20.WAV,2022 Baja 2,2022,5,4,10,20,Agelaius tricolor,Simple Call 2,6.81067,7.20533,375,21656,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/04/y3uj9gbhmz3w/3d4c2bfd-e0a1-4f21-907c-4741ece1ae7b.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733281376&Signature=jEjKyo4gTpOwUx6oqy3%2FO3AyzWc%3D,0.531639,53136
679728694,Baja2am-2022-05-05_15-00.WAV,2022 Baja 2,2022,5,5,16,0,Agelaius tricolor,Simple Call 2,51.4027,51.7973,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/05/y3uj9gbhmz3w/fefeccea-d19f-4394-8397-e069308fb0d0.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733281376&Signature=%2BrI5Ux957G%2F6%2BX948%2FrrHCudr7w%3D,0.574839,53136
679728695,Baja2am-2022-05-04_09-40.WAV,2022 Baja 2,2022,5,4,10,40,Agelaius tricolor,Simple Call 2,1.728,2.12267,375,21656,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/04/y3uj9gbhmz3w/e97549e5-b286-4dfb-a6f8-9699630d8095.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733281376&Signature=sRYf1Ito35xV3j3r5wn5e6Kssjs%3D,0.553564,53136
679728696,Baja2am-2022-05-04_12-40.WAV,2022 Baja 2,2022,5,4,13,40,Agelaius tricolor,Simple Call 2,51.8507,52.2453,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/04/y3uj9gbhmz3w/8747822d-c263-4cf8-8b90-20387c5c2602.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733281376&Signature=ZIU5WsbEUDiNsgursiCLIAcFJR4%3D,0.517871,53136
679728697,Baja2am-2022-05-04_15-00.WAV,2022 Baja 2,2022,5,4,16,0,Agelaius tricolor,Simple Call 2,58.5973,58.992,375,21656,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/04/y3uj9gbhmz3w/aaa2ebd0-1b91-4a22-bab4-d725dbc61fc1.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733281376&Signature=rvlLdz9rGR4OX%2FHNTGu0La7xePg%3D,0.53723,53136
679728698,Baja2am-2022-05-05_07-00.WAV,2022 Baja 2,2022,5,5,8,0,Agelaius tricolor,Simple Call 2,16.8053,17.2,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/05/y3uj9gbhmz3w/ad31e89f-f7ed-461a-940e-cbcabdf95e67.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733281376&Signature=4Tyt%2F60B2bJNQBsXMZbW%2BLMvzzE%3D,0.568029,53136
679728699,Baja2am-2022-05-04_16-00.WAV,2022 Baja 2,2022,5,4,17,0,Agelaius tricolor,Simple Call 2,24.064,24.4587,375,21656,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/05/y3uj9gbhmz3w/aa3cebea-72b9-4d22-a70c-3c45afdf403c.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733281376&Signature=4djusJ%2FQlIMdxq2LGYu0fDZZLsU%3D,0.553913,53136
679728700,Baja2am-2022-05-05_07-20.WAV,2022 Baja 2,2022,5,5,8,20,Agelaius tricolor,Simple Call 2,9.248,9.64267,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/05/y3uj9gbhmz3w/e0a944c3-0062-48b0-8e39-3419d054ad06.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733281376&Signature=hwbLmLqtBSAvB4GZ%2F6ohNgiFHJQ%3D,0.482329,53136
