id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
815724740,Baja2am-2022-04-28_17-40.WAV,2022 Baja 2,2022,4,28,18,40,Agelaius tricolor,Courtship Song,51.2747,52.2133,94,8719,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/04/29/y3uj9gbhmz3w/ac19d549-6a35-4ba2-b1b1-c3c7af75c25a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734395378&Signature=vPicAfp1WG3An46TlIehudGBOWY%3D,0.284459,53136
815724741,Baja2am-2022-04-29_09-00.WAV,2022 Baja 2,2022,4,29,10,0,Agelaius tricolor,Courtship Song,7.39733,8.336,94,8719,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/04/29/y3uj9gbhmz3w/c6bddbd1-facf-4b64-b271-3a2a033d0681.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734395378&Signature=JjIuphkJAsAxaGSJzbT7PKLONKw%3D,0.243179,53136
815724742,Baja2am-2022-04-29_10-40.WAV,2022 Baja 2,2022,4,29,11,40,Agelaius tricolor,Courtship Song,49.968,50.9067,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/04/29/y3uj9gbhmz3w/786ef65f-ac76-4695-8cfd-2c6707a286f4.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734395378&Signature=ylj%2FrFqo%2BSUT7e0trdq6PRVbUks%3D,0.349795,53136
815724743,Baja2am-2022-04-29_12-40.WAV,2022 Baja 2,2022,4,29,13,40,Agelaius tricolor,Courtship Song,13.7227,14.6613,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/04/29/y3uj9gbhmz3w/cbd847a5-5cf6-4985-a129-97cb2698df77.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734395378&Signature=a7D9mfTNoT7uYTy39HxBfGmVm08%3D,0.377493,53136
815724744,Baja2am-2022-04-29_10-20.WAV,2022 Baja 2,2022,4,29,11,20,Agelaius tricolor,Courtship Song,58.6987,59.6373,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/04/29/y3uj9gbhmz3w/1936a409-6241-4698-8c78-e22be3fc8cd8.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734395378&Signature=cWmjmTCqmeUo8FeNI3Cm2KBO9U0%3D,0.496447,53136
815724745,Baja2am-2022-04-28_17-20.WAV,2022 Baja 2,2022,4,28,18,20,Agelaius tricolor,Courtship Song,1.51467,2.45333,94,8719,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/04/29/y3uj9gbhmz3w/215884c8-1544-41d3-b58a-000ee1e6cef3.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734395378&Signature=508xSw6LZwo3brqmZ%2BGzwjDo8w8%3D,0.27367,53136
815724746,Baja2am-2022-04-29_16-00.WAV,2022 Baja 2,2022,4,29,17,0,Agelaius tricolor,Courtship Song,48.8,49.7387,94,8719,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/04/30/y3uj9gbhmz3w/122f24ec-ae8c-4def-add4-970a00fab9f4.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734395378&Signature=UlPz4bVM4Jif2mo1acdLvfkX4MU%3D,0.23051,53136
815724747,Baja2am-2022-04-29_02-40.WAV,2022 Baja 2,2022,4,29,3,40,Agelaius tricolor,Courtship Song,13.9413,14.88,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/04/29/y3uj9gbhmz3w/324a85f0-1b06-45cf-8880-83e1ebe22e62.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734395378&Signature=JKOQWL1VLLQ6YfYHZu0ZrRPkhZY%3D,0.202591,53136
815724748,Baja2am-2022-04-29_16-40.WAV,2022 Baja 2,2022,4,29,17,40,Agelaius tricolor,Courtship Song,0.181333,1.12,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/04/30/y3uj9gbhmz3w/4f54d4a7-c025-44fb-919f-cf91db655c1a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734395378&Signature=R8c1F0xPFikUa%2BZ1YiktcYwLxEY%3D,0.381152,53136
815724749,Baja2am-2022-04-29_19-20.WAV,2022 Baja 2,2022,4,29,20,20,Agelaius tricolor,Courtship Song,39.9733,40.912,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/04/30/y3uj9gbhmz3w/5bb75702-be91-485d-9df4-5a7cf4558a54.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734395378&Signature=2QKcXPf5JsQfqAQ04UFqK5otpVo%3D,0.298476,53136
815724750,Baja2am-2022-04-29_13-20.WAV,2022 Baja 2,2022,4,29,14,20,Agelaius tricolor,Courtship Song,46.608,47.5467,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/04/29/y3uj9gbhmz3w/fca785a4-c577-4974-a41b-744b29a02e55.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734395378&Signature=v%2FmrpZbH1dBsSGCl%2BDesgQGEiEs%3D,0.540716,53136
815724751,Baja2am-2022-04-29_12-00.WAV,2022 Baja 2,2022,4,29,13,0,Agelaius tricolor,Courtship Song,7.52,8.45867,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/04/29/y3uj9gbhmz3w/3bf13376-0cdb-4e75-b127-85bcd3785d46.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734395378&Signature=Y7py%2B5vfpsN6YSmuxxHp9hQu0nA%3D,0.36791,53136
815724752,Baja2am-2022-04-30_00-40.WAV,2022 Baja 2,2022,4,30,1,40,Agelaius tricolor,Courtship Song,22.3787,23.3173,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/04/30/y3uj9gbhmz3w/bd8cf8d6-d687-4e74-8feb-0165e9cdcbbe.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734395378&Signature=RPu6FlDpgHL96TQ%2FKnZGIYlc154%3D,0.284897,53136
815724753,Baja2am-2022-04-29_18-40.WAV,2022 Baja 2,2022,4,29,19,40,Agelaius tricolor,Courtship Song,14.4053,15.344,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/04/30/y3uj9gbhmz3w/06acc5c3-1957-40b9-af22-e29137909c20.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734395378&Signature=Ia33kcRhvRFvNXK0ShCXLsS886M%3D,0.340028,53136
