id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
637635462,ConCam-2022-06-25_20-30.WAV,2022 Conaway East,2022,6,25,20,30,Agelaius tricolor,Simple Call 2,1.7653333333333334,2.16,375,21656.25,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/26/9iy0wwvn4csi/046a2f9d-3858-454b-b418-28ca79db54f1.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1720624633&Signature=nnJN51f%2BFw3lVFxh2eqlUqMyteE%3D,0.44166920576437585,34115
637635463,ConCam-2022-06-28_06-48.WAV,2022 Conaway East,2022,6,28,6,48,Agelaius tricolor,Simple Call 2,3.6586666666666665,4.053333333333334,375,21656.25,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/28/9iy0wwvn4csi/409bcf84-01db-4e86-a15f-ccc5631f0c44.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1720624633&Signature=owZxxEj1XhiaiUwKh3K48CB%2FPlw%3D,0.55431387163016,34115
637635464,ConCam-2022-06-27_10-00.WAV,2022 Conaway East,2022,6,27,10,0,Agelaius tricolor,Simple Call 2,11.893333333333333,12.288,375,21656.25,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/27/9iy0wwvn4csi/72015d87-d8b4-4706-86fe-13d723eef2c9.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1720624633&Signature=09AYXgr%2BcGoA9WmhKdBDJqAOU%2FM%3D,0.4480130780516016,34115
637635465,ConCam-2022-06-27_13-40.WAV,2022 Conaway East,2022,6,27,13,40,Agelaius tricolor,Simple Call 2,53.349333333333334,53.744,375,21656.25,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/27/9iy0wwvn4csi/2f7a9cbb-26d1-4f8b-8ec8-a55696ccaa20.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1720624633&Signature=wKUkDIHQuxG4xGK8cKCSmqco%2FWU%3D,0.6317590054591148,34115
637635466,ConCam-2022-06-27_19-30.WAV,2022 Conaway East,2022,6,27,19,30,Agelaius tricolor,Simple Call 2,11.92,12.314666666666668,375,21656.25,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/28/9iy0wwvn4csi/707d962c-b696-4210-8b2e-0186564c57ca.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1720624633&Signature=KeLE0D5EXOH%2F096bOp0UjzZV0mk%3D,0.4802556177153539,34115
637635467,ConCam-2022-06-27_16-20.WAV,2022 Conaway East,2022,6,27,16,20,Agelaius tricolor,Simple Call 2,31.509333333333334,31.904,375,21656.25,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/27/9iy0wwvn4csi/695d4902-01c6-43ed-a932-2ef0d77c49ef.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1720624633&Signature=ajX%2FNH%2B0XC%2BBhwUHIP0J3nOjsTg%3D,0.513440408889082,34115
637635468,ConCam-2022-06-28_06-20.WAV,2022 Conaway East,2022,6,28,6,20,Agelaius tricolor,Simple Call 2,58.037333333333336,58.432,375,21656.25,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/28/9iy0wwvn4csi/604b95af-49de-4302-a884-5592991835a3.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1720624633&Signature=BvCyaAaSltzc1JT6KJcAAeIDeQk%3D,0.4013518111049789,34115
637635469,ConCam-2022-06-27_20-20.WAV,2022 Conaway East,2022,6,27,20,20,Agelaius tricolor,Simple Call 2,23.776,24.170666666666666,375,21656.25,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/28/9iy0wwvn4csi/df272484-71df-48c3-8cb2-288b08005916.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1720624633&Signature=PnhY6XCJRrQJ0NHqHvPoCxSlmEc%3D,0.45439143972903284,34115
637635470,ConCam-2022-05-21_09-30.WAV,2022 Conaway East,2022,5,21,9,30,Agelaius tricolor,Simple Call 2,36.512,36.906666666666666,375,21656.25,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/21/9iy0wwvn4csi/bec21bd3-168e-400a-a4ae-34bd99dda965.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1720624633&Signature=vrLxD3jvTcZ8A7R2rg41JhD0g1k%3D,0.40299910080031504,34115
637635471,ConCam-2022-05-11_18-10.WAV,2022 Conaway East,2022,5,11,18,10,Agelaius tricolor,Simple Call 2,13.658666666666667,14.053333333333333,375,21656.25,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/12/9iy0wwvn4csi/3c2a3eaf-fcf7-45a8-8a4a-3dd46c4946d6.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1720624633&Signature=SXY0KxiJK4%2BBGIC76psRmMh0uXw%3D,0.44801262445655887,34115
