id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
713113207,ConDam-2022-05-11_10-13.WAV,2022 Conaway New Easement Pond West,2022,5,11,10,13,sp11,Simple Call,23.4347,24.1813,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/11/9v0qhllkc3ye/ff444e1e-e208-4fd5-8a92-bccfbde35a77.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1731731628&Signature=htt6IuEroZVUJKmUI9Q2wsQqCVg%3D,0.242545,34111
713113208,ConDam-2022-05-11_10-40.WAV,2022 Conaway New Easement Pond West,2022,5,11,10,40,sp11,Simple Call,54.112,54.8587,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/11/9v0qhllkc3ye/76434d91-d548-4242-9e95-70be2465a410.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1731731628&Signature=B9OLOT9ykvezoSfZJgVCe54Ktf4%3D,0.237103,34111
713113209,ConDam-2022-05-11_12-40.WAV,2022 Conaway New Easement Pond West,2022,5,11,12,40,sp11,Simple Call,11.2213,11.968,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/11/9v0qhllkc3ye/2aca01bc-0a42-45bd-b5c3-21e4ba7f2d9e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1731731628&Signature=NdOC6Hfgsg3%2FtSvLI1mC90Tscqo%3D,0.307939,34111
713113210,ConDam-2022-05-11_13-20.WAV,2022 Conaway New Easement Pond West,2022,5,11,13,20,sp11,Simple Call,57.9093,58.656,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/11/9v0qhllkc3ye/28844683-234b-4846-a523-6f0a558bc813.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1731731628&Signature=skC2ytabCnq6OZMJ9vA309aTgyw%3D,0.292743,34111
713113211,ConDam-2022-05-11_11-50.WAV,2022 Conaway New Easement Pond West,2022,5,11,11,50,sp11,Simple Call,46.2827,47.0293,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/11/9v0qhllkc3ye/0e9dbf15-76af-4be5-8579-47064936d37a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1731731628&Signature=QY9H8iYc1XaEERpblP1Dxcxf0sE%3D,0.293856,34111
713113212,ConDam-2022-05-11_13-30.WAV,2022 Conaway New Easement Pond West,2022,5,11,13,30,sp11,Simple Call,1.568,2.31467,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/11/9v0qhllkc3ye/8f54164a-1c71-4168-af2e-ec41927796c0.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1731731628&Signature=Fgl3Pkk6vDu%2BdOfiqJvY%2FsEHJkA%3D,0.290258,34111
713113213,ConDam-2022-05-11_10-30.WAV,2022 Conaway New Easement Pond West,2022,5,11,10,30,sp11,Simple Call,33.3013,34.048,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/11/9v0qhllkc3ye/94741554-90b3-40a2-90b3-d21f2570cedf.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1731731628&Signature=ZFG%2FgPr%2B%2BV5sbVNAJTrdfkyuhuM%3D,0.300709,34111
713113214,ConDam-2022-05-11_10-20.WAV,2022 Conaway New Easement Pond West,2022,5,11,10,20,sp11,Simple Call,17.1573,17.904,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/11/9v0qhllkc3ye/58a2bf53-18a6-4ff7-b4ae-48356b2e4fb6.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1731731628&Signature=WKYWFFdZrSs92h5ZChIiMPjalXI%3D,0.301885,34111
713113215,ConDam-2022-05-11_11-30.WAV,2022 Conaway New Easement Pond West,2022,5,11,11,30,sp11,Simple Call,17.4987,18.2453,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/11/9v0qhllkc3ye/5f0242f7-4bb4-4ca8-a37b-276e541c0e54.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1731731628&Signature=2%2FCxCHFjzVf2awo%2BarsyZN47uY8%3D,0.258878,34111
713113216,ConDam-2022-05-11_12-50.WAV,2022 Conaway New Easement Pond West,2022,5,11,12,50,sp11,Simple Call,30.4,31.1467,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/11/9v0qhllkc3ye/450610a4-8f93-47a1-921e-a12e0cd69684.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1731731628&Signature=5tlpPfF5%2FU2p232OARTJEoNTGpo%3D,0.263712,34111
