id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
713133247,FRam-2022-06-05_12-00.WAV,2022 Foley Ranch A,2022,6,5,12,0,sp11,Simple Call,19.0133,19.76,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/05/9s0rfoqhps98/c0065f99-4120-4be8-96ad-886478b2dfbe.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740261055&Signature=Nguwc5WRFqoQZCoMcAwVvziwPQw%3D,0.213288,34118
713133248,FRam-2022-06-06_07-40.WAV,2022 Foley Ranch A,2022,6,6,7,40,sp11,Simple Call,21.76,22.5067,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/06/9s0rfoqhps98/e637bbdf-5897-410a-b1b7-fd69110f0ac2.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740261055&Signature=%2BICGB%2FSgezSZKUBMGlJNQClnpJw%3D,0.26176,34118
713133249,FRam-2022-06-05_08-00.WAV,2022 Foley Ranch A,2022,6,5,8,0,sp11,Simple Call,6.82133,7.568,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/05/9s0rfoqhps98/64ccc3e1-cf27-476f-a4a7-fd25d66aac9b.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740261055&Signature=%2F9TySlOkr9uSb1%2BPSKb4BCHkmM0%3D,0.231343,34118
713133250,FRam-2022-06-06_09-00.WAV,2022 Foley Ranch A,2022,6,6,9,0,sp11,Simple Call,43.552,44.2987,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/06/9s0rfoqhps98/a3a002ea-aba0-4f7d-87dc-bfdbfc44329b.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740261055&Signature=fOT1cx8dgO5OMQ0NA8Vkhpbwbqs%3D,0.250674,34118
713133251,FRam-2022-06-06_06-40.WAV,2022 Foley Ranch A,2022,6,6,6,40,sp11,Simple Call,34.9813,35.728,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/06/9s0rfoqhps98/1d8d7745-050f-4188-9816-c44a734482fc.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740261055&Signature=BWWTyJqlTDVHnph48oqF4upRsrs%3D,0.259752,34118
713133252,FRam-2022-06-06_08-20.WAV,2022 Foley Ranch A,2022,6,6,8,20,sp11,Simple Call,4.56,5.30667,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/06/9s0rfoqhps98/93a82680-d6b9-4dfc-a4f5-2839aec1e674.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740261055&Signature=IRvbOd0I93XK5vCUwzdnwMzt2rc%3D,0.213581,34118
713133253,FRam-2022-06-06_13-20.WAV,2022 Foley Ranch A,2022,6,6,13,20,sp11,Simple Call,2.928,3.67467,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/06/9s0rfoqhps98/6440edb3-e8bd-45b5-b4f7-a1fbf0b2cd05.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740261055&Signature=fF8hGwD%2BdYtwVOUmjiWbXjhLL9w%3D,0.202905,34118
713133254,FRam-2022-06-06_05-20.WAV,2022 Foley Ranch A,2022,6,6,5,20,sp11,Simple Call,11.6587,12.4053,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/06/9s0rfoqhps98/588a0dd7-63c9-429f-b440-df587460fc13.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740261055&Signature=hPT5oaO9rUO%2BcyefJHTIhvwJ5EQ%3D,0.20977,34118
713133255,FRam-2022-06-06_05-40.WAV,2022 Foley Ranch A,2022,6,6,5,40,sp11,Simple Call,10.4533,11.2,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/06/9s0rfoqhps98/df64c1d8-8afb-4765-9a4b-13cac552f37a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740261055&Signature=CkjJkRyQLLVrMuHLVTT6XvawjOA%3D,0.205785,34118
713133256,FRam-2022-06-06_10-20.WAV,2022 Foley Ranch A,2022,6,6,10,20,sp11,Simple Call,38.368,39.1147,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/06/9s0rfoqhps98/b557283d-5cd8-4810-8503-a857f7ae2be6.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740261055&Signature=MVKGtCztKuFgGKzLwc27syMYP6A%3D,0.266851,34118
713133257,FRam-2022-06-06_13-35.WAV,2022 Foley Ranch A,2022,6,6,13,35,sp11,Simple Call,33.984,34.7307,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/06/9s0rfoqhps98/a9631763-a107-46a2-a390-358c1cc6dee1.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740261055&Signature=U1oXow9PVXu8Rmw%2BvAR8N601MS8%3D,0.330944,34118
713133258,FRam-2022-06-06_07-00.WAV,2022 Foley Ranch A,2022,6,6,7,0,sp11,Simple Call,20.1973,20.944,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/06/9s0rfoqhps98/b6e653b1-fae6-4010-8c5e-be5f2795f23d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740261055&Signature=Q3oUHHV%2B7Bf1XCHxMHLngUWq3kw%3D,0.238305,34118
713133259,FRam-2022-06-06_10-00.WAV,2022 Foley Ranch A,2022,6,6,10,0,sp11,Simple Call,33.4133,34.16,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/06/9s0rfoqhps98/2d45c262-1560-42cf-9758-012bb304ecf3.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740261055&Signature=tjXMKThOtRQmZ%2F6zIBjM2%2Fq6GIE%3D,0.238568,34118
713133260,FRam-2022-06-06_11-00.WAV,2022 Foley Ranch A,2022,6,6,11,0,sp11,Simple Call,4.336,5.08267,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/06/9s0rfoqhps98/7b085199-f777-4c5e-a6d0-ffa1ab51b399.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740261055&Signature=hQAAK9AjdGTWFAoWaqVOShQEah4%3D,0.202127,34118
713133261,FRam-2022-06-06_12-20.WAV,2022 Foley Ranch A,2022,6,6,12,20,sp11,Simple Call,16.992,17.7387,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/06/9s0rfoqhps98/c335be8e-38e5-462b-888f-919ed8cf2c60.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740261055&Signature=h8U4I3AY4HcrxyAV4w%2B%2BtaP6k5o%3D,0.20394,34118
713133262,FRam-2022-06-06_13-00.WAV,2022 Foley Ranch A,2022,6,6,13,0,sp11,Simple Call,39.9413,40.688,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/06/9s0rfoqhps98/ab9478b2-acc1-4685-a076-0092c36bdd40.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740261055&Signature=Lo7ujTXU80oYv03StgC%2B7nuIbqU%3D,0.23517,34118
713133263,FRam-2022-05-15_10-20.WAV,2022 Foley Ranch A,2022,5,15,10,20,sp11,Simple Call,55.232,55.9787,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/15/9s0rfoqhps98/5daec9ab-8b62-42de-9a43-8db4d3c3f417.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740261055&Signature=KVIntLRsxBcv8M2nS0lD%2F5JhyJ0%3D,0.220097,34118
713133264,FRam-2022-05-15_08-40.WAV,2022 Foley Ranch A,2022,5,15,8,40,sp11,Simple Call,10.1067,10.8533,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/15/9s0rfoqhps98/0e3886f6-1410-4490-8c96-f640e393c408.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740261055&Signature=ebfwGq%2BsIQuDVVXQdchtZ1%2B1eZI%3D,0.290411,34118
713133525,FRam-2022-05-07_19-00.WAV,2022 Foley Ranch A,2022,5,7,19,0,sp11,Simple Call,53.024,53.7707,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/08/9s0rfoqhps98/8f6eade4-02f0-4760-a5be-e0e3fc9ceff0.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740261055&Signature=xZQPiXdpHZNvMz3Mp0eUEMieqwQ%3D,0.318332,34118
713133526,FRam-2022-05-08_08-00.WAV,2022 Foley Ranch A,2022,5,8,8,0,sp11,Simple Call,32.8373,33.584,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/08/9s0rfoqhps98/37cdc8af-2d58-40bb-b282-984aaf52eb02.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740261055&Signature=GpkZ5rJbHD9N2K0IoUTaclLlnQw%3D,0.207172,34118
713133527,FRam-2022-05-07_14-20.WAV,2022 Foley Ranch A,2022,5,7,14,20,sp11,Simple Call,38.912,39.6587,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/07/9s0rfoqhps98/f6d26dc6-8cfa-4f89-b6a2-a7dd0e98b94b.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740261055&Signature=Yaq7XJFvmPfpUa8vOv2yAvaOECw%3D,0.316709,34118
