id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
637760613,OR1am-2022-06-08_12-10.WAV,2022 OR1,2022,6,8,12,10,Agelaius tricolor,Alternative Song 2,45.8773,46.2827,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/08/l3jyatvwscsa/6532ee5f-2cdf-410b-99d9-8bd8f3d11b66.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733277797&Signature=OehxH%2FVAuRMA7pFl2Z%2BhM%2BBevng%3D,0.228151,33851
637760614,OR1am-2022-06-08_12-40.WAV,2022 OR1,2022,6,8,12,40,Agelaius tricolor,Alternative Song 2,37.648,38.0533,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/08/l3jyatvwscsa/955400fa-3d4c-412c-be1d-440f6c3ae65f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733277797&Signature=Or6dbC0IGm9uQp1sC6SDcEKR3VU%3D,0.278715,33851
637760615,OR1am-2022-06-08_12-50.WAV,2022 OR1,2022,6,8,12,50,Agelaius tricolor,Alternative Song 2,17.2373,17.6427,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/08/l3jyatvwscsa/9af1636c-0cd4-499b-951c-3bb838982bd1.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733277797&Signature=rtkve7xjBNSVIHTBqEdHw%2FRx%2Bp8%3D,0.304447,33851
637760616,OR1am-2022-06-08_10-40.WAV,2022 OR1,2022,6,8,10,40,Agelaius tricolor,Alternative Song 2,4.51733,4.92267,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/08/l3jyatvwscsa/f55da9eb-23c3-436a-b8cb-51ff42fc5069.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733277797&Signature=dMAQOw8rgCqNZ6MtPIfkqSPOubA%3D,0.276808,33851
637760617,OR1am-2022-06-08_15-50.WAV,2022 OR1,2022,6,8,15,50,Agelaius tricolor,Alternative Song 2,31.856,32.2613,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/08/l3jyatvwscsa/ea7c33ad-9b56-4d0a-b33d-dd2bfd6db59d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733277797&Signature=Iwx8haYIAhPuZqADCDNqR%2BAJ%2BSE%3D,0.255119,33851
637760618,OR1am-2022-06-08_13-20.WAV,2022 OR1,2022,6,8,13,20,Agelaius tricolor,Alternative Song 2,42.3253,42.7307,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/08/l3jyatvwscsa/cfc0b2cb-7c87-48c3-86e8-9710d65efb92.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733277797&Signature=f4T2fzpESBKhKQmmlQPKjsm21fs%3D,0.212706,33851
637760619,OR1am-2022-06-08_15-40.WAV,2022 OR1,2022,6,8,15,40,Agelaius tricolor,Alternative Song 2,34.3787,34.784,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/08/l3jyatvwscsa/924e5175-c25a-4346-8988-8e0720d8eb6f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733277797&Signature=9a3qXX8qLzY8WLupygYqzSZ6z4Y%3D,0.219453,33851
637760620,OR1am-2022-06-08_16-20.WAV,2022 OR1,2022,6,8,16,20,Agelaius tricolor,Alternative Song 2,15.0187,15.424,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/08/l3jyatvwscsa/d379a2d8-673e-4361-bf47-1c5d04ecbe4a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733277797&Signature=rRxIJ6WhW85KBj5NinBt0WdEWJc%3D,0.211658,33851
637760621,OR1am-2022-06-08_15-20.WAV,2022 OR1,2022,6,8,15,20,Agelaius tricolor,Alternative Song 2,59.52,59.9253,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/08/l3jyatvwscsa/9803b8cf-bc48-4cd7-9da2-e5d4b9ccebbc.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733277797&Signature=FxVQ0dCIhSn8f0hBkA2U%2BwUzemk%3D,0.289201,33851
637760622,OR1am-2022-06-08_16-30.WAV,2022 OR1,2022,6,8,16,30,Agelaius tricolor,Alternative Song 2,43.8133,44.2187,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/08/l3jyatvwscsa/0ee53a04-ff2b-420b-b7f2-970cd7e992c3.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733277797&Signature=rjO2cOxeuXGe7%2BJDL71HtywKEmI%3D,0.206564,33851
637760623,OR1am-2022-06-08_16-10.WAV,2022 OR1,2022,6,8,16,10,Agelaius tricolor,Alternative Song 2,1.24267,1.648,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/08/l3jyatvwscsa/8cd143b1-09f6-4cb3-92e1-ea52f9c15f9f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733277797&Signature=m6k2GF9iibALc9pMZX0lQHUET2E%3D,0.230988,33851
637760624,OR1am-2022-06-08_17-20.WAV,2022 OR1,2022,6,8,17,20,Agelaius tricolor,Alternative Song 2,44.112,44.5173,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/09/l3jyatvwscsa/98ce73de-a47e-42ab-8492-2c2e43673ca9.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733277797&Signature=zDfgOMvyEbsRqQ%2FCvyAh%2FajZsw4%3D,0.211584,33851
637760625,OR1am-2022-06-08_18-20.WAV,2022 OR1,2022,6,8,18,20,Agelaius tricolor,Alternative Song 2,9.952,10.3573,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/09/l3jyatvwscsa/6c87b1a1-ecf4-4f77-976f-b924d439efc4.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733277797&Signature=vclA%2BBmEGT187%2F%2FvsWkHS%2Fdt3bg%3D,0.217631,33851
637760626,OR1am-2022-06-08_12-00.WAV,2022 OR1,2022,6,8,12,0,Agelaius tricolor,Alternative Song 2,42.8693,43.2747,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/08/l3jyatvwscsa/d9376287-fb2e-4651-8e3a-220496cec269.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733277797&Signature=v3v4g8kdHna3MKT2yGen6qlYnTU%3D,0.212278,33851
637760627,OR1am-2022-06-08_17-50.WAV,2022 OR1,2022,6,8,17,50,Agelaius tricolor,Alternative Song 2,36.3147,36.72,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/09/l3jyatvwscsa/c05cd319-389f-40aa-b306-e654938b8f3f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733277797&Signature=cpGlWcaaH8CKOl3lWo4THjU2hk0%3D,0.205643,33851
637760628,OR1am-2022-06-08_13-00.WAV,2022 OR1,2022,6,8,13,0,Agelaius tricolor,Alternative Song 2,28.5547,28.96,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/08/l3jyatvwscsa/fa41bf5b-a87c-4833-b33b-e1a45b869f89.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733277797&Signature=4Nb32vBD5DP5S8tu44JxRyjseUc%3D,0.217435,33851
637760629,OR1am-2022-06-08_20-10.WAV,2022 OR1,2022,6,8,20,10,Agelaius tricolor,Alternative Song 2,33.1253,33.5307,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/09/l3jyatvwscsa/a7a03742-b991-4ac4-948a-5f42a2b7bc2c.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733277797&Signature=ircjPucdxMLiGbB18wtFFdi4P6U%3D,0.215707,33851
637760630,OR1am-2022-06-08_20-20.WAV,2022 OR1,2022,6,8,20,20,Agelaius tricolor,Alternative Song 2,30.2293,30.6347,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/09/l3jyatvwscsa/5f585cad-b1d9-47c0-8a21-8db1238dd548.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733277797&Signature=DElWmZjOENrXG7VwPIW1GJQ5M0c%3D,0.224536,33851
637760631,OR1am-2022-06-08_18-10.WAV,2022 OR1,2022,6,8,18,10,Agelaius tricolor,Alternative Song 2,40.528,40.9333,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/09/l3jyatvwscsa/9e86cdcb-123e-4658-a0b0-6cc4315062de.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733277797&Signature=9RJUTITCmnCwQxJrGQpzWSUhlns%3D,0.267002,33851
637760632,OR1am-2022-06-09_08-30.WAV,2022 OR1,2022,6,9,8,30,Agelaius tricolor,Alternative Song 2,59.5893,59.9947,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/09/l3jyatvwscsa/8070eee2-194f-4d83-966f-2c7e9ab1f24e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733277797&Signature=emlEM6IlOmAj1rPfOSLNiGB%2F9ZA%3D,0.261669,33851
637760633,OR1am-2022-06-08_18-30.WAV,2022 OR1,2022,6,8,18,30,Agelaius tricolor,Alternative Song 2,0.064,0.469333,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/09/l3jyatvwscsa/ce464030-304b-4b1d-9cc0-8d7e49e7ccb2.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733277797&Signature=HhgFBf%2FuQHjyhZWFqOPFs8hV%2BCI%3D,0.225273,33851
637760634,OR1am-2022-06-08_19-20.WAV,2022 OR1,2022,6,8,19,20,Agelaius tricolor,Alternative Song 2,29.3867,29.792,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/09/l3jyatvwscsa/118c6e56-cc40-4d46-a450-11df10bc6153.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733277797&Signature=yKAoVRVdJvBUv5P00up3nd2Q9xk%3D,0.223659,33851
637760635,OR1am-2022-06-09_09-30.WAV,2022 OR1,2022,6,9,9,30,Agelaius tricolor,Alternative Song 2,25.504,25.9093,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/09/l3jyatvwscsa/57878bef-eeb0-4ab5-b962-3105f3a9d592.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733277797&Signature=IbAxKsUWy2MV4oRGswCnBmjHRqQ%3D,0.311343,33851
637760636,OR1am-2022-06-09_08-20.WAV,2022 OR1,2022,6,9,8,20,Agelaius tricolor,Alternative Song 2,2.94933,3.35467,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/09/l3jyatvwscsa/7220f36e-67f7-41a9-96b2-ecfacd468b72.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733277797&Signature=M%2BdA%2BUzpM9fo5%2BhLQVzTQTCT5Oo%3D,0.291299,33851
