id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
346665355,PRTPam-2022-08-04_09-40.WAV,2022 Paicines Ranch - Teal Pond,2022,8,4,9,40,Agelaius tricolor,Alternative Song 2,17.92,18.325333333333333,656.25,7406.25,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/85143044,0.31587955056178413,34071
346665356,PRTPam-2022-08-05_11-00.WAV,2022 Paicines Ranch - Teal Pond,2022,8,5,11,0,Agelaius tricolor,Alternative Song 2,19.034666666666666,19.44,656.25,7406.25,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/85143111,0.2362019714130838,34071
346665357,PRTPam-2022-08-05_17-20.WAV,2022 Paicines Ranch - Teal Pond,2022,8,5,17,20,Agelaius tricolor,Alternative Song 2,24.72,25.125333333333334,656.25,7406.25,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/85143118,0.22239221189545444,34071
346665358,PRTPam-2022-08-05_10-40.WAV,2022 Paicines Ranch - Teal Pond,2022,8,5,10,40,Agelaius tricolor,Alternative Song 2,11.104,11.509333333333334,656.25,7406.25,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/85143119,0.21747101699618432,34071
346665359,PRTPam-2022-08-04_20-20.WAV,2022 Paicines Ranch - Teal Pond,2022,8,4,20,20,Agelaius tricolor,Alternative Song 2,56.36266666666667,56.768,656.25,7406.25,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/85143122,0.23050018148784385,34071
346665360,PRTPam-2022-08-05_20-00.WAV,2022 Paicines Ranch - Teal Pond,2022,8,5,20,0,Agelaius tricolor,Alternative Song 2,32.304,32.70933333333333,656.25,7406.25,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/85143137,0.21524000496291293,34071
346665361,PRTPam-2022-08-05_14-40.WAV,2022 Paicines Ranch - Teal Pond,2022,8,5,14,40,Agelaius tricolor,Alternative Song 2,6.693333333333333,7.0986666666666665,656.25,7406.25,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/85143143,0.24439020588253194,34071
346665362,PRTPam-2022-08-05_15-40.WAV,2022 Paicines Ranch - Teal Pond,2022,8,5,15,40,Agelaius tricolor,Alternative Song 2,42.46933333333333,42.87466666666667,656.25,7406.25,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/85143248,0.2302071887666438,34071
346665363,PRTPam-2022-08-05_19-00.WAV,2022 Paicines Ranch - Teal Pond,2022,8,5,19,0,Agelaius tricolor,Alternative Song 2,7.898666666666666,8.304,656.25,7406.25,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/85143253,0.2166318126657105,34071
346665364,PRTPam-2022-07-09_16-20.WAV,2022 Paicines Ranch - Teal Pond,2022,7,9,16,20,Agelaius tricolor,Alternative Song 2,15.605333333333334,16.010666666666665,656.25,7406.25,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/85244632,0.20372764613772754,34071
346665365,PRTPam-2022-07-12_19-20.WAV,2022 Paicines Ranch - Teal Pond,2022,7,12,19,20,Agelaius tricolor,Alternative Song 2,15.109333333333334,15.514666666666667,656.25,7406.25,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/85245349,0.22741097572859081,34071
346665366,PRTPam-2022-06-17_16-40.WAV,2022 Paicines Ranch - Teal Pond,2022,6,17,16,40,Agelaius tricolor,Alternative Song 2,51.17333333333333,51.57866666666666,656.25,7406.25,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/85300016,0.23643685853381882,34071
346665367,PRTPam-2022-05-05_15-20.WAV,2022 Paicines Ranch - Teal Pond,2022,5,5,15,20,Agelaius tricolor,Alternative Song 2,56.57066666666667,56.976,656.25,7406.25,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/85300026,0.23505730208134082,34071
346665368,PRTPam-2022-05-12_20-20.WAV,2022 Paicines Ranch - Teal Pond,2022,5,12,20,20,Agelaius tricolor,Alternative Song 2,18.917333333333332,19.322666666666667,656.25,7406.25,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/85300050,0.22510130892453503,34071
346665369,PRTPam-2022-06-20_08-20.WAV,2022 Paicines Ranch - Teal Pond,2022,6,20,8,20,Agelaius tricolor,Alternative Song 2,37.184,37.589333333333336,656.25,7406.25,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/85300060,0.24475570993056134,34071
346666634,PRTPam-2022-08-02_09-00.WAV,2022 Paicines Ranch - Teal Pond,2022,8,2,9,0,Agelaius tricolor,Alternative Song 2,5.328,5.733333333333333,656.25,7406.25,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/85116511,0.24126169986235796,34071
346666635,PRTPam-2022-08-01_16-20.WAV,2022 Paicines Ranch - Teal Pond,2022,8,1,16,20,Agelaius tricolor,Alternative Song 2,3.7493333333333334,4.1546666666666665,656.25,7406.25,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/85116578,0.21456385517611037,34071
346666636,PRTPam-2022-07-29_08-00.WAV,2022 Paicines Ranch - Teal Pond,2022,7,29,8,0,Agelaius tricolor,Alternative Song 2,38.672,39.077333333333335,656.25,7406.25,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/85116657,0.2552327354464182,34071
346666637,PRTPam-2022-07-28_12-00.WAV,2022 Paicines Ranch - Teal Pond,2022,7,28,12,0,Agelaius tricolor,Alternative Song 2,48.26133333333333,48.666666666666664,656.25,7406.25,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/85116692,0.20640045126235754,34071
346666638,PRTPam-2022-07-29_09-40.WAV,2022 Paicines Ranch - Teal Pond,2022,7,29,9,40,Agelaius tricolor,Alternative Song 2,25.578666666666667,25.984,656.25,7406.25,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/85116717,0.23482701940178158,34071
346666639,PRTPam-2022-08-02_08-00.WAV,2022 Paicines Ranch - Teal Pond,2022,8,2,8,0,Agelaius tricolor,Alternative Song 2,49.22666666666667,49.632,656.25,7406.25,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/85116793,0.2502394326207071,34071
346666640,PRTPam-2022-07-26_13-20.WAV,2022 Paicines Ranch - Teal Pond,2022,7,26,13,20,Agelaius tricolor,Alternative Song 2,37.690666666666665,38.096,656.25,7406.25,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/85116814,0.22671845318999537,34071
346666641,PRTPam-2022-07-20_18-20.WAV,2022 Paicines Ranch - Teal Pond,2022,7,20,18,20,Agelaius tricolor,Alternative Song 2,36.864,37.269333333333336,656.25,7406.25,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/85116819,0.2409708585912211,34071
346666642,PRTPam-2022-07-31_04-00.WAV,2022 Paicines Ranch - Teal Pond,2022,7,31,4,0,Agelaius tricolor,Alternative Song 2,38.59733333333333,39.00266666666667,656.25,7406.25,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/85116823,0.2923273496803005,34071
