id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
868672461,PCP4am-2022-05-19_19-40.WAV,2022 Panoche Creek Preserve Loc5,2022,5,19,19,40,Agelaius tricolor,Courtship Song,51.712,52.6507,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/20/u5l3aw03nhnn/2fdd708c-ce5e-460c-a033-10db4cfa0229.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734395588&Signature=h6pCDEnxdE25Vv2Gr0FN6OTYvUA%3D,0.587797,34130
868672462,PCP4am-2022-05-19_11-40.WAV,2022 Panoche Creek Preserve Loc5,2022,5,19,11,40,Agelaius tricolor,Courtship Song,43.232,44.1707,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/19/u5l3aw03nhnn/1c78f5c7-5c1e-4f19-b6a0-1386f918e583.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734395588&Signature=jUkVCyiGu6FYq8SBG%2BuzhYyxMOk%3D,0.244263,34130
868672463,PCP4am-2022-05-19_22-40.WAV,2022 Panoche Creek Preserve Loc5,2022,5,19,22,40,Agelaius tricolor,Courtship Song,32.768,33.7067,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/20/u5l3aw03nhnn/fb015e1b-96e3-4d45-9ed2-5568eb0f4d12.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734395588&Signature=8%2BWQIbnNGxU7RpR9%2B7LzaHogRNM%3D,0.366993,34130
868672464,PCP4am-2022-05-18_16-20.WAV,2022 Panoche Creek Preserve Loc5,2022,5,18,16,20,Agelaius tricolor,Courtship Song,31.8667,32.8053,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/18/u5l3aw03nhnn/81baa66f-d742-41d8-a40a-1c59e2491910.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734395588&Signature=FvDjd2QKt6aMRDnCc8I0CNHdLUU%3D,0.244456,34130
868672465,PCP4am-2022-05-18_17-00.WAV,2022 Panoche Creek Preserve Loc5,2022,5,18,17,0,Agelaius tricolor,Courtship Song,18.7733,19.712,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/19/u5l3aw03nhnn/fa84a7e9-4b84-485f-b3f4-a664c41ca670.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734395588&Signature=OtJEaxn%2F%2FHhjFXnpQ7AjorhyBWk%3D,0.316613,34130
868672466,PCP4am-2022-05-19_19-20.WAV,2022 Panoche Creek Preserve Loc5,2022,5,19,19,20,Agelaius tricolor,Courtship Song,14.416,15.3547,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/20/u5l3aw03nhnn/dacfc5b5-b5cc-43e5-a154-0079845d4527.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734395588&Signature=%2BKBGIMWn3wXhQcqi3ZoRgrGseqQ%3D,0.477748,34130
868672467,PCP4am-2022-05-18_12-20.WAV,2022 Panoche Creek Preserve Loc5,2022,5,18,12,20,Agelaius tricolor,Courtship Song,0.128,1.06667,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/18/u5l3aw03nhnn/ce2259f2-e0c4-4c54-89d5-a3f21e533b0a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734395588&Signature=d8egNHWTFk%2FhoPfIvY5fprg3ud4%3D,0.238422,34130
868672468,PCP4am-2022-05-19_23-00.WAV,2022 Panoche Creek Preserve Loc5,2022,5,19,23,0,Agelaius tricolor,Courtship Song,49.056,49.9947,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/20/u5l3aw03nhnn/934f5ce0-3b6a-4973-b775-6e4bd6ee739b.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734395588&Signature=8cvbpVcQcXf4B%2BOFj47%2BfUyQRik%3D,0.214808,34130
868672469,PCP4am-2022-05-19_23-40.WAV,2022 Panoche Creek Preserve Loc5,2022,5,19,23,40,Agelaius tricolor,Courtship Song,43.7387,44.6773,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/20/u5l3aw03nhnn/c5d00b1e-66cf-4274-974b-1f40154b351e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734395588&Signature=SYL91spA7Kw76BCv2SfmmmjFIM4%3D,0.444183,34130
868672470,PCP4am-2022-05-20_01-20.WAV,2022 Panoche Creek Preserve Loc5,2022,5,20,1,20,Agelaius tricolor,Courtship Song,42.5493,43.488,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/20/u5l3aw03nhnn/b4b3829a-5d9c-406b-96f1-f562fb6d8996.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734395588&Signature=ijpT0TxU6%2Fb2glJoetyN%2BBQSHMw%3D,0.323079,34130
