id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
337681154,PCP4am-2022-04-14_11-20.WAV,2022 Panoche Creek Preserve Loc5,2022,4,14,11,20,Agelaius tricolor,Common Song,49.984,51.216,1219,5531,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/04/14/u5l3aw03nhnn/ccb0357e-de2a-42b1-bfa5-c6b1d7fbebb2.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734395581&Signature=PN%2BDT%2Bh9ZXdMpP8q34vLqzFCXkQ%3D,0.206049,34130
337681155,PCP4am-2022-04-14_13-00.WAV,2022 Panoche Creek Preserve Loc5,2022,4,14,13,0,Agelaius tricolor,Common Song,54.112,55.344,1219,5531,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/04/14/u5l3aw03nhnn/51d2f1c9-16fd-4e05-8f07-7b653ade42a2.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734395581&Signature=3CEXIPeaxD6Ohjhua6xyjayQMrg%3D,0.21842,34130
337681156,PCP4am-2022-04-14_12-00.WAV,2022 Panoche Creek Preserve Loc5,2022,4,14,12,0,Agelaius tricolor,Common Song,16.096,17.328,1219,5531,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/04/14/u5l3aw03nhnn/b6b1c54b-5c8b-41bd-a137-732a7afeb593.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734395581&Signature=dwzcXudkh0XP6GMBjLJ%2F8y5qcoA%3D,0.253763,34130
337681157,PCP4am-2022-04-14_16-40.WAV,2022 Panoche Creek Preserve Loc5,2022,4,14,16,40,Agelaius tricolor,Common Song,56.288,57.52,1219,5531,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/04/14/u5l3aw03nhnn/3117d584-0ed6-4a7a-b818-a73118d63209.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734395581&Signature=weeb5HZEoMFIPHFKW1k5O6AqPsI%3D,0.217748,34130
337681158,PCP4am-2022-04-14_14-00.WAV,2022 Panoche Creek Preserve Loc5,2022,4,14,14,0,Agelaius tricolor,Common Song,41.8827,43.1147,1219,5531,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/04/14/u5l3aw03nhnn/31804b5b-7dda-493d-bbd7-c162bd685ea9.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734395581&Signature=ccCdjlNLhZqYxM1jFkf6BN9ZvY8%3D,0.215847,34130
337681159,PCP4am-2022-04-14_18-40.WAV,2022 Panoche Creek Preserve Loc5,2022,4,14,18,40,Agelaius tricolor,Common Song,18.1813,19.4133,1219,5531,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/04/15/u5l3aw03nhnn/061ad6b5-0a18-4f8a-8dd9-7777d0ffc1be.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734395581&Signature=UbKWURctLTOuwo3aWmwuj1UmVmo%3D,0.205246,34130
337681160,PCP4am-2022-04-15_10-00.WAV,2022 Panoche Creek Preserve Loc5,2022,4,15,10,0,Agelaius tricolor,Common Song,13.936,15.168,1219,5531,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/04/15/u5l3aw03nhnn/18eec9d4-bec8-4fc3-b80c-6bb6dfc053dc.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734395581&Signature=rRXAxbh%2F0UBGys2cBW%2FtKXQrR4Y%3D,0.289048,34130
337681161,PCP4am-2022-04-15_07-00.WAV,2022 Panoche Creek Preserve Loc5,2022,4,15,7,0,Agelaius tricolor,Common Song,22.9227,24.1547,1219,5531,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/04/15/u5l3aw03nhnn/8d88b8f3-5a9f-48c0-aac7-6f8a345cbc3d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734395581&Signature=Y%2FgTPRKAFU1gj4Y6GcWmP2gBd1Q%3D,0.241062,34130
337681162,PCP4am-2022-04-15_10-40.WAV,2022 Panoche Creek Preserve Loc5,2022,4,15,10,40,Agelaius tricolor,Common Song,13.44,14.672,1219,5531,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/04/15/u5l3aw03nhnn/d5af066c-4021-46c6-958e-2a4abffe6b54.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734395581&Signature=drKKQTK8otgbmHQ%2F9JVZzUlUD20%3D,0.241751,34130
337681163,PCP4am-2022-04-15_13-00.WAV,2022 Panoche Creek Preserve Loc5,2022,4,15,13,0,Agelaius tricolor,Common Song,12.56,13.792,1219,5531,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/04/15/u5l3aw03nhnn/e7eadcce-ba23-4535-a527-e5d620cc9621.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734395581&Signature=W0XCvCSI2hnsP1cmzff5YqABB%2BY%3D,0.279293,34130
337681164,PCP4am-2022-04-15_06-00.WAV,2022 Panoche Creek Preserve Loc5,2022,4,15,6,0,Agelaius tricolor,Common Song,26.4853,27.7173,1219,5531,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/04/15/u5l3aw03nhnn/3d865bf2-1a50-4536-b97f-186affaf9b87.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734395581&Signature=TeaAp4RIEDMIekT8XqP22ax1rI0%3D,0.202945,34130
337681165,PCP4am-2022-04-15_19-40.WAV,2022 Panoche Creek Preserve Loc5,2022,4,15,19,40,Agelaius tricolor,Common Song,43.4187,44.6507,1219,5531,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/04/16/u5l3aw03nhnn/88a572b0-e311-4492-8913-322f2d52a481.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734395581&Signature=LKckYOzFtOTmLZZtoZ3WNqDOA0w%3D,0.212719,34130
