id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
640407240,USDA1am-2022-05-28_20-00.WAV,2022 Private Site 1 - not real lat lon,2022,5,28,20,0,Agelaius tricolor,Simple Call 2,38.9227,39.3173,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/29/tl6qy14ycr01/3252a328-f709-42aa-bc49-df38f79aa982.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278437&Signature=cPE%2BqAUCa5%2Bu1Zj1AMVN3d8j0kk%3D,0.410346,34131
640407241,USDA1am-2022-05-27_15-00.WAV,2022 Private Site 1 - not real lat lon,2022,5,27,15,0,Agelaius tricolor,Simple Call 2,5.104,5.49867,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/27/tl6qy14ycr01/86afdda1-d828-4df7-b206-8e4f8a6cd491.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278437&Signature=Ds285v1GnQ%2BLM0pgk%2Btl8Ro2YII%3D,0.49733,34131
640407242,USDA1am-2022-05-27_06-00.WAV,2022 Private Site 1 - not real lat lon,2022,5,27,6,0,Agelaius tricolor,Simple Call 2,6.65067,7.04533,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/27/tl6qy14ycr01/d83e741a-6815-4c23-9e8d-83440c8d1a50.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278437&Signature=Krjj2BmrFPJXYgJ7p1w%2Biprx2kY%3D,0.513144,34131
640407243,USDA1am-2022-05-27_13-20.WAV,2022 Private Site 1 - not real lat lon,2022,5,27,13,20,Agelaius tricolor,Simple Call 2,13.0453,13.44,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/27/tl6qy14ycr01/ee3c512e-d842-45c0-aa11-58ad38c84a94.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278437&Signature=FdWqBwy94Ydu0Ar2kF02EV5944Y%3D,0.466095,34131
640407244,USDA1am-2022-05-27_19-00.WAV,2022 Private Site 1 - not real lat lon,2022,5,27,19,0,Agelaius tricolor,Simple Call 2,30.2667,30.6613,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/28/tl6qy14ycr01/ac9d4125-b387-4a10-88a6-b11da0b63682.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278437&Signature=wGM5%2FLeKYbDPo%2BsZxZSBPgZBeU4%3D,0.455305,34131
640407245,USDA1am-2022-05-27_10-20.WAV,2022 Private Site 1 - not real lat lon,2022,5,27,10,20,Agelaius tricolor,Simple Call 2,36.6827,37.0773,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/27/tl6qy14ycr01/4d337d1c-55d8-4d2c-8592-361c49cabc61.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278437&Signature=K34%2B7lsxGZmtqEzJpC8WHduRBEs%3D,0.502975,34131
640407246,USDA1am-2022-05-27_13-00.WAV,2022 Private Site 1 - not real lat lon,2022,5,27,13,0,Agelaius tricolor,Simple Call 2,15.7013,16.096,375,21656,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/27/tl6qy14ycr01/2154553b-5da9-4141-ab94-15e9e0cf497f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278437&Signature=eTeaEqrq3Ylc6X%2B2EL8JUQgDEt0%3D,0.503713,34131
640407247,USDA1am-2022-05-27_18-40.WAV,2022 Private Site 1 - not real lat lon,2022,5,27,18,40,Agelaius tricolor,Simple Call 2,50.6293,51.024,375,21656,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/28/tl6qy14ycr01/734331c7-e811-479d-9084-e211d384689d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278437&Signature=aDbltTJWw1HI0IcRa0ftlBE1iOM%3D,0.586017,34131
640407248,USDA1am-2022-05-27_18-20.WAV,2022 Private Site 1 - not real lat lon,2022,5,27,18,20,Agelaius tricolor,Simple Call 2,2.49067,2.88533,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/28/tl6qy14ycr01/9639f591-95f4-4c16-910c-d251a75b6f92.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278437&Signature=C7ps9rqsaL5ULm4K0NBxJo37ebE%3D,0.542454,34131
640407249,USDA1am-2022-05-28_07-20.WAV,2022 Private Site 1 - not real lat lon,2022,5,28,7,20,Agelaius tricolor,Simple Call 2,23.408,23.8027,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/28/tl6qy14ycr01/a1b4c74e-04d1-4f33-871d-2aea147f63f5.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278437&Signature=wQF5ap68KcDtxmTbuicDoK3lb0M%3D,0.535898,34131
