id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
720940286,WA3am-2022-05-01_20-00.WAV,2022 WA Harder Spring,2022,5,1,20,0,sp11,Simple Call,17.477333333333334,18.224,2250,13687.5,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/02/a1wmaiffxld2/b9ad0c89-9780-4364-94e3-ff11e18834ca.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1720626976&Signature=NXdTF0DAQrvI616Q5%2BU4IM4xaCU%3D,0.20261885490544412,33984
720940287,WA3am-2022-05-02_18-20.WAV,2022 WA Harder Spring,2022,5,2,18,20,sp11,Simple Call,36.272,37.01866666666667,2250,13687.5,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/03/a1wmaiffxld2/cf3a9707-7404-494a-98fa-47fc474769ea.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1720626976&Signature=zD0coR%2B3HlCXCj%2BcFzmVhI%2F5lyw%3D,0.23366994853899062,33984
720940288,WA3am-2022-05-02_05-00.WAV,2022 WA Harder Spring,2022,5,2,5,0,sp11,Simple Call,14.8,15.546666666666667,2250,13687.5,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/02/a1wmaiffxld2/acdc218d-014e-4fb9-80ec-162d8c1d9445.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1720626976&Signature=13wUW2MAQt%2FUkNAsw21tVC6%2B%2FTs%3D,0.2137436707553931,33984
720940289,WA3am-2022-05-02_08-20.WAV,2022 WA Harder Spring,2022,5,2,8,20,sp11,Simple Call,29.077333333333332,29.824,2250,13687.5,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/02/a1wmaiffxld2/28199b45-3888-4555-bb5e-dbf801794570.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1720626976&Signature=eRdksk03jfyH4qdEqVUYOU3DW4E%3D,0.21040118002057898,33984
720940290,WA3am-2022-05-03_05-00.WAV,2022 WA Harder Spring,2022,5,3,5,0,sp11,Simple Call,0.26666666666666666,1.0133333333333334,2250,13687.5,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/03/a1wmaiffxld2/efb087df-1f98-443e-b37b-acf4f6e9ace1.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1720626976&Signature=fNghJZhHXJQzLgWfPlhFDNZ8shY%3D,0.24187297562837734,33984
720940291,WA3am-2022-05-03_13-20.WAV,2022 WA Harder Spring,2022,5,3,13,20,sp11,Simple Call,30.197333333333333,30.944,2250,13687.5,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/03/a1wmaiffxld2/31d12801-1fe2-4bab-ad7d-2f9088ed0b2a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1720626976&Signature=ZhWQXuz3xE%2B52SGMkYgdE%2FOa5Js%3D,0.2194801166947857,33984
720940292,WA3am-2022-05-03_05-40.WAV,2022 WA Harder Spring,2022,5,3,5,40,sp11,Simple Call,2.1546666666666665,2.9013333333333335,2250,13687.5,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/03/a1wmaiffxld2/e44c8e59-74e2-4e52-bfce-dcbf90e9a617.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1720626976&Signature=4xIYyLOLYgzPgubgwSomPNb3t2w%3D,0.2118440869515043,33984
720940293,WA3am-2022-05-03_09-20.WAV,2022 WA Harder Spring,2022,5,3,9,20,sp11,Simple Call,44.650666666666666,45.397333333333336,2250,13687.5,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/03/a1wmaiffxld2/0a6e4667-971a-4eb5-9faf-7f04ea8c5fcd.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1720626976&Signature=js2JyC4LaBTrX6sB6Dwv%2BGVvgdM%3D,0.21433618763128995,33984
720940294,WA3am-2022-05-03_16-20.WAV,2022 WA Harder Spring,2022,5,3,16,20,sp11,Simple Call,17.354666666666667,18.101333333333333,2250,13687.5,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/03/a1wmaiffxld2/b5e0209a-f1fa-41fe-a7ac-cbceb102e159.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1720626976&Signature=Ch5eJ4a6RNBDrhIbap8N9g%2FpWzY%3D,0.228500264335064,33984
720940295,WA3am-2022-05-03_06-40.WAV,2022 WA Harder Spring,2022,5,3,6,40,sp11,Simple Call,32.88,33.626666666666665,2250,13687.5,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/03/a1wmaiffxld2/c269b756-5b7b-4751-9cdf-77e25da118ae.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1720626976&Signature=Vmfh%2FISm1eRdl9m9e38lFNTapmA%3D,0.24747202363538467,33984
