id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
986501615,WA3am-2022-03-22_13-20.WAV,2022 WA Harder Spring,2022,3,22,13,20,Pseudacris regilla,Common Song,51.8027,53.0187,1406,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/03/22/a1wmaiffxld2/e0a8c3df-abae-48e6-93ca-5493c57ec35b.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734395727&Signature=qY6oZB03yilR3IeIxQVeOw51ZAg%3D,0.202349,33984
986501616,WA3am-2022-03-22_08-20.WAV,2022 WA Harder Spring,2022,3,22,8,20,Pseudacris regilla,Common Song,50.2027,51.4187,1406,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/03/22/a1wmaiffxld2/7f4ce796-e9ac-4e8b-b38a-191a8aa15f3e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734395727&Signature=900O4xr4VrbZIkmEQqOm8Iiy0iA%3D,0.204561,33984
986501617,WA3am-2022-03-22_10-20.WAV,2022 WA Harder Spring,2022,3,22,10,20,Pseudacris regilla,Common Song,22.9867,24.2027,1406,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/03/22/a1wmaiffxld2/a7bb7b2b-a6b7-4c33-b1ce-bb1c41dd0c75.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734395727&Signature=N9VGN4QjDgrZwAu7uGlR1siJFyU%3D,0.209692,33984
986501618,WA3am-2022-03-22_12-00.WAV,2022 WA Harder Spring,2022,3,22,12,0,Pseudacris regilla,Common Song,28.224,29.44,1406,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/03/22/a1wmaiffxld2/c143647d-1002-47c2-8974-15f288fc0799.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734395727&Signature=w2JwDCONEJMvoJBxDuztdxVIFuo%3D,0.255969,33984
986501619,WA3am-2022-03-22_11-00.WAV,2022 WA Harder Spring,2022,3,22,11,0,Pseudacris regilla,Common Song,13.456,14.672,1406,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/03/22/a1wmaiffxld2/53fd1674-da6d-48fa-a81e-62560daedc45.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734395727&Signature=zwoLeLthq9sQy9G6SoKNyGoezG0%3D,0.234018,33984
986501620,WA3am-2022-03-22_23-00.WAV,2022 WA Harder Spring,2022,3,22,23,0,Pseudacris regilla,Common Song,21.984,23.2,1406,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/03/23/a1wmaiffxld2/e1794869-7b40-49a7-8b68-992bc2a7619b.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734395727&Signature=fK8gchs1gTBSVeKDEDUyURzPRhE%3D,0.241758,33984
986501621,WA3am-2022-03-23_02-00.WAV,2022 WA Harder Spring,2022,3,23,2,0,Pseudacris regilla,Common Song,14.8853,16.1013,1406,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/03/23/a1wmaiffxld2/a44375fb-9d8d-4703-944e-429361be9edd.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734395727&Signature=cOLysZ37umrcmZmp2ymoOgaIZK8%3D,0.229513,33984
986501622,WA3am-2022-03-23_02-40.WAV,2022 WA Harder Spring,2022,3,23,2,40,Pseudacris regilla,Common Song,56.416,57.632,1406,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/03/23/a1wmaiffxld2/f375ae6e-fd20-4ab6-9e13-6618a31ada72.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734395727&Signature=JdRVZLCx3Dv5Nzw4si%2BFi5%2F0Ipc%3D,0.274429,33984
986501623,WA3am-2022-03-21_19-20.WAV,2022 WA Harder Spring,2022,3,21,19,20,Pseudacris regilla,Common Song,58.016,59.232,1406,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/03/22/a1wmaiffxld2/3114a1be-32cc-4e7a-8494-8de51bc34d00.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734395727&Signature=NH7RQzwe3Ha%2BCuCIh9ayZi3lUOM%3D,0.20056,33984
986501624,WA3am-2022-03-22_19-40.WAV,2022 WA Harder Spring,2022,3,22,19,40,Pseudacris regilla,Common Song,1.808,3.024,1406,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/03/23/a1wmaiffxld2/8ac39689-ee8b-4641-93b8-bd027e2a4114.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734395727&Signature=Q%2BNu6YMgj%2BUAQwmLuWYMmQqMdZ0%3D,0.24769,33984
