id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
598676305,SJWA.BPam-2023-04-24_18-20.WAV,2023 Bridge St Pond,2023,4,24,19,20,Agelaius tricolor,Alternative Song 2,2.69333,3.09867,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/25/e88ms9ustr5z/a52ce3ac-2608-4b42-a1b2-1366be325c39.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278793&Signature=H7fENj8TfJvylRkCoirqp%2BsDng4%3D,0.290962,48438
598676306,SJWA.BPam-2023-05-03_00-40.WAV,2023 Bridge St Pond,2023,5,3,1,40,Agelaius tricolor,Alternative Song 2,47.7813,48.1867,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/03/e88ms9ustr5z/1af88b6b-3041-48ac-914f-2058c70dcfc6.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278793&Signature=OMfZ%2BL5jy7hnRljKaqHKDHFStk8%3D,0.249725,48438
598676307,SJWA.BPam-2023-05-02_07-00.WAV,2023 Bridge St Pond,2023,5,2,8,0,Agelaius tricolor,Alternative Song 2,18.48,18.8853,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/02/e88ms9ustr5z/83bedccf-971d-4446-a09d-d3abce65c041.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278793&Signature=Osjj5XGLje0kwjY6EIN%2FPrJXsXI%3D,0.287085,48438
598677017,SJWA.BPam-2023-05-06_15-00.WAV,2023 Bridge St Pond,2023,5,6,16,0,Agelaius tricolor,Alternative Song 2,50.032,50.4373,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/06/e88ms9ustr5z/31db97e9-a18c-424a-bfaf-e96707975224.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278793&Signature=UFS6H4vDTndwE7wXNtc%2BnfI2ft4%3D,0.279722,48438
598677018,SJWA.BPam-2023-05-06_14-40.WAV,2023 Bridge St Pond,2023,5,6,15,40,Agelaius tricolor,Alternative Song 2,19.8293,20.2347,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/06/e88ms9ustr5z/140241a7-e663-4e15-9b6e-5010b0daae68.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278793&Signature=TrRQLiqngoWmujR9y11GonyY8ZQ%3D,0.261661,48438
598677019,SJWA.BPam-2023-05-06_14-20.WAV,2023 Bridge St Pond,2023,5,6,15,20,Agelaius tricolor,Alternative Song 2,20.064,20.4693,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/06/e88ms9ustr5z/ea8096d7-2a09-4d27-a4d5-c06669c3e894.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278793&Signature=Q5iU%2FF2UtOJ3c4fs3ylzIjfRAYA%3D,0.295867,48438
598677020,SJWA.BPam-2023-05-06_14-00.WAV,2023 Bridge St Pond,2023,5,6,15,0,Agelaius tricolor,Alternative Song 2,7.33867,7.744,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/06/e88ms9ustr5z/a4f82260-44da-4e77-a837-d0341a4093de.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278793&Signature=zFNpPfg4GcRHUdMcsQkoDv60kZA%3D,0.328892,48438
598677021,SJWA.BPam-2023-05-06_13-40.WAV,2023 Bridge St Pond,2023,5,6,14,40,Agelaius tricolor,Alternative Song 2,49.1253,49.5307,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/06/e88ms9ustr5z/248a85c1-4a60-4c00-9447-f487f205af60.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278793&Signature=3hDCDmKH4a36ZgKVo6f52sBH0zE%3D,0.305387,48438
598677022,SJWA.BPam-2023-05-06_13-20.WAV,2023 Bridge St Pond,2023,5,6,14,20,Agelaius tricolor,Alternative Song 2,28.9653,29.3707,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/06/e88ms9ustr5z/13bbe4aa-d610-47ba-aa62-8f0c48b7b5c7.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278793&Signature=uexIWHp1OE8iXA%2BVNvS60q7MN2A%3D,0.352027,48438
598677023,SJWA.BPam-2023-05-06_13-00.WAV,2023 Bridge St Pond,2023,5,6,14,0,Agelaius tricolor,Alternative Song 2,0.730667,1.136,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/06/e88ms9ustr5z/9563c16d-56f0-4249-a3a5-e0aa806e02c2.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278793&Signature=vczZBYkBwBMkoSgsDrYbNHdYzEA%3D,0.323016,48438
598677024,SJWA.BPam-2023-05-06_12-00.WAV,2023 Bridge St Pond,2023,5,6,13,0,Agelaius tricolor,Alternative Song 2,57.312,57.7173,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/06/e88ms9ustr5z/576944bc-ae70-4b61-ba11-5c50814a3c01.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278793&Signature=USveCoXGroOr9GVU5EUuW85%2FVwc%3D,0.287159,48438
598677025,SJWA.BPam-2023-05-06_12-20.WAV,2023 Bridge St Pond,2023,5,6,13,20,Agelaius tricolor,Alternative Song 2,52.352,52.7573,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/06/e88ms9ustr5z/d0aef07d-12c6-49ab-9fad-80e6e7b75dcd.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278793&Signature=4bI19v5WiR3ZgZyDoqNDJKdOuso%3D,0.318574,48438
598677026,SJWA.BPam-2023-05-06_12-40.WAV,2023 Bridge St Pond,2023,5,6,13,40,Agelaius tricolor,Alternative Song 2,15.0773,15.4827,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/06/e88ms9ustr5z/385ba4d1-7261-49f1-89ad-ac9dae052086.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278793&Signature=iM%2BcliyXzdcF22gLmVoiKzMdiHk%3D,0.306787,48438
598677027,SJWA.BPam-2023-05-06_11-40.WAV,2023 Bridge St Pond,2023,5,6,12,40,Agelaius tricolor,Alternative Song 2,17.8933,18.2987,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/06/e88ms9ustr5z/02469923-67a5-406e-bb49-21711e22d136.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278793&Signature=Y4rhzr4VsNKlSw0dsqeYhiVNfwo%3D,0.336869,48438
598677028,SJWA.BPam-2023-05-06_11-20.WAV,2023 Bridge St Pond,2023,5,6,12,20,Agelaius tricolor,Alternative Song 2,2.18667,2.592,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/06/e88ms9ustr5z/b289398d-2f40-48fb-a55f-e4159624647d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278793&Signature=XTPhuyd%2BPf6q%2F6lO1pqqybe%2Fw%2FY%3D,0.284612,48438
598677029,SJWA.BPam-2023-05-06_10-40.WAV,2023 Bridge St Pond,2023,5,6,11,40,Agelaius tricolor,Alternative Song 2,51.5573,51.9627,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/06/e88ms9ustr5z/10433980-c80c-46df-8721-92e223cc2c42.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278793&Signature=scF92%2F1tIKBQ7n87N2QKzLKZe7s%3D,0.293717,48438
598677030,SJWA.BPam-2023-05-06_11-00.WAV,2023 Bridge St Pond,2023,5,6,12,0,Agelaius tricolor,Alternative Song 2,41.28,41.6853,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/06/e88ms9ustr5z/5316211c-0bc7-429f-a37d-c5d37ef6b4e0.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278793&Signature=Kd0nxjvZfiGSpALF%2BfiFHLm%2FfDo%3D,0.306818,48438
598677031,SJWA.BPam-2023-05-06_10-00.WAV,2023 Bridge St Pond,2023,5,6,11,0,Agelaius tricolor,Alternative Song 2,50.8267,51.232,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/06/e88ms9ustr5z/d531faa9-7869-4786-8803-7909d30b9991.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278793&Signature=pPM6VnNH7Pac%2Fi1HXByIj1i9X90%3D,0.368688,48438
598677032,SJWA.BPam-2023-05-06_10-20.WAV,2023 Bridge St Pond,2023,5,6,11,20,Agelaius tricolor,Alternative Song 2,54.9387,55.344,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/06/e88ms9ustr5z/f8075ea9-b5a9-479a-9b03-8e62b37e3b15.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278793&Signature=%2BFcXDXzLWG%2BLUSH4zW91skBvnkw%3D,0.360328,48438
598677033,SJWA.BPam-2023-05-06_09-40.WAV,2023 Bridge St Pond,2023,5,6,10,40,Agelaius tricolor,Alternative Song 2,0.234667,0.64,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/06/e88ms9ustr5z/300914c9-f0a0-46c9-8814-4fe0f732244b.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278793&Signature=UXQH2%2FjWwKDA2HWvvXIDrgmkC0U%3D,0.292062,48438
598677034,SJWA.BPam-2023-05-06_09-20.WAV,2023 Bridge St Pond,2023,5,6,10,20,Agelaius tricolor,Alternative Song 2,49.8187,50.224,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/06/e88ms9ustr5z/2f1db7e1-906f-46ed-974b-d63869c7dee3.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278793&Signature=RihDQwN%2FwPAhxJ5fieVxdUdFWZQ%3D,0.414986,48438
598677035,SJWA.BPam-2023-05-06_09-00.WAV,2023 Bridge St Pond,2023,5,6,10,0,Agelaius tricolor,Alternative Song 2,21.5893,21.9947,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/06/e88ms9ustr5z/03942675-c6a5-46c2-9286-054d994264b0.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278793&Signature=vQolpk5XXw44mYnlRLpKKtYBy4w%3D,0.362902,48438
598677036,SJWA.BPam-2023-05-06_08-40.WAV,2023 Bridge St Pond,2023,5,6,9,40,Agelaius tricolor,Alternative Song 2,51.3333,51.7387,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/06/e88ms9ustr5z/7f881123-7ea1-4c90-b0f0-fabc2f3f3292.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278793&Signature=QvgygIElv%2B%2BNbj47kCQgLVMoCkc%3D,0.268851,48438
598677037,SJWA.BPam-2023-05-06_08-20.WAV,2023 Bridge St Pond,2023,5,6,9,20,Agelaius tricolor,Alternative Song 2,49.792,50.1973,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/06/e88ms9ustr5z/e09fa061-3c35-414d-b0b9-bb7c4f8e8b10.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278793&Signature=3kFuv9xGbHxSNHCt9kKH9OsTVJU%3D,0.341336,48438
598677038,SJWA.BPam-2023-05-06_08-00.WAV,2023 Bridge St Pond,2023,5,6,9,0,Agelaius tricolor,Alternative Song 2,1.168,1.57333,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/06/e88ms9ustr5z/5bfe337c-7d5f-4b55-a0a6-2278c5780fbf.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278793&Signature=S9VutrBD1lMrFWHfLHS4iySZOEk%3D,0.28199,48438
598677039,SJWA.BPam-2023-05-06_07-00.WAV,2023 Bridge St Pond,2023,5,6,8,0,Agelaius tricolor,Alternative Song 2,38.752,39.1573,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/06/e88ms9ustr5z/f7c118ad-4ce7-456f-9f08-1afecf14e2cf.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278793&Signature=IvgKDzhFFcG8T%2FyOUq77ZcUvTnc%3D,0.304436,48438
598677040,SJWA.BPam-2023-05-06_07-20.WAV,2023 Bridge St Pond,2023,5,6,8,20,Agelaius tricolor,Alternative Song 2,28.4907,28.896,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/06/e88ms9ustr5z/06135cb3-2eb7-4848-a963-8f81c7d86568.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278793&Signature=yJLCBWpQE5TPdMAk6lg5mWRJGbY%3D,0.369535,48438
598677041,SJWA.BPam-2023-05-06_07-40.WAV,2023 Bridge St Pond,2023,5,6,8,40,Agelaius tricolor,Alternative Song 2,4.96533,5.37067,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/06/e88ms9ustr5z/92432b70-2445-4166-8b95-7e67daa5a09f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278793&Signature=9ZldKPq8fe%2BCcRJTf0T27av032Y%3D,0.272292,48438
598677042,SJWA.BPam-2023-05-06_06-40.WAV,2023 Bridge St Pond,2023,5,6,7,40,Agelaius tricolor,Alternative Song 2,15.0933,15.4987,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/06/e88ms9ustr5z/03856c20-ec88-409d-a540-a323e2badf5f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278793&Signature=lj9ZFaD3vTx7hDuFeWMqq1ukqE0%3D,0.321053,48438
598677043,SJWA.BPam-2023-05-06_06-00.WAV,2023 Bridge St Pond,2023,5,6,7,0,Agelaius tricolor,Alternative Song 2,10.208,10.6133,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/06/e88ms9ustr5z/9b63607e-f04c-469e-9c7d-1d8f874bf32f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278793&Signature=iJvd6%2BTt42mxsHk8jPd%2FwFapANM%3D,0.252557,48438
598677044,SJWA.BPam-2023-05-06_06-20.WAV,2023 Bridge St Pond,2023,5,6,7,20,Agelaius tricolor,Alternative Song 2,57.8507,58.256,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/06/e88ms9ustr5z/ab2f4b1f-4896-4eb4-b217-1e52d2aaed82.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278793&Signature=SCrVg%2Be5EbqPp0Kf%2BPfuq9roC1U%3D,0.237687,48438
598677045,SJWA.BPam-2023-05-06_05-40.WAV,2023 Bridge St Pond,2023,5,6,6,40,Agelaius tricolor,Alternative Song 2,26.5067,26.912,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/06/e88ms9ustr5z/e6c48fb2-6073-4238-9c87-1004c6fd74e4.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278793&Signature=7%2FlqsLPR5TKTUdWOC3Gk5gvm%2Bdc%3D,0.220164,48438
598677046,SJWA.BPam-2023-05-06_04-40.WAV,2023 Bridge St Pond,2023,5,6,5,40,Agelaius tricolor,Alternative Song 2,49.7493,50.1547,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/06/e88ms9ustr5z/eb21ce26-1d1f-4589-bc7e-091192751bd8.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278793&Signature=joTu2g%2B%2FyBc4UZUI1cPqkR3BrPI%3D,0.272182,48438
598677047,SJWA.BPam-2023-05-06_05-00.WAV,2023 Bridge St Pond,2023,5,6,6,0,Agelaius tricolor,Alternative Song 2,34.5813,34.9867,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/06/e88ms9ustr5z/71bfb9a9-6cf5-4337-8334-e12b8afa8a62.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278793&Signature=oQI2uCuZmW8t%2FlrzTtB6ns2ZBdQ%3D,0.30889,48438
598677048,SJWA.BPam-2023-05-06_05-20.WAV,2023 Bridge St Pond,2023,5,6,6,20,Agelaius tricolor,Alternative Song 2,4.50133,4.90667,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/06/e88ms9ustr5z/1ca41f6d-9250-4c40-baa4-8e26e246296f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278793&Signature=SbDA1fx3xuhcuFJartCGXF9rJiM%3D,0.350222,48438
598677049,SJWA.BPam-2023-05-06_04-20.WAV,2023 Bridge St Pond,2023,5,6,5,20,Agelaius tricolor,Alternative Song 2,34.464,34.8693,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/06/e88ms9ustr5z/caa537d1-4dfe-485a-a690-83c2e27bf1f3.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278793&Signature=Z7ZAtU8xs6s499c%2B%2FId3G21k4a4%3D,0.258397,48438
598677050,SJWA.BPam-2023-05-06_04-00.WAV,2023 Bridge St Pond,2023,5,6,5,0,Agelaius tricolor,Alternative Song 2,34.832,35.2373,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/06/e88ms9ustr5z/f5916166-b195-4375-b81e-7ab5c8d20ff9.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278793&Signature=RvbegKtCDWLFHlHjs8frabsGw%2Fk%3D,0.264747,48438
598677051,SJWA.BPam-2023-05-06_03-40.WAV,2023 Bridge St Pond,2023,5,6,4,40,Agelaius tricolor,Alternative Song 2,49.1947,49.6,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/06/e88ms9ustr5z/5fd57619-6e8a-48dd-a335-b1c3c7c7b271.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278793&Signature=bpiroTIuX%2BF6Z2%2Bq59L4GQq2%2Bo8%3D,0.277567,48438
598677052,SJWA.BPam-2023-05-06_03-00.WAV,2023 Bridge St Pond,2023,5,6,4,0,Agelaius tricolor,Alternative Song 2,1.424,1.82933,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/06/e88ms9ustr5z/73a8a29c-8588-4529-9ba1-19ebd668812f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733278793&Signature=epp0j9p9LQsAWvGKCFpIC0vgVvc%3D,0.26765,48438
