id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
598677425,SJWA.BPam-2023-04-24_18-20.WAV,2023 Bridge St Pond,2023,4,24,19,20,Agelaius tricolor,Alternative Song,33.712,34.31466666666667,750,10781.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146800557,0.29555107199438324,48438
598677426,SJWA.BPam-2023-05-02_07-00.WAV,2023 Bridge St Pond,2023,5,2,8,0,Agelaius tricolor,Alternative Song,22.874666666666666,23.477333333333334,750,10781.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146828680,0.2507202792367031,48438
598679549,SJWA.BPam-2023-04-21_13-20.WAV,2023 Bridge St Pond,2023,4,21,14,20,Agelaius tricolor,Alternative Song,17.808,18.410666666666668,750,10781.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146792486,0.3509368481122218,48438
598679550,SJWA.BPam-2023-04-22_07-20.WAV,2023 Bridge St Pond,2023,4,22,8,20,Agelaius tricolor,Alternative Song,4.858666666666666,5.461333333333333,750,10781.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146792488,0.34748940784747817,48438
598679551,SJWA.BPam-2023-04-22_11-00.WAV,2023 Bridge St Pond,2023,4,22,12,0,Agelaius tricolor,Alternative Song,51.834666666666664,52.437333333333335,750,10781.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146792491,0.2502320372240903,48438
598679552,SJWA.BPam-2023-04-21_10-20.WAV,2023 Bridge St Pond,2023,4,21,11,20,Agelaius tricolor,Alternative Song,49.51466666666666,50.117333333333335,750,10781.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146792494,0.4098277872429849,48438
598679553,SJWA.BPam-2023-04-21_08-40.WAV,2023 Bridge St Pond,2023,4,21,9,40,Agelaius tricolor,Alternative Song,35.456,36.05866666666667,750,10781.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146792501,0.37225266077358077,48438
598679554,SJWA.BPam-2023-04-22_08-00.WAV,2023 Bridge St Pond,2023,4,22,9,0,Agelaius tricolor,Alternative Song,28.917333333333332,29.52,750,10781.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146792502,0.303579799867992,48438
598679555,SJWA.BPam-2023-04-21_08-20.WAV,2023 Bridge St Pond,2023,4,21,9,20,Agelaius tricolor,Alternative Song,58.13333333333333,58.736,750,10781.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146792503,0.33318853713212887,48438
598679556,SJWA.BPam-2023-04-21_07-00.WAV,2023 Bridge St Pond,2023,4,21,8,0,Agelaius tricolor,Alternative Song,14.496,15.098666666666666,750,10781.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146792508,0.3993482746261452,48438
598679557,SJWA.BPam-2023-04-22_05-00.WAV,2023 Bridge St Pond,2023,4,22,6,0,Agelaius tricolor,Alternative Song,29.162666666666667,29.765333333333334,750,10781.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146792514,0.26904470889773574,48438
598679558,SJWA.BPam-2023-04-21_17-00.WAV,2023 Bridge St Pond,2023,4,21,18,0,Agelaius tricolor,Alternative Song,50.672,51.27466666666667,750,10781.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146792518,0.37439322976967987,48438
598679559,SJWA.BPam-2023-04-21_06-20.WAV,2023 Bridge St Pond,2023,4,21,7,20,Agelaius tricolor,Alternative Song,47.269333333333336,47.872,750,10781.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146792521,0.3385988656416052,48438
598679560,SJWA.BPam-2023-04-22_05-20.WAV,2023 Bridge St Pond,2023,4,22,6,20,Agelaius tricolor,Alternative Song,59.088,59.690666666666665,750,10781.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146792526,0.22078680733444225,48438
