id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
987920095,HR.2am-2023-04-12_06-00.WAV,2023 Hale Road Site 2,2023,4,12,6,0,sp32,Simple Call,26.192,27.0293,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/12/yhzq9kuogmrz/91de8e64-70c0-4b06-baa8-9b150d1fec85.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734396816&Signature=Jb2vvloAcPlSazHm%2Brz8n8vHHRI%3D,0.330876,48468
987920096,HR.2am-2023-04-11_13-02.WAV,2023 Hale Road Site 2,2023,4,11,13,2,sp32,Simple Call,10.736,11.5733,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/11/yhzq9kuogmrz/46d41e17-3a7b-4e8f-9aaa-32043907e2fb.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734396816&Signature=%2B%2BkxHrsm5zxkZQOkNo9cHZ6gnu8%3D,0.313185,48468
987920097,HR.2am-2023-05-21_19-40.WAV,2023 Hale Road Site 2,2023,5,21,19,40,sp32,Simple Call,3.808,4.64533,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/22/yhzq9kuogmrz/2a88f219-921c-4eda-b574-3424f5802602.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734396816&Signature=j%2FNHdmQ3wKfeivYKxeuSQRii1zk%3D,0.215893,48468
987920098,HR.2am-2023-06-03_14-20.WAV,2023 Hale Road Site 2,2023,6,3,14,20,sp32,Simple Call,17.0933,17.9307,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/03/yhzq9kuogmrz/80b4546c-145c-4f16-b95d-b85101b0d80a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734396816&Signature=gcIHIrrK2JVXp1M4aqPagrp8onA%3D,0.207913,48468
987920207,HR.2am-2023-06-20_12-40.WAV,2023 Hale Road Site 2,2023,6,20,12,40,sp32,Simple Call,31.0027,31.84,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/20/yhzq9kuogmrz/5c31e40e-72b4-4556-9724-6302b350b4aa.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734396816&Signature=0rcm27jFtn82G078EcPIcPTD9PI%3D,0.214831,48468
987920208,HR.2am-2023-06-21_08-00.WAV,2023 Hale Road Site 2,2023,6,21,8,0,sp32,Simple Call,50.96,51.7973,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/21/yhzq9kuogmrz/22ae8993-537b-401c-9439-cec28f713a95.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734396816&Signature=6MmYhQqPwNd1yZArkR02ou2PhBg%3D,0.24577,48468
987920209,HR.2am-2023-06-21_07-40.WAV,2023 Hale Road Site 2,2023,6,21,7,40,sp32,Simple Call,11.408,12.2453,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/21/yhzq9kuogmrz/b76dcd92-2c8c-4b22-95b2-083fe27bf5f0.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734396816&Signature=qOhplZkJlWRI055BWLTy1P1mrNg%3D,0.260582,48468
987920210,HR.2am-2023-06-20_17-40.WAV,2023 Hale Road Site 2,2023,6,20,17,40,sp32,Simple Call,5.09333,5.93067,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/21/yhzq9kuogmrz/eb0a2e84-f9d9-4218-a8e4-5bc6ae81679e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734396816&Signature=PKpC8Zx5UdnahAqfxYSJIKyjK1w%3D,0.202478,48468
987920211,HR.2am-2023-06-19_13-00.WAV,2023 Hale Road Site 2,2023,6,19,13,0,sp32,Simple Call,23.8987,24.736,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/19/yhzq9kuogmrz/e9abc18d-f3b5-4152-8ced-50d124f2afbe.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734396816&Signature=CyN4vOMJROBHWuwOeJcXqbxz3W8%3D,0.201165,48468
987920212,HR.2am-2023-06-20_16-00.WAV,2023 Hale Road Site 2,2023,6,20,16,0,sp32,Simple Call,39.952,40.7893,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/20/yhzq9kuogmrz/8fa4d458-8a72-4172-85bb-e505df0c6a30.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734396816&Signature=hej4wxTH2QtuspJdeF%2FjLI6gw2Q%3D,0.217042,48468
