id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
603140931,MNWR.CTam-2023-05-13_08-00.WAV,2023 Merced NWR - Cottonwood,2023,5,13,9,0,Agelaius tricolor,Common Song,2.18133,4.39467,844,3375,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/13/j8wnhfixgzao/b6231032-9885-4082-aa93-c1086f1e355e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740265211&Signature=ikk8GUpctlYA88bufWPad24QI0s%3D,0.42902,48446
603140932,MNWR.CTam-2023-05-12_18-20.WAV,2023 Merced NWR - Cottonwood,2023,5,12,19,20,Agelaius tricolor,Common Song,18.2507,20.464,844,3375,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/13/j8wnhfixgzao/08811469-ea7c-48d1-a8ea-04f2f0ba3831.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740265211&Signature=NIYn7FPdh18BT58ts7fHTIDcRkg%3D,0.291025,48446
603140933,MNWR.CTam-2023-05-12_15-20.WAV,2023 Merced NWR - Cottonwood,2023,5,12,16,20,Agelaius tricolor,Common Song,56.5173,58.7307,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/12/j8wnhfixgzao/8f15b1b8-3583-4f7d-b11a-7dd5bc7c8985.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740265211&Signature=Td%2BRVIykZ0vEm4pyJW%2Bd9k3yIbM%3D,0.226433,48446
603140934,MNWR.CTam-2023-03-07_17-40.WAV,2023 Merced NWR - Cottonwood,2023,3,7,17,40,Agelaius tricolor,Common Song,2.46933,4.68267,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/03/08/j8wnhfixgzao/d9b582fe-6872-4e50-affd-50a7ba711c94.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740265211&Signature=YjwWgJF69DIlRJrKMfMy0c7uuJo%3D,0.371892,48446
603140935,MNWR.CTam-2023-05-12_17-00.WAV,2023 Merced NWR - Cottonwood,2023,5,12,18,0,Agelaius tricolor,Common Song,32.6453,34.8587,844,3375,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/13/j8wnhfixgzao/cd94091d-0cdd-49d9-a2ad-bb06577c7618.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740265211&Signature=EcAfGEuSuTqB9zDbrAY8LaFP9V4%3D,0.262688,48446
603140936,MNWR.CTam-2023-05-12_20-00.WAV,2023 Merced NWR - Cottonwood,2023,5,12,21,0,Agelaius tricolor,Common Song,47.9733,50.1867,844,3375,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/13/j8wnhfixgzao/bd2608b7-2e18-44f5-97d0-d632673da247.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740265211&Signature=z44bJuDSlmyyBfuPnSix%2BWbK3VE%3D,0.233495,48446
603140937,MNWR.CTam-2023-05-12_12-40.WAV,2023 Merced NWR - Cottonwood,2023,5,12,13,40,Agelaius tricolor,Common Song,34.7413,36.9547,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/12/j8wnhfixgzao/3af11f73-5949-4925-b317-9dd04429d6fd.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740265211&Signature=10iuep3r8TjYggrTpaw57cFHnTg%3D,0.22074,48446
603140938,MNWR.CTam-2023-05-24_11-20.WAV,2023 Merced NWR - Cottonwood,2023,5,24,12,20,Agelaius tricolor,Common Song,43.488,45.7013,844,3375,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/24/j8wnhfixgzao/51a93db0-24a3-4bfa-a031-133d70c10298.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740265211&Signature=d2pyS3oQqKRmmJt%2F5thQJMnt7Bc%3D,0.39511,48446
603140957,MNWR.CTam-2023-06-15_13-40.WAV,2023 Merced NWR - Cottonwood,2023,6,15,14,40,Agelaius tricolor,Common Song,31.4933,33.7067,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/15/j8wnhfixgzao/e351937e-cd77-4dbe-baf3-cd75d7f26aa0.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740265211&Signature=BblsCEL0thXcj%2FGIrWkQt%2FsrHRs%3D,0.326186,48446
603140958,MNWR.CTam-2023-06-15_08-00.WAV,2023 Merced NWR - Cottonwood,2023,6,15,9,0,Agelaius tricolor,Common Song,27.3173,29.5307,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/15/j8wnhfixgzao/2cbe7fdf-e97d-4f05-99f5-5f7cf2e5ad95.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740265211&Signature=X8r9TZhjSXxCJ2rwSKV8J1mk1Lw%3D,0.231688,48446
603140959,MNWR.CTam-2023-06-16_11-00.WAV,2023 Merced NWR - Cottonwood,2023,6,16,12,0,Agelaius tricolor,Common Song,40,42.2133,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/16/j8wnhfixgzao/3d1ec20f-d8b5-4c50-8063-ff814061844d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740265211&Signature=S3BM1Li8Os1aojbSPavRd8IcA6Q%3D,0.275558,48446
603140960,MNWR.CTam-2023-06-14_14-40.WAV,2023 Merced NWR - Cottonwood,2023,6,14,15,40,Agelaius tricolor,Common Song,53.4453,55.6587,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/14/j8wnhfixgzao/ae147774-da58-49f2-993d-eac6eda27218.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740265211&Signature=28v6bDtnQcKFO1ETsaVyH8FKZaw%3D,0.227932,48446
603140961,MNWR.CTam-2023-06-16_09-20.WAV,2023 Merced NWR - Cottonwood,2023,6,16,10,20,Agelaius tricolor,Common Song,41.216,43.4293,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/16/j8wnhfixgzao/c8b16cd1-2a67-4bf3-a97e-d2e36ef16f8d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740265211&Signature=7Mo9B3PJ%2FXtuD8K0f03RlkAV%2F4U%3D,0.247592,48446
603140962,MNWR.CTam-2023-06-16_06-00.WAV,2023 Merced NWR - Cottonwood,2023,6,16,7,0,Agelaius tricolor,Common Song,22.912,25.1253,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/16/j8wnhfixgzao/9b23567d-6eeb-4068-a89a-bb211ebc80a1.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740265211&Signature=K3p4o2RmsQeKb5Apq6gRCaQoGAo%3D,0.280965,48446
