id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
589403090,OR.DRam-2023-04-30_17-00.WAV,2023 OR Dizney Rd,2023,4,30,18,0,Agelaius tricolor,Alternative Song 2,55.2213,55.6267,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/01/qe4bavxwwex4/0b394245-aedd-49d6-b714-66e6e911ee35.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740265445&Signature=ktP8XRNjyZwGtkdgnEgG6FpwI8k%3D,0.260716,48397
589403091,OR.DRam-2023-04-29_18-40.WAV,2023 OR Dizney Rd,2023,4,29,19,40,Agelaius tricolor,Alternative Song 2,8.79467,9.2,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/30/qe4bavxwwex4/18cbed1a-1d66-49f5-b8d2-3d6934209267.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740265445&Signature=o4LMROs5wDlCd6vhrx8DB9EFnPU%3D,0.297426,48397
589403092,OR.DRam-2023-04-29_17-00.WAV,2023 OR Dizney Rd,2023,4,29,18,0,Agelaius tricolor,Alternative Song 2,18.7893,19.1947,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/30/qe4bavxwwex4/49f41791-d069-4cd9-aa32-c2c4461221aa.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740265445&Signature=u8MU9SSkLzp4tIiDccoVWhDztmw%3D,0.31323,48397
589403093,OR.DRam-2023-04-30_14-00.WAV,2023 OR Dizney Rd,2023,4,30,15,0,Agelaius tricolor,Alternative Song 2,12.576,12.9813,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/30/qe4bavxwwex4/ebb3f125-62b4-4bfe-897f-41918b5f0dd7.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740265445&Signature=QFvbZ4L3rSznw5UwJaqIO1c7n1o%3D,0.296428,48397
589403094,OR.DRam-2023-04-29_17-20.WAV,2023 OR Dizney Rd,2023,4,29,18,20,Agelaius tricolor,Alternative Song 2,42.2613,42.6667,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/30/qe4bavxwwex4/eaa7b446-5ca2-4fd9-bb9d-04722a895758.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740265445&Signature=ujk3S6BJuZ8OD5%2FktI7uHygUPTI%3D,0.275498,48397
589403095,OR.DRam-2023-04-30_12-20.WAV,2023 OR Dizney Rd,2023,4,30,13,20,Agelaius tricolor,Alternative Song 2,10.528,10.9333,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/30/qe4bavxwwex4/4535fb7b-c452-4ee0-85f0-19dc48251d8f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740265445&Signature=%2ByDv2VFMCHIq7kmQakdhxvIixWs%3D,0.296819,48397
589403096,OR.DRam-2023-04-30_17-40.WAV,2023 OR Dizney Rd,2023,4,30,18,40,Agelaius tricolor,Alternative Song 2,21.8347,22.24,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/01/qe4bavxwwex4/90030836-fd11-4802-8456-55e48d828c08.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740265445&Signature=fawKhDrgw3U7WB9BYfmJZbj8LHY%3D,0.314446,48397
589403097,OR.DRam-2023-04-29_15-40.WAV,2023 OR Dizney Rd,2023,4,29,16,40,Agelaius tricolor,Alternative Song 2,33.0507,33.456,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/29/qe4bavxwwex4/8ba61487-3fad-40ba-8684-458e63ee0093.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740265445&Signature=2B%2F7mCYPLY65m9j3nGr9mtIXQPc%3D,0.233096,48397
589403098,OR.DRam-2023-04-29_16-20.WAV,2023 OR Dizney Rd,2023,4,29,17,20,Agelaius tricolor,Alternative Song 2,26.96,27.3653,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/30/qe4bavxwwex4/415b1194-3ec6-4493-8c14-391b0742aa0f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740265445&Signature=CQS0EIrTTe6mEEfZPUBsyqMacTw%3D,0.31059,48397
589403099,OR.DRam-2023-03-07_17-40.WAV,2023 OR Dizney Rd,2023,3,7,17,40,Agelaius tricolor,Alternative Song 2,38.256,38.6613,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/03/08/qe4bavxwwex4/94329eeb-88f9-4659-a4ce-ba32fe1a3566.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740265445&Signature=YiJ%2FoWhnqOuhMNlrMtv00eFDNaI%3D,0.230127,48397
