id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
805748008,OR.ERam-2023-07-21_13-00.WAV,2023 OR Eureka Rd,2023,7,21,14,0,Agelaius tricolor,Courtship Song,1.8826666666666667,2.8213333333333335,93.75,8718.75,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/21/ltg9vyy5ack6/3b8a062c-cd0f-4e22-ab00-675229bce6c9.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1721230626&Signature=jqe98xyc8ym1XqLF3SiB3SojzQE%3D,0.2609711669289674,48392
805748009,OR.ERam-2023-07-21_18-20.WAV,2023 OR Eureka Rd,2023,7,21,19,20,Agelaius tricolor,Courtship Song,30.970666666666666,31.909333333333333,93.75,8718.75,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/22/ltg9vyy5ack6/2db30c4c-cf42-4194-ac3f-a334f462833f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1721230626&Signature=nF9DnVM8Q4hgp%2BoQewXtoF%2BvuQc%3D,0.30381442790766017,48392
805748010,OR.ERam-2023-07-21_19-20.WAV,2023 OR Eureka Rd,2023,7,21,20,20,Agelaius tricolor,Courtship Song,47.01866666666667,47.95733333333333,93.75,8718.75,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/22/ltg9vyy5ack6/b9d826db-6d1b-4b1e-8a12-5fa0c72f6776.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1721230626&Signature=1gYHwFuuMB9p8tMnOKJWfH9Zh8A%3D,0.2151471868126791,48392
805748011,OR.ERam-2023-07-21_21-20.WAV,2023 OR Eureka Rd,2023,7,21,22,20,Agelaius tricolor,Courtship Song,14.453333333333333,15.392,93.75,8718.75,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/22/ltg9vyy5ack6/5de3f9d4-5ef0-4556-ba32-3e4b659e67f9.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1721230626&Signature=cOkcMILcwqhHEc7EO4tdmndtnOQ%3D,0.3569940587217327,48392
805748012,OR.ERam-2023-07-21_10-20.WAV,2023 OR Eureka Rd,2023,7,21,11,20,Agelaius tricolor,Courtship Song,55.034666666666666,55.973333333333336,93.75,8718.75,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/21/ltg9vyy5ack6/fe113046-7b7a-4b92-b75c-578cb49fa469.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1721230626&Signature=ZJ6QKytn1xFr3a7RG8hENu0U1TI%3D,0.3144179079844675,48392
805748013,OR.ERam-2023-07-22_10-40.WAV,2023 OR Eureka Rd,2023,7,22,11,40,Agelaius tricolor,Courtship Song,28.058666666666667,28.997333333333334,93.75,8718.75,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/22/ltg9vyy5ack6/938b4bbd-1646-483f-b041-b5937555888a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1721230626&Signature=Sw6Mcdn8102TvRsVf%2Bi5Zq5qU8A%3D,0.2723108016385902,48392
805748014,OR.ERam-2023-07-22_21-00.WAV,2023 OR Eureka Rd,2023,7,22,22,0,Agelaius tricolor,Courtship Song,20.298666666666666,21.237333333333332,93.75,8718.75,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/23/ltg9vyy5ack6/66ab5b60-dca6-44a2-800c-4d47303a6b79.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1721230626&Signature=xa8Ps1HOQ%2BFt55L7FZkuADSmQB4%3D,0.22465593810445195,48392
805748015,OR.ERam-2023-07-22_12-40.WAV,2023 OR Eureka Rd,2023,7,22,13,40,Agelaius tricolor,Courtship Song,55.717333333333336,56.656,93.75,8718.75,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/22/ltg9vyy5ack6/eb73db7d-da3b-48cf-9b04-da5ec09e99fd.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1721230626&Signature=%2BGBIbGRF6BzNhD453WFFEW7RRh4%3D,0.3602277753059425,48392
805748016,OR.ERam-2023-07-22_17-40.WAV,2023 OR Eureka Rd,2023,7,22,18,40,Agelaius tricolor,Courtship Song,54.83733333333333,55.776,93.75,8718.75,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/23/ltg9vyy5ack6/6b9b6318-3891-4089-8fe3-56c089181808.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1721230626&Signature=TtH2cXTiWkNhmyeJcls2qsHH1CA%3D,0.37384302225787924,48392
805748017,OR.ERam-2023-07-23_11-20.WAV,2023 OR Eureka Rd,2023,7,23,12,20,Agelaius tricolor,Courtship Song,14.352,15.290666666666667,93.75,8718.75,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/23/ltg9vyy5ack6/ae62df28-4193-4ecc-8c77-f9d788f27e63.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1721230626&Signature=q05tMHtwpc2VSDupGRzhuXQ5foc%3D,0.266148409510141,48392
805748018,OR.ERam-2023-07-22_06-20.WAV,2023 OR Eureka Rd,2023,7,22,7,20,Agelaius tricolor,Courtship Song,56.78933333333333,57.728,93.75,8718.75,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/22/ltg9vyy5ack6/d7af0552-9fa9-4015-b93e-a8c7280d3d76.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1721230626&Signature=9tN2iT8ewlxcJDHpYLMVjd41hZ8%3D,0.23511833256831238,48392
805748019,OR.ERam-2023-07-23_00-20.WAV,2023 OR Eureka Rd,2023,7,23,1,20,Agelaius tricolor,Courtship Song,16.997333333333334,17.936,93.75,8718.75,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/23/ltg9vyy5ack6/98125a83-31ce-44ad-83dc-45bce1666e7e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1721230626&Signature=iulKDdyyKB8DSc6G5Y93ii7ahu0%3D,0.2053812302262251,48392
805748020,OR.ERam-2023-07-22_14-20.WAV,2023 OR Eureka Rd,2023,7,22,15,20,Agelaius tricolor,Courtship Song,14.597333333333333,15.536,93.75,8718.75,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/22/ltg9vyy5ack6/992d684c-ef39-4dd6-9fcc-5a9030321943.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1721230626&Signature=tIynSORXqoGAcRurAiRnm9649j8%3D,0.2572345557899418,48392
805748021,OR.ERam-2023-07-22_16-00.WAV,2023 OR Eureka Rd,2023,7,22,17,0,Agelaius tricolor,Courtship Song,26.8,27.738666666666667,93.75,8718.75,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/23/ltg9vyy5ack6/8ffb6d1f-5c19-4050-852d-a6df4fb18c7d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1721230626&Signature=5sfY1FEzXW6qkpDDtu4XLJR5lhU%3D,0.21867982061705055,48392
805748022,OR.ERam-2023-07-23_07-00.WAV,2023 OR Eureka Rd,2023,7,23,8,0,Agelaius tricolor,Courtship Song,37.232,38.17066666666667,93.75,8718.75,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/23/ltg9vyy5ack6/d28d9005-a634-4212-87b7-f8876aa19bc5.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1721230626&Signature=7c82CszfBRQqJoO5tLGK2Zt4bKM%3D,0.22973418257142414,48392
805748023,OR.ERam-2023-07-23_13-40.WAV,2023 OR Eureka Rd,2023,7,23,14,40,Agelaius tricolor,Courtship Song,0.010666666666666666,0.9493333333333334,93.75,8718.75,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/23/ltg9vyy5ack6/20f07c81-bc72-4d47-aa35-ce8ab0611f12.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1721230626&Signature=dQy9rmcRfu2Fv0yGokzlU10uncY%3D,0.2097018938741791,48392
805748024,OR.ERam-2023-07-23_18-40.WAV,2023 OR Eureka Rd,2023,7,23,19,40,Agelaius tricolor,Courtship Song,25.333333333333332,26.272,93.75,8718.75,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/24/ltg9vyy5ack6/969460c1-6bf4-4ccc-a92c-2af4854caa29.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1721230626&Signature=BqcjcvGJEqvv2RKZ4JH1yQE5tV8%3D,0.21276313577224923,48392
805748025,OR.ERam-2023-07-22_18-40.WAV,2023 OR Eureka Rd,2023,7,22,19,40,Agelaius tricolor,Courtship Song,50.05866666666667,50.99733333333333,93.75,8718.75,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/23/ltg9vyy5ack6/ee8033bd-401a-4aeb-aeac-b3780b110da0.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1721230626&Signature=Knr8KJTyiIIw1Iml5Uo0m3hqxhQ%3D,0.25496977843938773,48392
