id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
592800121,OR.ERam-2023-05-02_20-20.WAV,2023 OR Eureka Rd,2023,5,2,21,20,Agelaius tricolor,Alternative Song,26.922666666666668,27.68,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530776,0.2135231424178517,48392
592800122,OR.ERam-2023-05-02_19-40.WAV,2023 OR Eureka Rd,2023,5,2,20,40,Agelaius tricolor,Alternative Song,52.757333333333335,53.51466666666666,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530778,0.22491987885579443,48392
592800123,OR.ERam-2023-05-02_19-20.WAV,2023 OR Eureka Rd,2023,5,2,20,20,Agelaius tricolor,Alternative Song,15.658666666666667,16.416,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530781,0.265458051621119,48392
592800124,OR.ERam-2023-05-02_19-00.WAV,2023 OR Eureka Rd,2023,5,2,20,0,Agelaius tricolor,Alternative Song,24.314666666666668,25.072,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530782,0.28383044423006165,48392
592800125,OR.ERam-2023-05-02_18-00.WAV,2023 OR Eureka Rd,2023,5,2,19,0,Agelaius tricolor,Alternative Song,13.989333333333333,14.746666666666666,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530783,0.24620715885516925,48392
592800126,OR.ERam-2023-05-02_17-20.WAV,2023 OR Eureka Rd,2023,5,2,18,20,Agelaius tricolor,Alternative Song,25.765333333333334,26.522666666666666,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530785,0.23682739047288692,48392
592800127,OR.ERam-2023-05-02_17-00.WAV,2023 OR Eureka Rd,2023,5,2,18,0,Agelaius tricolor,Alternative Song,26.192,26.949333333333332,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530787,0.22895542002170907,48392
592800128,OR.ERam-2023-05-02_16-40.WAV,2023 OR Eureka Rd,2023,5,2,17,40,Agelaius tricolor,Alternative Song,41.13066666666667,41.888,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530789,0.27725100392893726,48392
592800129,OR.ERam-2023-05-02_16-20.WAV,2023 OR Eureka Rd,2023,5,2,17,20,Agelaius tricolor,Alternative Song,25.925333333333334,26.682666666666666,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530790,0.2710041343849152,48392
592800130,OR.ERam-2023-05-02_15-40.WAV,2023 OR Eureka Rd,2023,5,2,16,40,Agelaius tricolor,Alternative Song,0.48533333333333334,1.2426666666666666,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530822,0.31349516523283155,48392
592800131,OR.ERam-2023-05-02_14-20.WAV,2023 OR Eureka Rd,2023,5,2,15,20,Agelaius tricolor,Alternative Song,42.101333333333336,42.858666666666664,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530825,0.2274831741031249,48392
592800132,OR.ERam-2023-05-02_13-40.WAV,2023 OR Eureka Rd,2023,5,2,14,40,Agelaius tricolor,Alternative Song,32.112,32.86933333333333,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530829,0.27118032742980386,48392
592800133,OR.ERam-2023-05-02_14-00.WAV,2023 OR Eureka Rd,2023,5,2,15,0,Agelaius tricolor,Alternative Song,48.04266666666667,48.8,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530831,0.3273198981929443,48392
592800134,OR.ERam-2023-05-02_13-20.WAV,2023 OR Eureka Rd,2023,5,2,14,20,Agelaius tricolor,Alternative Song,4.1866666666666665,4.944,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530832,0.22473513933445302,48392
592800135,OR.ERam-2023-05-02_13-00.WAV,2023 OR Eureka Rd,2023,5,2,14,0,Agelaius tricolor,Alternative Song,23.296,24.053333333333335,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530833,0.22783919536754366,48392
592800136,OR.ERam-2023-05-02_12-20.WAV,2023 OR Eureka Rd,2023,5,2,13,20,Agelaius tricolor,Alternative Song,10.570666666666666,11.328,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530836,0.3159849165785374,48392
592800137,OR.ERam-2023-05-02_12-40.WAV,2023 OR Eureka Rd,2023,5,2,13,40,Agelaius tricolor,Alternative Song,24.714666666666666,25.472,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530837,0.27641415885092924,48392
592800138,OR.ERam-2023-05-02_10-40.WAV,2023 OR Eureka Rd,2023,5,2,11,40,Agelaius tricolor,Alternative Song,14.778666666666666,15.536,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530845,0.2003474188032758,48392
592800139,OR.ERam-2023-05-02_10-00.WAV,2023 OR Eureka Rd,2023,5,2,11,0,Agelaius tricolor,Alternative Song,55.541333333333334,56.29866666666667,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530849,0.29746632504614307,48392
592800140,OR.ERam-2023-05-02_10-20.WAV,2023 OR Eureka Rd,2023,5,2,11,20,Agelaius tricolor,Alternative Song,44.602666666666664,45.36,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530850,0.2914842130034214,48392
592800141,OR.ERam-2023-05-02_09-40.WAV,2023 OR Eureka Rd,2023,5,2,10,40,Agelaius tricolor,Alternative Song,43.6,44.35733333333334,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530851,0.26437571948295385,48392
592800142,OR.ERam-2023-05-02_09-20.WAV,2023 OR Eureka Rd,2023,5,2,10,20,Agelaius tricolor,Alternative Song,56.592,57.349333333333334,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530853,0.33450900091494185,48392
592800143,OR.ERam-2023-05-02_08-40.WAV,2023 OR Eureka Rd,2023,5,2,9,40,Agelaius tricolor,Alternative Song,56.12266666666667,56.88,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530855,0.2806183067995786,48392
592800144,OR.ERam-2023-05-02_08-00.WAV,2023 OR Eureka Rd,2023,5,2,9,0,Agelaius tricolor,Alternative Song,1.2266666666666666,1.984,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530857,0.30620273310999174,48392
592800145,OR.ERam-2023-05-02_07-00.WAV,2023 OR Eureka Rd,2023,5,2,8,0,Agelaius tricolor,Alternative Song,11.029333333333334,11.786666666666667,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530859,0.22931144098926784,48392
592800146,OR.ERam-2023-05-02_06-40.WAV,2023 OR Eureka Rd,2023,5,2,7,40,Agelaius tricolor,Alternative Song,0.19733333333333333,0.9546666666666667,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530860,0.27467907672430364,48392
592800147,OR.ERam-2023-05-02_06-20.WAV,2023 OR Eureka Rd,2023,5,2,7,20,Agelaius tricolor,Alternative Song,42.154666666666664,42.912,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530861,0.29558193092516005,48392
592800148,OR.ERam-2023-05-02_06-00.WAV,2023 OR Eureka Rd,2023,5,2,7,0,Agelaius tricolor,Alternative Song,21.17866666666667,21.936,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530862,0.22701820865363667,48392
592800149,OR.ERam-2023-05-02_05-20.WAV,2023 OR Eureka Rd,2023,5,2,6,20,Agelaius tricolor,Alternative Song,36.91733333333333,37.67466666666667,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530865,0.21291308900781128,48392
592800150,OR.ERam-2023-05-01_20-20.WAV,2023 OR Eureka Rd,2023,5,1,21,20,Agelaius tricolor,Alternative Song,7.434666666666667,8.192,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530895,0.2615695588694525,48392
592800151,OR.ERam-2023-05-01_19-40.WAV,2023 OR Eureka Rd,2023,5,1,20,40,Agelaius tricolor,Alternative Song,37.50933333333333,38.266666666666666,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530897,0.24249137103629742,48392
592800152,OR.ERam-2023-05-01_20-00.WAV,2023 OR Eureka Rd,2023,5,1,21,0,Agelaius tricolor,Alternative Song,32.14933333333333,32.906666666666666,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530900,0.2895299588324154,48392
592800153,OR.ERam-2023-05-01_18-00.WAV,2023 OR Eureka Rd,2023,5,1,19,0,Agelaius tricolor,Alternative Song,10.976,11.733333333333333,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530903,0.21462803602756578,48392
592800154,OR.ERam-2023-05-01_17-40.WAV,2023 OR Eureka Rd,2023,5,1,18,40,Agelaius tricolor,Alternative Song,43.456,44.21333333333333,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530905,0.25236466441816685,48392
592800155,OR.ERam-2023-05-01_17-20.WAV,2023 OR Eureka Rd,2023,5,1,18,20,Agelaius tricolor,Alternative Song,8.613333333333333,9.370666666666667,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530907,0.285572694137172,48392
592800156,OR.ERam-2023-05-01_16-40.WAV,2023 OR Eureka Rd,2023,5,1,17,40,Agelaius tricolor,Alternative Song,38.72,39.477333333333334,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530909,0.24662274342690513,48392
592800157,OR.ERam-2023-05-01_16-20.WAV,2023 OR Eureka Rd,2023,5,1,17,20,Agelaius tricolor,Alternative Song,39.248,40.00533333333333,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530912,0.2578366799130557,48392
592800158,OR.ERam-2023-05-01_15-20.WAV,2023 OR Eureka Rd,2023,5,1,16,20,Agelaius tricolor,Alternative Song,18.357333333333333,19.11466666666667,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530927,0.2150972003416833,48392
592800159,OR.ERam-2023-05-01_12-40.WAV,2023 OR Eureka Rd,2023,5,1,13,40,Agelaius tricolor,Alternative Song,4.1066666666666665,4.864,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530935,0.2791001356311645,48392
592800160,OR.ERam-2023-05-01_13-00.WAV,2023 OR Eureka Rd,2023,5,1,14,0,Agelaius tricolor,Alternative Song,41.40266666666667,42.16,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530936,0.235281815034486,48392
592800161,OR.ERam-2023-05-01_11-20.WAV,2023 OR Eureka Rd,2023,5,1,12,20,Agelaius tricolor,Alternative Song,41.269333333333336,42.026666666666664,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530942,0.26973152459630356,48392
592800162,OR.ERam-2023-05-01_10-40.WAV,2023 OR Eureka Rd,2023,5,1,11,40,Agelaius tricolor,Alternative Song,46.032,46.78933333333333,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530943,0.23387425550526247,48392
592800163,OR.ERam-2023-05-01_10-00.WAV,2023 OR Eureka Rd,2023,5,1,11,0,Agelaius tricolor,Alternative Song,0.02666666666666667,0.784,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530948,0.2642730759261234,48392
592800164,OR.ERam-2023-05-01_09-20.WAV,2023 OR Eureka Rd,2023,5,1,10,20,Agelaius tricolor,Alternative Song,50.31466666666667,51.072,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530952,0.34585657402578396,48392
592800165,OR.ERam-2023-05-01_08-00.WAV,2023 OR Eureka Rd,2023,5,1,9,0,Agelaius tricolor,Alternative Song,48.85333333333333,49.61066666666667,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530953,0.2727970791771683,48392
592800166,OR.ERam-2023-05-01_09-40.WAV,2023 OR Eureka Rd,2023,5,1,10,40,Agelaius tricolor,Alternative Song,58.928,59.68533333333333,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530954,0.24102754939942553,48392
592800167,OR.ERam-2023-05-01_07-40.WAV,2023 OR Eureka Rd,2023,5,1,8,40,Agelaius tricolor,Alternative Song,49.84,50.59733333333333,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530956,0.30711429597064116,48392
592800168,OR.ERam-2023-05-01_07-20.WAV,2023 OR Eureka Rd,2023,5,1,8,20,Agelaius tricolor,Alternative Song,4.816,5.573333333333333,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530957,0.2505894584896921,48392
592800169,OR.ERam-2023-05-01_07-00.WAV,2023 OR Eureka Rd,2023,5,1,8,0,Agelaius tricolor,Alternative Song,12.437333333333333,13.194666666666667,2156.25,13593.75,24000,(not validated),https://arbimon.rfcx.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/146530958,0.23913686469485565,48392
