id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
603331683,PRP.Eam-2023-04-07_19-20.WAV,2023 Peterson Ranch Pond - East,2023,4,7,20,20,Agelaius tricolor,Common Song,42.8,45.0507,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/08/a38x8vck8dxd/7ee8db72-3ec0-4690-9a0e-ef04384fe55d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733282512&Signature=bdQAj%2B7R%2Bj0kfBr8ErmOorjlu9g%3D,0.255046,48440
603331684,PRP.Eam-2023-04-07_17-20.WAV,2023 Peterson Ranch Pond - East,2023,4,7,18,20,Agelaius tricolor,Common Song,26.736,28.9867,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/08/a38x8vck8dxd/dcb13edc-cc5c-4199-bc77-d5e0342fff00.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733282512&Signature=SjQroKjzf6eAJrHs4eKGPymFTA0%3D,0.316955,48440
603331685,PRP.Eam-2023-04-07_16-00.WAV,2023 Peterson Ranch Pond - East,2023,4,7,17,0,Agelaius tricolor,Common Song,50.256,52.5067,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/08/a38x8vck8dxd/adf42568-2048-4955-8df7-81c2c843911f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733282512&Signature=UaXGsKA2w%2BzRBt2ya55l%2Fnbk1lQ%3D,0.221257,48440
603331686,PRP.Eam-2023-04-07_18-00.WAV,2023 Peterson Ranch Pond - East,2023,4,7,19,0,Agelaius tricolor,Common Song,44.4,46.6507,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/08/a38x8vck8dxd/d31d540b-2e8c-4a8c-8a35-4f3f26fb203c.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733282512&Signature=bz8GVxgjMyp6laff5xSKYwQi1YI%3D,0.291488,48440
603331687,PRP.Eam-2023-04-07_15-40.WAV,2023 Peterson Ranch Pond - East,2023,4,7,16,40,Agelaius tricolor,Common Song,51.888,54.1387,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/07/a38x8vck8dxd/8f2ee8d3-e3e7-4cb8-84e6-a6ddb5e78aea.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733282512&Signature=V3o0yVaH0dLfTVDx5%2BeW82rhRVc%3D,0.243592,48440
603331688,PRP.Eam-2023-04-07_14-20.WAV,2023 Peterson Ranch Pond - East,2023,4,7,15,20,Agelaius tricolor,Common Song,8.528,10.7787,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/07/a38x8vck8dxd/809f40a7-eb7f-4f82-9f7b-a44de4a135ff.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733282512&Signature=AaMQduA8k%2FYzCrSG0quMt8W7hPw%3D,0.40753,48440
603331689,PRP.Eam-2023-04-07_14-00.WAV,2023 Peterson Ranch Pond - East,2023,4,7,15,0,Agelaius tricolor,Common Song,43.1467,45.3973,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/07/a38x8vck8dxd/0f9cad68-3027-419f-b199-c1b07507d21a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733282512&Signature=WIE7Sb3395UEy9nNKheizudaCAM%3D,0.416017,48440
603331690,PRP.Eam-2023-04-07_13-20.WAV,2023 Peterson Ranch Pond - East,2023,4,7,14,20,Agelaius tricolor,Common Song,0.922667,3.17333,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/07/a38x8vck8dxd/f3bbe6e5-26cf-4a8f-8d0a-7df25c414ba2.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733282512&Signature=5uhgHBV7Hf5k5goUOnzoMOaSshU%3D,0.27334,48440
603331691,PRP.Eam-2023-04-07_12-20.WAV,2023 Peterson Ranch Pond - East,2023,4,7,13,20,Agelaius tricolor,Common Song,51.9733,54.224,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/07/a38x8vck8dxd/7bb137e8-683c-4165-9bee-83be1fea6e3d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733282512&Signature=VI0zXVFbm6HiSEGzJaCoi5QKMts%3D,0.423863,48440
603331692,PRP.Eam-2023-04-07_17-00.WAV,2023 Peterson Ranch Pond - East,2023,4,7,18,0,Agelaius tricolor,Common Song,57.4827,59.7333,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/08/a38x8vck8dxd/afb82bc4-1e52-44a0-ad52-6603be78700a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733282512&Signature=unj7OY%2Bez5BjpeLtCcAyJpsrq3E%3D,0.287727,48440
