id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
634178303,RJam-2023-03-27_19-20.WAV,2023 Rancho Jamul North Pond - fix lat lon,2023,3,27,20,20,Agelaius tricolor,Simple Call 2,43.4293,43.824,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/03/28/d5cqujs43dz0/556b7167-0236-4d40-9943-5506c7b77c84.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741873010&Signature=Rj7wA1lx52piIJuzRCB%2Fi6BbE9k%3D,0.504858,48764
634178304,RJam-2023-03-27_16-01.WAV,2023 Rancho Jamul North Pond - fix lat lon,2023,3,27,17,1,Agelaius tricolor,Simple Call 2,41.9893,42.384,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/03/28/d5cqujs43dz0/3855b5b5-32c0-4c26-a0b7-d23d89bb5aed.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741873010&Signature=2wq8dGVyrxpTeTMtuBiMNu1fpuA%3D,0.562849,48764
634178305,RJam-2023-03-09_13-00.WAV,2023 Rancho Jamul North Pond - fix lat lon,2023,3,9,13,0,Agelaius tricolor,Simple Call 2,8.82133,9.216,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/03/09/d5cqujs43dz0/42cf93f6-0d23-4898-a450-c6bc1cd9be8a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741873010&Signature=o6UCNkLNBIlmRFYAvyja1ItKALM%3D,0.525214,48764
634178306,RJam-2023-04-01_19-20.WAV,2023 Rancho Jamul North Pond - fix lat lon,2023,4,1,20,20,Agelaius tricolor,Simple Call 2,30.9813,31.376,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/02/d5cqujs43dz0/3cf4c428-8d82-4efa-b893-08f1c81c05a3.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741873010&Signature=kGFKYuhoeoYoU0rDFkgWT2%2BI06Q%3D,0.540632,48764
634178677,RJam-2023-07-30_08-40.WAV,2023 Rancho Jamul North Pond - fix lat lon,2023,7,30,9,40,Agelaius tricolor,Simple Call 2,32.7947,33.1893,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/30/d5cqujs43dz0/d7c4a407-d176-44bb-88c4-06eb57cf746f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741873010&Signature=wG9vbs01hu7V%2BnXd4l5neEqPNFg%3D,0.451385,48764
634178678,RJam-2023-07-30_07-20.WAV,2023 Rancho Jamul North Pond - fix lat lon,2023,7,30,8,20,Agelaius tricolor,Simple Call 2,13.136,13.5307,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/30/d5cqujs43dz0/db3d8ab9-8ea1-4073-ac55-995bce268617.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741873010&Signature=t05ApAmIAHzc067ISHniI2avsGc%3D,0.402444,48764
634178679,RJam-2023-05-01_18-40.WAV,2023 Rancho Jamul North Pond - fix lat lon,2023,5,1,19,40,Agelaius tricolor,Simple Call 2,27.248,27.6427,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/02/d5cqujs43dz0/69ece73e-7774-4b86-9317-760fb09db3b9.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741873010&Signature=XOdtcsU%2FXGkK1b2If%2FlQKxx%2Fhn0%3D,0.450035,48764
634178680,RJam-2023-05-01_13-20.WAV,2023 Rancho Jamul North Pond - fix lat lon,2023,5,1,14,20,Agelaius tricolor,Simple Call 2,16.8373,17.232,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/01/d5cqujs43dz0/f1c3d10e-7b57-45a2-b345-7c9668fbf385.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741873010&Signature=xwAgtHqtowFW5UmJ56wD%2BAgGx2I%3D,0.494046,48764
634178681,RJam-2023-05-01_10-20.WAV,2023 Rancho Jamul North Pond - fix lat lon,2023,5,1,11,20,Agelaius tricolor,Simple Call 2,53.7227,54.1173,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/01/d5cqujs43dz0/73eff836-ba4b-4ee6-abda-1ba5a884796d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741873010&Signature=0gE%2B7V%2Bbvyw%2BQtW3e2qaC9R5hsk%3D,0.424189,48764
634178682,RJam-2023-05-01_09-20.WAV,2023 Rancho Jamul North Pond - fix lat lon,2023,5,1,10,20,Agelaius tricolor,Simple Call 2,36.832,37.2267,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/01/d5cqujs43dz0/3baf41ae-573f-4c83-9224-2538077b70ce.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741873010&Signature=B1Z2m1y%2FrR6yeUWeDIhx4j0fOTU%3D,0.410998,48764
634178683,RJam-2023-04-30_18-40.WAV,2023 Rancho Jamul North Pond - fix lat lon,2023,4,30,19,40,Agelaius tricolor,Simple Call 2,49.3067,49.7013,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/01/d5cqujs43dz0/b83e4369-24f5-46f8-bdb7-9c82ee984f16.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741873010&Signature=xjporuQSQSadMmS6LEmpxo5XKRw%3D,0.422998,48764
634178684,RJam-2023-04-30_10-20.WAV,2023 Rancho Jamul North Pond - fix lat lon,2023,4,30,11,20,Agelaius tricolor,Simple Call 2,45.4187,45.8133,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/30/d5cqujs43dz0/bffa071c-99e0-4b8d-9380-2e636287aabd.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741873010&Signature=nSQ9fZlYm9ozltgiTxHplyTnGbM%3D,0.471914,48764
634178685,RJam-2023-04-30_09-20.WAV,2023 Rancho Jamul North Pond - fix lat lon,2023,4,30,10,20,Agelaius tricolor,Simple Call 2,8.50667,8.90133,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/30/d5cqujs43dz0/a5248e69-b804-40b7-8ef5-c9dd03c34c82.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741873010&Signature=1nahsENBM9DZA3dbYIk9M950AGw%3D,0.438014,48764
634178686,RJam-2023-04-30_07-40.WAV,2023 Rancho Jamul North Pond - fix lat lon,2023,4,30,8,40,Agelaius tricolor,Simple Call 2,33.3493,33.744,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/30/d5cqujs43dz0/265ba58e-bb3e-4433-a772-1c588722083e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741873010&Signature=LcjoOvlo6pTYBOz6nIshwqqfMKY%3D,0.421456,48764
634178687,RJam-2023-04-30_11-40.WAV,2023 Rancho Jamul North Pond - fix lat lon,2023,4,30,12,40,Agelaius tricolor,Simple Call 2,49.8987,50.2933,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/30/d5cqujs43dz0/025c7d91-e3ff-4b47-bdcf-364640eaaa4d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741873010&Signature=RMD4cdgMQqZW0nRCQi5eonGtPGI%3D,0.435521,48764
634178688,RJam-2023-04-30_09-40.WAV,2023 Rancho Jamul North Pond - fix lat lon,2023,4,30,10,40,Agelaius tricolor,Simple Call 2,57.3653,57.76,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/30/d5cqujs43dz0/6aff53ab-42a9-4bf3-ab9b-05256e00fd97.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741873010&Signature=fdcA%2FoEDDdRsvH6oPBUBYqlw9s8%3D,0.400898,48764
634178689,RJam-2023-04-29_07-20.WAV,2023 Rancho Jamul North Pond - fix lat lon,2023,4,29,8,20,Agelaius tricolor,Simple Call 2,27.12,27.5147,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/29/d5cqujs43dz0/735760e0-5e16-40d9-93b3-9467d081dfa1.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741873010&Signature=Ve%2B%2BesJeSsn2T9UkgqM765Mpozw%3D,0.524071,48764
634178690,RJam-2023-06-01_08-20.WAV,2023 Rancho Jamul North Pond - fix lat lon,2023,6,1,9,20,Agelaius tricolor,Simple Call 2,59.232,59.6267,375,21656,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/01/d5cqujs43dz0/e83a511c-6dfa-4cb5-a32e-92434c9e42b9.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741873010&Signature=nkXJb%2F0P5Xdc45MC%2F5t1FnQBRUw%3D,0.438072,48764
634178691,RJam-2023-06-03_08-40.WAV,2023 Rancho Jamul North Pond - fix lat lon,2023,6,3,9,40,Agelaius tricolor,Simple Call 2,16.4267,16.8213,375,21656,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/03/d5cqujs43dz0/3cbc7089-8904-4dbd-bfec-852961c4a183.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741873010&Signature=Wy1SB4XFlGkORiy4jaSkcYGvYN0%3D,0.548983,48764
