id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
988174961,RJam-2023-06-22_08-40.WAV,2023 Rancho Jamul North Pond - fix lat lon,2023,6,22,9,40,sp32,Simple Call,41.7813,42.6187,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/22/d5cqujs43dz0/dd7b85ef-2df8-413f-b855-1d5a6fbbbaa4.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734399458&Signature=jMUQZQKKS4I5gv93TcQZZYB%2Fudo%3D,0.204576,48764
988174962,RJam-2023-06-23_17-20.WAV,2023 Rancho Jamul North Pond - fix lat lon,2023,6,23,18,20,sp32,Simple Call,38.4533,39.2907,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/24/d5cqujs43dz0/e3efac59-5fca-4361-9f1b-79fc8b4d55c1.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734399458&Signature=DyhroDXCvR8ptPrIGFtts4EXf8w%3D,0.27213,48764
988174963,RJam-2023-06-21_20-00.WAV,2023 Rancho Jamul North Pond - fix lat lon,2023,6,21,21,0,sp32,Simple Call,57.36,58.1973,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/22/d5cqujs43dz0/15d6f466-5087-4c56-89b4-95ebeb98e38a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734399458&Signature=frDHhOQ%2Busnz0tZrDxO5vA863TU%3D,0.217842,48764
988174964,RJam-2023-06-22_06-20.WAV,2023 Rancho Jamul North Pond - fix lat lon,2023,6,22,7,20,sp32,Simple Call,58.6453,59.4827,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/22/d5cqujs43dz0/3ff2693b-561a-41a3-aba9-23c81a68b912.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734399458&Signature=jstIbaE2rNh9nFFGjY8I57uMcE4%3D,0.347598,48764
988174965,RJam-2023-06-21_05-40.WAV,2023 Rancho Jamul North Pond - fix lat lon,2023,6,21,6,40,sp32,Simple Call,58.544,59.3813,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/21/d5cqujs43dz0/b049fd02-2a35-46aa-a3c7-bc9032599dd8.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734399458&Signature=GWsTE%2BcL6ycc0M%2B42lVFpMzhpis%3D,0.221866,48764
988174966,RJam-2023-06-22_05-20.WAV,2023 Rancho Jamul North Pond - fix lat lon,2023,6,22,6,20,sp32,Simple Call,5.60533,6.44267,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/22/d5cqujs43dz0/46b47cea-a151-4b1b-ae60-361452cd779b.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734399458&Signature=8cllekRKywAUiRJFbMs7SijSz2g%3D,0.268564,48764
988174967,RJam-2023-06-21_06-40.WAV,2023 Rancho Jamul North Pond - fix lat lon,2023,6,21,7,40,sp32,Simple Call,20.2987,21.136,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/21/d5cqujs43dz0/67a544a9-b37d-4f33-b4ac-edae4c9b379d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734399458&Signature=vij31HN%2BJJsdR7TEhrkLlf%2Fy0bQ%3D,0.273086,48764
988174968,RJam-2023-06-21_07-00.WAV,2023 Rancho Jamul North Pond - fix lat lon,2023,6,21,8,0,sp32,Simple Call,28.8427,29.68,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/21/d5cqujs43dz0/0de243e6-f5db-4a52-ba1c-d00da4523fac.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734399458&Signature=UGqIKy1UUCfGfFIDH9DSVA9xUKM%3D,0.22675,48764
988174969,RJam-2023-06-20_16-40.WAV,2023 Rancho Jamul North Pond - fix lat lon,2023,6,20,17,40,sp32,Simple Call,9.06133,9.89867,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/21/d5cqujs43dz0/e97a2c61-4b00-4d89-8979-cff31736361f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734399458&Signature=PPaDdrvEGe9FJnVdPbS%2BztmZR78%3D,0.276672,48764
988174970,RJam-2023-06-21_10-40.WAV,2023 Rancho Jamul North Pond - fix lat lon,2023,6,21,11,40,sp32,Simple Call,40.3787,41.216,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/21/d5cqujs43dz0/090d3ff1-b151-481a-abd8-274db5cfdaf8.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734399458&Signature=non%2B3NXSsiTg6SqNbRnZvpYD2II%3D,0.218721,48764
