id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
986478593,SRam-2023-06-17_05-40.WAV,2023 Sedgwick,2023,6,17,6,40,sp30,Simple Call,10.3787,11.296,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/17/dlwixoerw866/aa25d15f-aa4d-41d7-81b1-b1b6d2ac589d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740266478&Signature=jnkT5bfn20TfSuPtBoCD98Q%2BH04%3D,0.229897,48466
986478795,SRam-2023-05-03_12-40.WAV,2023 Sedgwick,2023,5,3,13,40,sp30,Simple Call,58.096,59.0133,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/03/dlwixoerw866/6cda2cec-c61f-4441-aeaa-c4c922cd3768.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740266478&Signature=tsV33zNaYlbao4bDQXDC4QbYRew%3D,0.200686,48466
986478796,SRam-2023-05-03_05-40.WAV,2023 Sedgwick,2023,5,3,6,40,sp30,Simple Call,9.29067,10.208,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/03/dlwixoerw866/ddf81f16-cde7-4a07-acf4-2ef2acd2cd23.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740266478&Signature=qltiP%2BkUC4gRm6sorLhJtTF6p5I%3D,0.257318,48466
986478797,SRam-2023-05-04_18-00.WAV,2023 Sedgwick,2023,5,4,19,0,sp30,Simple Call,34.448,35.3653,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/05/dlwixoerw866/40f2f119-3017-4503-aca0-5f7ae8536c29.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740266478&Signature=cYrriOEWDc4eG8dY39LL5elTZ%2BE%3D,0.207814,48466
986478798,SRam-2023-05-04_11-20.WAV,2023 Sedgwick,2023,5,4,12,20,sp30,Simple Call,43.9467,44.864,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/04/dlwixoerw866/66805d44-139e-479a-b8b8-c9fc0f9c4787.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740266478&Signature=iHqwIcnCX7mbiHqpHbUHn3ep95I%3D,0.220437,48466
986478799,SRam-2023-05-05_07-40.WAV,2023 Sedgwick,2023,5,5,8,40,sp30,Simple Call,37.04,37.9573,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/05/dlwixoerw866/b635e9cf-8bf6-4db6-acc6-b30b1be49e69.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740266478&Signature=G69SdzrecU%2Fu5ykVMIn1HbZznf0%3D,0.235994,48466
986478800,SRam-2023-05-04_08-00.WAV,2023 Sedgwick,2023,5,4,9,0,sp30,Simple Call,25.5947,26.512,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/04/dlwixoerw866/fc88a72c-e4fa-4754-96a2-82dc8e2b06f1.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740266478&Signature=NLY732VYXSAl6zSs3A80PXsClUw%3D,0.215528,48466
986478801,SRam-2023-05-06_17-00.WAV,2023 Sedgwick,2023,5,6,18,0,sp30,Simple Call,32.5013,33.4187,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/07/dlwixoerw866/0d8f4d77-79a3-4343-a040-d3c9cb828668.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740266478&Signature=D%2FLyjw%2F12mEi3lmF0kX1UJIaLBQ%3D,0.282105,48466
986478802,SRam-2023-05-05_11-00.WAV,2023 Sedgwick,2023,5,5,12,0,sp30,Simple Call,57.6853,58.6027,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/05/dlwixoerw866/b790534d-fe79-4f37-9f19-03575128ff5f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740266478&Signature=4cq8qcqizcQQ9uYMdg%2FcFREPSvg%3D,0.222165,48466
986478803,SRam-2023-05-07_10-00.WAV,2023 Sedgwick,2023,5,7,11,0,sp30,Simple Call,37.936,38.8533,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/07/dlwixoerw866/0275ce6b-19d3-4e3f-821a-425774cdb98a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740266478&Signature=%2FovOB5R3OagdYDMHvPpRbuUWIKM%3D,0.22108,48466
