id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
986462353,WA.McWam-2023-06-13_18-40.WAV,2023 WA McCain Wetlands,2023,6,13,19,40,Lithobates catesbeianus,Common Song,33.0827,34.2987,94,2813,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/14/zxig94blapl4/236a90df-b2db-4d47-bd78-cbfc33475b0f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734248012&Signature=s%2B%2FA4qEOAd5rQkORdiItDZ2Qt58%3D,0.456821,48393
986462354,WA.McWam-2023-06-17_05-00.WAV,2023 WA McCain Wetlands,2023,6,17,6,0,Lithobates catesbeianus,Common Song,8.63467,9.85067,94,2813,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/17/zxig94blapl4/905b86a9-653e-41e7-978f-039e01d2a9be.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734248012&Signature=gKX1%2BiFlTkaTZxUBsGod1Iw4Uv8%3D,0.291894,48393
986462355,WA.McWam-2023-06-17_05-40.WAV,2023 WA McCain Wetlands,2023,6,17,6,40,Lithobates catesbeianus,Common Song,2.41067,3.62667,94,2813,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/17/zxig94blapl4/2b8bb0c5-a4dc-43bf-a187-6030687eef47.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734248012&Signature=sADAcW7W97GFXjv%2FFxjt3bM1Tys%3D,0.237449,48393
986462356,WA.McWam-2023-06-17_03-20.WAV,2023 WA McCain Wetlands,2023,6,17,4,20,Lithobates catesbeianus,Common Song,55.7547,56.9707,94,2813,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/17/zxig94blapl4/d1cb67e2-2de4-450c-b6ab-ba9a53349cfb.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734248012&Signature=CFIQP%2FbxnvOFC84Hr7QTqWHjgvo%3D,0.339203,48393
986462357,WA.McWam-2023-06-11_00-20.WAV,2023 WA McCain Wetlands,2023,6,11,1,20,Lithobates catesbeianus,Common Song,29.3867,30.6027,94,2813,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/11/zxig94blapl4/2068d400-8541-4989-ba43-9d07676a2207.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734248012&Signature=nSwru0vkBb7%2FD%2FHuvNI0J%2FvUz0g%3D,0.242199,48393
986462358,WA.McWam-2023-06-13_17-00.WAV,2023 WA McCain Wetlands,2023,6,13,18,0,Lithobates catesbeianus,Common Song,41.2,42.416,94,2813,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/14/zxig94blapl4/eae6ee3b-f9c8-4fcd-b28c-8bb0c0d9eda9.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734248012&Signature=QzzLy4EZW7VpdpF%2Ffc72yzV4qtM%3D,0.45405,48393
986462359,WA.McWam-2023-06-10_23-40.WAV,2023 WA McCain Wetlands,2023,6,11,0,40,Lithobates catesbeianus,Common Song,19.4987,20.7147,94,2813,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/11/zxig94blapl4/9aa514d6-5daa-4ee2-8918-697238b12bb9.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734248012&Signature=OfewZnnQnMMz9ScyitRCHEj%2F%2F7s%3D,0.296178,48393
986462360,WA.McWam-2023-06-12_17-40.WAV,2023 WA McCain Wetlands,2023,6,12,18,40,Lithobates catesbeianus,Common Song,35.4827,36.6987,94,2813,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/13/zxig94blapl4/6f963e90-f896-4249-af98-b993879019b7.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734248012&Signature=1MarDRg1Q86TKjniwOPgrj58OSE%3D,0.33123,48393
986462361,WA.McWam-2023-06-10_04-20.WAV,2023 WA McCain Wetlands,2023,6,10,5,20,Lithobates catesbeianus,Common Song,14.4907,15.7067,94,2813,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/10/zxig94blapl4/5738e481-6931-40bf-8ea3-bd91447d895d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734248012&Signature=qiuljdnKcHtB%2BFhUFvwKtdRhSVo%3D,0.308663,48393
986462362,WA.McWam-2023-06-12_15-00.WAV,2023 WA McCain Wetlands,2023,6,12,16,0,Lithobates catesbeianus,Common Song,22.6613,23.8773,94,2813,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/12/zxig94blapl4/c43de8d5-1cdf-409c-ada0-d4d8a9e54a04.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734248012&Signature=CwThrUJPR6X%2BU3K2SfZSTGMZIxw%3D,0.464691,48393
986462363,WA.McWam-2023-06-10_23-00.WAV,2023 WA McCain Wetlands,2023,6,11,0,0,Lithobates catesbeianus,Common Song,7.18933,8.40533,94,2813,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/11/zxig94blapl4/2101eafa-a37c-49cd-a488-3f3691ca461e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734248012&Signature=5t8iUmpa5bF4taNlkMxIemzh8Ig%3D,0.233546,48393
986462364,WA.McWam-2023-06-17_01-40.WAV,2023 WA McCain Wetlands,2023,6,17,2,40,Lithobates catesbeianus,Common Song,47.632,48.848,94,2813,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/17/zxig94blapl4/8590e786-d68d-45e6-9a41-f52bc7501025.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734248012&Signature=OHBpED5gtOZ9TyJ2JSutGU7%2F8T0%3D,0.385271,48393
986462365,WA.McWam-2023-06-12_22-40.WAV,2023 WA McCain Wetlands,2023,6,12,23,40,Lithobates catesbeianus,Common Song,57.8667,59.0827,94,2813,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/13/zxig94blapl4/8724b6ba-f2cb-4b38-990c-b645a3e9b3b1.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734248012&Signature=7GrRfewZ2Kq92RusqtLZCERKDG4%3D,0.20517,48393
986462366,WA.McWam-2023-06-12_14-00.WAV,2023 WA McCain Wetlands,2023,6,12,15,0,Lithobates catesbeianus,Common Song,38.624,39.84,94,2813,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/12/zxig94blapl4/79f002fa-c4e6-4b94-a6d6-7ff1945c79a2.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734248012&Signature=MG%2F%2Bckg4CbvUJmFEUv8JOW472QI%3D,0.219748,48393
986462367,WA.McWam-2023-06-10_19-20.WAV,2023 WA McCain Wetlands,2023,6,10,20,20,Lithobates catesbeianus,Common Song,38.2027,39.4187,94,2813,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/11/zxig94blapl4/d1d2f9a8-b36e-43cc-922c-45d33b932e8c.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734248012&Signature=6WIMZXlN0R7u1ogfVgXaedAe%2BnI%3D,0.260111,48393
986462368,WA.McWam-2023-06-12_13-20.WAV,2023 WA McCain Wetlands,2023,6,12,14,20,Lithobates catesbeianus,Common Song,47.248,48.464,94,2813,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/12/zxig94blapl4/7cb2e668-c1fc-4002-82cd-cb1dae4b4da8.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734248012&Signature=rgWvEDp8WMKiPsAETgrqlBQ3Bzk%3D,0.256769,48393
986462369,WA.McWam-2023-06-12_13-00.WAV,2023 WA McCain Wetlands,2023,6,12,14,0,Lithobates catesbeianus,Common Song,48.4,49.616,94,2813,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/12/zxig94blapl4/da4f2639-9c91-4656-a1d1-b8025dd93684.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734248012&Signature=HMIfKF1Xepvtk01CWyjTOuX6tos%3D,0.343834,48393
986462370,WA.McWam-2023-06-09_20-00.WAV,2023 WA McCain Wetlands,2023,6,9,21,0,Lithobates catesbeianus,Common Song,33.552,34.768,94,2813,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/10/zxig94blapl4/d0eaf65d-3a5b-4786-b2f6-07e12bf55f17.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734248012&Signature=W5b3EOCymB7Xa2ZsZ6gLWvUyqAI%3D,0.363877,48393
986462371,WA.McWam-2023-06-10_18-20.WAV,2023 WA McCain Wetlands,2023,6,10,19,20,Lithobates catesbeianus,Common Song,55.776,56.992,94,2813,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/11/zxig94blapl4/e0cccc11-e728-4467-aa2c-b9259a5226ae.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734248012&Signature=CNCWsPvQY4NX8PbfqPow%2BTWLMFI%3D,0.4458,48393
986462372,WA.McWam-2023-06-16_21-20.WAV,2023 WA McCain Wetlands,2023,6,16,22,20,Lithobates catesbeianus,Common Song,45.344,46.56,94,2813,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/17/zxig94blapl4/201952e3-cb31-461c-9062-62f60b4b4945.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734248012&Signature=wl5iGwM7KRw78EDd0Yk8BXqGTLE%3D,0.312014,48393
986462373,WA.McWam-2023-06-12_11-20.WAV,2023 WA McCain Wetlands,2023,6,12,12,20,Lithobates catesbeianus,Common Song,49.0827,50.2987,94,2813,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/12/zxig94blapl4/fcabb05f-5637-47d0-ae2d-df572c4fefb3.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734248012&Signature=V4r2Lw5TKi%2FHPpg8ql%2BN%2Bq0GvKs%3D,0.356385,48393
