id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
986464124,WA.McWam-2023-08-07_17-00.WAV,2023 WA McCain Wetlands,2023,8,7,18,0,Pseudacris regilla,Common Song,24.3253,25.5413,1406,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/08/08/zxig94blapl4/6300c71d-f7da-45da-b29a-636286fe2360.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740266768&Signature=gRDgbrMiOGsvnGXcpoyh5oJ33KI%3D,0.212597,48393
986464125,WA.McWam-2023-08-07_12-00.WAV,2023 WA McCain Wetlands,2023,8,7,13,0,Pseudacris regilla,Common Song,11.3973,12.6133,1406,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/08/07/zxig94blapl4/5ed6afb2-ecfa-447b-8565-5e934721fc45.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740266768&Signature=wQvqZGwkPDGYReX6xlxDeo5cOeM%3D,0.207059,48393
986464126,WA.McWam-2023-08-07_05-00.WAV,2023 WA McCain Wetlands,2023,8,7,6,0,Pseudacris regilla,Common Song,49.904,51.12,1406,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/08/07/zxig94blapl4/7aa5751d-92e1-4147-817c-b7c71d30d0a4.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740266768&Signature=k0fhNx3hUQMZW6y1yjmMZOW7sSQ%3D,0.246858,48393
986464127,WA.McWam-2023-08-06_09-40.WAV,2023 WA McCain Wetlands,2023,8,6,10,40,Pseudacris regilla,Common Song,41.7333,42.9493,1406,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/08/06/zxig94blapl4/3f0258b0-cfb0-449d-b26e-31aa640d22c3.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740266768&Signature=IJQoOxQKrql%2FggAIrNwOYBpDa2k%3D,0.201571,48393
986464128,WA.McWam-2023-08-05_12-20.WAV,2023 WA McCain Wetlands,2023,8,5,13,20,Pseudacris regilla,Common Song,45.568,46.784,1406,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/08/05/zxig94blapl4/f1c2c432-e1cb-4e9b-a43c-fe989f20fe58.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740266768&Signature=LvA0mcBh6GCzXAONVW9q0biEMu4%3D,0.235056,48393
986465333,WA.McWam-2023-08-03_08-40.WAV,2023 WA McCain Wetlands,2023,8,3,9,40,Pseudacris regilla,Common Song,55.488,56.704,1406,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/08/03/zxig94blapl4/e90482dd-0144-4333-8f8e-fb195e5a66e3.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740266768&Signature=a9Uk4tcWvWgObSzxRPlWuYag88g%3D,0.230286,48393
986465334,WA.McWam-2023-08-03_14-20.WAV,2023 WA McCain Wetlands,2023,8,3,15,20,Pseudacris regilla,Common Song,19.6693,20.8853,1406,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/08/03/zxig94blapl4/30ecdc15-1cab-4832-9a5d-fde096a56a2d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740266768&Signature=J9YhJtzulnN3ekZPk9shAPtV7E8%3D,0.217748,48393
986465335,WA.McWam-2023-08-03_16-40.WAV,2023 WA McCain Wetlands,2023,8,3,17,40,Pseudacris regilla,Common Song,2.21333,3.42933,1406,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/08/04/zxig94blapl4/6746566d-7434-4742-b019-14fab02ccd36.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740266768&Signature=7exNudek6%2BcvnftPzfi%2FGF45Wf4%3D,0.218923,48393
986465336,WA.McWam-2023-08-02_15-00.WAV,2023 WA McCain Wetlands,2023,8,2,16,0,Pseudacris regilla,Common Song,22.608,23.824,1406,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/08/02/zxig94blapl4/aad36bbd-1b2c-4df0-8cc2-296a6a78d1df.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740266768&Signature=RYRmhpn7yJ10m4atxTqOUhblON4%3D,0.260046,48393
986465337,WA.McWam-2023-08-03_09-00.WAV,2023 WA McCain Wetlands,2023,8,3,10,0,Pseudacris regilla,Common Song,19.2267,20.4427,1406,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/08/03/zxig94blapl4/6d8e9b1a-b7b7-4fdf-8076-a0141a1bf4f0.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740266768&Signature=4y%2F5UxmGnBtqYQGgE9t5wAgHcqs%3D,0.205986,48393
