id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
603435002,WWP.1am-2023-04-07_15-20.WAV,2023 Wind Wolves Preserve site 1,2023,4,7,16,20,Agelaius tricolor,Common Song,16.277333333333335,18.490666666666666,843.75,3375,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/07/mbjpdtkr3u9h/20ef6622-49d9-4d41-a8e9-947fc330b7db.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1720624417&Signature=MgSP5nxXNlOQ4bzfWjZxLBsLjmQ%3D,0.2919710901424978,48471
603435003,WWP.1am-2023-04-07_14-40.WAV,2023 Wind Wolves Preserve site 1,2023,4,7,15,40,Agelaius tricolor,Common Song,25.216,27.429333333333332,843.75,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/07/mbjpdtkr3u9h/bd5ed5cd-544a-4c01-9091-6cb43b40267b.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1720624417&Signature=GA%2FCQwyw4Xl4Fq1dYteZ0YTxTNQ%3D,0.2511465254919439,48471
603435004,WWP.1am-2023-04-07_12-00.WAV,2023 Wind Wolves Preserve site 1,2023,4,7,13,0,Agelaius tricolor,Common Song,45.072,47.285333333333334,843.75,3375,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/07/mbjpdtkr3u9h/20b32200-f622-4574-8e24-45864418b6c6.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1720624417&Signature=CxskaIkqDU5l68G%2BpdmK463zF50%3D,0.2226881325803284,48471
603435005,WWP.1am-2023-04-07_10-40.WAV,2023 Wind Wolves Preserve site 1,2023,4,7,11,40,Agelaius tricolor,Common Song,41.525333333333336,43.73866666666667,843.75,3375,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/07/mbjpdtkr3u9h/ed80ac6c-23c8-4500-bfd1-08876a45394c.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1720624417&Signature=h2qkg%2BD2PoK3Y2J5i26HA%2FRRBmE%3D,0.24795759123528013,48471
603435006,WWP.1am-2023-04-07_09-20.WAV,2023 Wind Wolves Preserve site 1,2023,4,7,10,20,Agelaius tricolor,Common Song,6.576,8.789333333333333,843.75,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/07/mbjpdtkr3u9h/476fc1b6-7098-473f-8d98-bfb7c0be0362.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1720624417&Signature=u925Iuxr%2BEZrg7bk6%2BtNMRLU1R4%3D,0.34621927686237824,48471
603435007,WWP.1am-2023-04-07_10-00.WAV,2023 Wind Wolves Preserve site 1,2023,4,7,11,0,Agelaius tricolor,Common Song,15.845333333333333,18.058666666666667,843.75,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/07/mbjpdtkr3u9h/23e32216-8f01-4818-bccb-46b13fcd1490.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1720624417&Signature=jJAbPC27OsmS8gmSMeOwYkh5JuY%3D,0.22571836655238475,48471
603435008,WWP.1am-2023-04-07_09-40.WAV,2023 Wind Wolves Preserve site 1,2023,4,7,10,40,Agelaius tricolor,Common Song,13.717333333333332,15.930666666666667,843.75,3375,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/07/mbjpdtkr3u9h/185b26d8-185d-4f61-9373-abe41e419641.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1720624417&Signature=%2BjQjPrlZvlGeZwfv8T08yEjD37Q%3D,0.31505855903471197,48471
603435009,WWP.1am-2023-03-09_13-00.WAV,2023 Wind Wolves Preserve site 1,2023,3,9,13,0,Agelaius tricolor,Common Song,17.717333333333332,19.930666666666667,843.75,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/03/09/mbjpdtkr3u9h/084f7909-7101-49e7-85df-43f293eaeb13.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1720624417&Signature=sxpKiiAkULLqvIy91QW2V9Iba2w%3D,0.30452469763475876,48471
603435010,WWP.1am-2023-04-15_09-40.WAV,2023 Wind Wolves Preserve site 1,2023,4,15,10,40,Agelaius tricolor,Common Song,16.021333333333335,18.234666666666666,843.75,3375,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/15/mbjpdtkr3u9h/610afec6-fcf0-4e0c-8ffd-72ff4a03d678.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1720624417&Signature=ntsp%2BOAXqGzSvOOPo0F1GBR4pmU%3D,0.24755628365832696,48471
603435011,WWP.1am-2023-04-14_18-00.WAV,2023 Wind Wolves Preserve site 1,2023,4,14,19,0,Agelaius tricolor,Common Song,9.850666666666667,12.064,843.75,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/15/mbjpdtkr3u9h/cee0b117-9f7e-4a03-9e47-61c5fd77bb42.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1720624417&Signature=gtJrIRUIkylkfRo7qY%2B2E2u1W20%3D,0.2016399748311176,48471
