id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
965653661,OR.ERam-2024-06-29_03-40.WAV,2024 OR Eureka Lane,2024,6,29,3,40,Agelaius tricolor,Common Song,45.7547,47.968,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/06/29/eoratd05eoof/db65be77-8e6e-4fb7-8ee1-0e815cbabbd2.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740267665&Signature=3XRIF9O%2F1SkpuhZrLIk4UAJzzFU%3D,0.211725,63086
965653662,OR.ERam-2024-06-29_19-40.WAV,2024 OR Eureka Lane,2024,6,29,19,40,Agelaius tricolor,Common Song,44.0853,46.2987,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/06/30/eoratd05eoof/356b8050-296b-4dc0-975c-40adb344a922.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740267665&Signature=%2BC2n9me3ibb%2B8UQS%2FAYlOv6n38g%3D,0.515614,63086
965653663,OR.ERam-2024-06-29_22-00.WAV,2024 OR Eureka Lane,2024,6,29,22,0,Agelaius tricolor,Common Song,34.3147,36.528,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/06/30/eoratd05eoof/e5af4d22-e640-4a0d-9e07-9ebd163fe1d4.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740267665&Signature=QelzdTb1AboM8E4J%2FFnsIU3K8Dg%3D,0.315538,63086
965653664,OR.ERam-2024-07-01_03-20.WAV,2024 OR Eureka Lane,2024,7,1,3,20,Agelaius tricolor,Common Song,34.1173,36.3307,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/07/01/eoratd05eoof/3f1c0a3c-eedf-4779-b298-f02f4829d102.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740267665&Signature=S2E5PAhEkSgJCgkVUS26Ux56OQM%3D,0.20353,63086
965653665,OR.ERam-2024-06-29_21-00.WAV,2024 OR Eureka Lane,2024,6,29,21,0,Agelaius tricolor,Common Song,23.7227,25.936,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/06/30/eoratd05eoof/79a185bd-ccc7-49a4-bd5a-0c45b7b1ffae.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740267665&Signature=wj8K3YHXUQ61tLO0UaS0vQI%2BkhY%3D,0.290353,63086
965653666,OR.ERam-2024-06-30_18-40.WAV,2024 OR Eureka Lane,2024,6,30,18,40,Agelaius tricolor,Common Song,14.1547,16.368,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/07/01/eoratd05eoof/15b74f27-36c2-4a8a-a3c0-c06460c2b313.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740267665&Signature=Srr7vD6tzqjpbjnVAzoZ6k5FeOo%3D,0.444337,63086
965653667,OR.ERam-2024-06-29_17-40.WAV,2024 OR Eureka Lane,2024,6,29,17,40,Agelaius tricolor,Common Song,42.9707,45.184,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/06/30/eoratd05eoof/479c36dd-cd2c-4f25-b741-45d63a4379db.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740267665&Signature=%2FQ0xdZ0u%2BRcNejj%2FpZoWxwsSsKo%3D,0.24801,63086
965653668,OR.ERam-2024-06-30_18-00.WAV,2024 OR Eureka Lane,2024,6,30,18,0,Agelaius tricolor,Common Song,33.3067,35.52,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/07/01/eoratd05eoof/ab73d1d6-8290-49fe-9651-34641d7a4bb6.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740267665&Signature=tpev%2BvIvXpI2nNifJHy%2Fir8UeSE%3D,0.362711,63086
965653669,OR.ERam-2024-06-30_17-40.WAV,2024 OR Eureka Lane,2024,6,30,17,40,Agelaius tricolor,Common Song,9.82933,12.0427,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/07/01/eoratd05eoof/db450b02-16d4-4ef2-a059-4b2474ffcce2.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740267665&Signature=UCJNl6%2BWz3VpdDvX9dLp66VOwaA%3D,0.409104,63086
965653670,OR.ERam-2024-06-30_17-20.WAV,2024 OR Eureka Lane,2024,6,30,17,20,Agelaius tricolor,Common Song,41.152,43.3653,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/07/01/eoratd05eoof/2115654f-97b9-4232-8d63-408492fb22da.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740267665&Signature=7uUGrQUI%2FTw8OD9FChZ4SoFdJTk%3D,0.485372,63086
