id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
957584777,SLPam-2024-04-14_23-20.WAV,2024 Ohlone - Santa Lucia Preserve,2024,4,14,23,20,Agelaius tricolor,Alternative Song 2,32.9973,33.4027,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/04/15/1o6ip7jvviai/621e7204-7665-40ad-ba2c-4f054a48b52b.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740267630&Signature=unKRj1MtbOZ31j8o3BJLF204n7M%3D,0.229114,63049
957584778,SLPam-2024-04-14_20-20.WAV,2024 Ohlone - Santa Lucia Preserve,2024,4,14,20,20,Agelaius tricolor,Alternative Song 2,54.6027,55.008,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/04/15/1o6ip7jvviai/d6c0edaf-59b5-4314-a300-f2c29efa585e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740267630&Signature=43aO7bkKAsKpl17E3i8WNYuMDZ0%3D,0.246467,63049
957584779,SLPam-2024-04-12_02-20.WAV,2024 Ohlone - Santa Lucia Preserve,2024,4,12,2,20,Agelaius tricolor,Alternative Song 2,0.965333,1.37067,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/04/12/1o6ip7jvviai/61bca9c5-128f-4bf9-897e-453815cced2b.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740267630&Signature=3%2BIHeUWOHfmoSCZTRV9PyJBqLgk%3D,0.234766,63049
957584780,SLPam-2024-04-13_18-40.WAV,2024 Ohlone - Santa Lucia Preserve,2024,4,13,18,40,Agelaius tricolor,Alternative Song 2,26.384,26.7893,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/04/14/1o6ip7jvviai/28599cfe-f311-4b1f-957d-4c479add7567.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740267630&Signature=Mhva7TBh7dP1OGGdKEdXYa327m0%3D,0.28005,63049
957584781,SLPam-2024-04-11_19-40.WAV,2024 Ohlone - Santa Lucia Preserve,2024,4,11,19,40,Agelaius tricolor,Alternative Song 2,13.1787,13.584,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/04/12/1o6ip7jvviai/78e92a16-8d9b-4433-ac59-bf485993aaa7.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740267630&Signature=yIiy2kbPbqy2kvMJdYqVqiD9%2FN0%3D,0.2435,63049
957584782,SLPam-2024-04-12_03-00.WAV,2024 Ohlone - Santa Lucia Preserve,2024,4,12,3,0,Agelaius tricolor,Alternative Song 2,48.9973,49.4027,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/04/12/1o6ip7jvviai/bd85f212-e8e1-4fee-9f22-da329da13e17.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740267630&Signature=iDF8X55Xosf3TQ2u2wNNIjoTsfs%3D,0.206949,63049
957584783,SLPam-2024-04-13_13-20.WAV,2024 Ohlone - Santa Lucia Preserve,2024,4,13,13,20,Agelaius tricolor,Alternative Song 2,41.1093,41.5147,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/04/13/1o6ip7jvviai/ab01a137-449c-42fd-a621-e763e69b8828.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740267630&Signature=dMl2QzXYDzPxe8CCFpzjRzb%2FTCs%3D,0.254519,63049
957584784,SLPam-2024-04-12_03-20.WAV,2024 Ohlone - Santa Lucia Preserve,2024,4,12,3,20,Agelaius tricolor,Alternative Song 2,6.96533,7.37067,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/04/12/1o6ip7jvviai/3aef8a89-9f9c-4e44-8bd0-4ae4853c7e6a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740267630&Signature=3%2FrQ8iA7b6dGPcnXmkErOISsMn4%3D,0.237296,63049
957584785,SLPam-2024-04-13_12-40.WAV,2024 Ohlone - Santa Lucia Preserve,2024,4,13,12,40,Agelaius tricolor,Alternative Song 2,4.13867,4.544,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/04/13/1o6ip7jvviai/0affd027-3cc2-44a1-8afa-90c726e9dbaa.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740267630&Signature=l%2B%2B9VJijwGoR2%2F%2FIHBWuizNiQEA%3D,0.2664,63049
957584786,SLPam-2024-04-12_01-00.WAV,2024 Ohlone - Santa Lucia Preserve,2024,4,12,1,0,Agelaius tricolor,Alternative Song 2,13.1787,13.584,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/04/12/1o6ip7jvviai/d0f7ef2a-d95d-4926-9644-b86c4400dcc6.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740267630&Signature=nwm7wzWsTTR%2Bi44IrCxkoAbEXoo%3D,0.209227,63049
