id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
975396453,PCP-DMWam-2024-07-01_09-20.WAV,2024 Panoche Creek Preserve - Dollar Marsh West - fix lat lon,2024,7,1,9,20,sp11,Simple Call,0.144,0.890667,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/07/01/kjseb4m2hiza/90961ffb-0b4b-489d-8631-552d06f23087.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733285529&Signature=dGJERE1%2BeG1boGVrBVEn%2BRv%2B1lA%3D,0.34123,65470
975396454,PCP-DMWam-2024-07-02_07-00.WAV,2024 Panoche Creek Preserve - Dollar Marsh West - fix lat lon,2024,7,2,7,0,sp11,Simple Call,28.576,29.3227,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/07/02/kjseb4m2hiza/c715c59d-6af7-4929-bfb3-45862334d0f8.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733285529&Signature=A1AkIVsqAcVDnOfqUXpY6eWM8P4%3D,0.207582,65470
975396455,PCP-DMWam-2024-07-01_10-00.WAV,2024 Panoche Creek Preserve - Dollar Marsh West - fix lat lon,2024,7,1,10,0,sp11,Simple Call,46.0853,46.832,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/07/01/kjseb4m2hiza/74b09f14-6ad7-4b25-962d-ac3fdd1b8bea.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733285529&Signature=0NCmX9C4eDEB88qms0j8mboi3pk%3D,0.278026,65470
975396456,PCP-DMWam-2024-07-01_07-00.WAV,2024 Panoche Creek Preserve - Dollar Marsh West - fix lat lon,2024,7,1,7,0,sp11,Simple Call,55.6213,56.368,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/07/01/kjseb4m2hiza/c237dff7-33c0-4c99-9d95-bdfd7604224f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733285529&Signature=i0g5lDeKDSmd4m0UoGFXgrqcnKY%3D,0.254538,65470
975396457,PCP-DMWam-2024-06-30_06-40.WAV,2024 Panoche Creek Preserve - Dollar Marsh West - fix lat lon,2024,6,30,6,40,sp11,Simple Call,17.1733,17.92,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/06/30/kjseb4m2hiza/6dbf7fb6-13d7-419e-952b-8133a0e63e09.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733285529&Signature=HsiM%2FNKUHKG6trLPupY0qghOYmc%3D,0.339246,65470
975396458,PCP-DMWam-2024-06-29_09-20.WAV,2024 Panoche Creek Preserve - Dollar Marsh West - fix lat lon,2024,6,29,9,20,sp11,Simple Call,46.128,46.8747,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/06/29/kjseb4m2hiza/590a7aef-48c8-48e2-900f-7230ee12d522.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733285529&Signature=exXLD5CvDq5edY37aBnnMm1ihEg%3D,0.230845,65470
975396459,PCP-DMWam-2024-06-29_06-00.WAV,2024 Panoche Creek Preserve - Dollar Marsh West - fix lat lon,2024,6,29,6,0,sp11,Simple Call,50.912,51.6587,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/06/29/kjseb4m2hiza/ee404315-979d-402d-82b5-9344ec8f63f0.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733285529&Signature=bxc4ggGz2LsQGWqsxbXcpJbCKog%3D,0.227605,65470
975396460,PCP-DMWam-2024-06-27_05-40.WAV,2024 Panoche Creek Preserve - Dollar Marsh West - fix lat lon,2024,6,27,5,40,sp11,Simple Call,2.416,3.16267,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/06/27/kjseb4m2hiza/d1858bfb-4f54-4395-8dc0-d6a0b2c108f4.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733285529&Signature=2BDMGfyVFMYZQTSN%2FGuxEAOpLZ4%3D,0.264754,65470
975396461,PCP-DMWam-2024-06-25_07-00.WAV,2024 Panoche Creek Preserve - Dollar Marsh West - fix lat lon,2024,6,25,7,0,sp11,Simple Call,31.3333,32.08,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/06/25/kjseb4m2hiza/15691884-a100-4141-a8cb-888b959ac8d9.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733285529&Signature=ve%2BqC2VmtswTcKuwaoOOzYF8Q4Q%3D,0.251803,65470
975397368,PCP-DMWam-2024-04-19_06-00.WAV,2024 Panoche Creek Preserve - Dollar Marsh West - fix lat lon,2024,4,19,6,0,sp11,Simple Call,52.2933,53.04,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/04/19/kjseb4m2hiza/6223e266-6b01-4f09-99f6-00163b5cb06b.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733285529&Signature=58AdXRTSYt2cBPNckSDaQVB5hn8%3D,0.218001,65470
