id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
967517785,RJ-MP1am-2024-07-07_20-20.WAV,2024 Rancho Jamul - Main Pond 1,2024,7,7,20,20,sp22,Simple Call,16.3147,17.52,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/07/08/79td9es1wpuj/ac921365-6bf1-41fd-8599-fd61d316f15c.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740267835&Signature=ZrE9cYZKb%2FEyxPeDw5q9jLf4Nzk%3D,0.226263,63656
967517786,RJ-MP1am-2024-07-08_19-00.WAV,2024 Rancho Jamul - Main Pond 1,2024,7,8,19,0,sp22,Simple Call,37.408,38.6133,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/07/09/79td9es1wpuj/970be860-c0e8-44f8-a5c0-c75f2a1e90a8.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740267835&Signature=H7AlhDe4C2aWHk1gRH8iW6xfCj8%3D,0.232205,63656
967517787,RJ-MP1am-2024-07-07_16-20.WAV,2024 Rancho Jamul - Main Pond 1,2024,7,7,16,20,sp22,Simple Call,14.624,15.8293,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/07/07/79td9es1wpuj/fabc4e0e-a876-4901-81af-7b4c29d22a86.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740267835&Signature=oYDt5ZzdhkpXbhF6qgs1D1Vh6x0%3D,0.252061,63656
967517788,RJ-MP1am-2024-07-09_11-20.WAV,2024 Rancho Jamul - Main Pond 1,2024,7,9,11,20,sp22,Simple Call,56.7413,57.9467,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/07/09/79td9es1wpuj/35d0f561-f24f-430d-895a-a7d0037b334c.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740267835&Signature=0Gn0MDBEBuUAnR%2FWa1ImTRAABs4%3D,0.235862,63656
967517789,RJ-MP1am-2024-07-09_17-40.WAV,2024 Rancho Jamul - Main Pond 1,2024,7,9,17,40,sp22,Simple Call,54.1173,55.3227,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/07/10/79td9es1wpuj/c6e19380-6bf5-4079-91cc-28cfada7725e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740267835&Signature=nBOyDxXIxFy2La9VivNvQuHCEAU%3D,0.243312,63656
967517790,RJ-MP1am-2024-07-10_11-00.WAV,2024 Rancho Jamul - Main Pond 1,2024,7,10,11,0,sp22,Simple Call,56.2933,57.4987,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/07/10/79td9es1wpuj/8ff5b734-f49f-438b-9dbd-f1b8975b6268.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740267835&Signature=TSOqbK%2BEiWGdClQT0u7RgSCjbmA%3D,0.20323,63656
967517791,RJ-MP1am-2024-07-09_08-20.WAV,2024 Rancho Jamul - Main Pond 1,2024,7,9,8,20,sp22,Simple Call,30.1013,31.3067,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/07/09/79td9es1wpuj/da921d24-0956-4a07-9137-e0ccdec2b47e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740267835&Signature=5OSFtrbxhu%2FGqhJNlgzvwvpi%2FY0%3D,0.250085,63656
967517792,RJ-MP1am-2024-07-10_17-00.WAV,2024 Rancho Jamul - Main Pond 1,2024,7,10,17,0,sp22,Simple Call,8.13333,9.33867,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/07/11/79td9es1wpuj/e364558d-d268-45e6-8d41-177e8b1011d5.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740267835&Signature=pGMujxNP26RLaTSHClTfx9MTG38%3D,0.227569,63656
967517793,RJ-MP1am-2024-07-10_20-20.WAV,2024 Rancho Jamul - Main Pond 1,2024,7,10,20,20,sp22,Simple Call,16.2987,17.504,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/07/11/79td9es1wpuj/3b8a14ce-2600-429e-8607-27489098c85f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740267835&Signature=vp8Nopbi5JciBT1vHx%2BulWfVoU8%3D,0.249065,63656
967517794,RJ-MP1am-2024-07-11_07-00.WAV,2024 Rancho Jamul - Main Pond 1,2024,7,11,7,0,sp22,Simple Call,57.2533,58.4587,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/07/11/79td9es1wpuj/9452a00c-620f-4ef5-9755-89339549a322.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740267835&Signature=sTikUsBTT9KJ0k73gWqu25ANHj4%3D,0.217529,63656
