NOTE,,,,,,,this is the first date of contiguous male chorus where later there is female chatter or young >4,inc start = hatch date minus 12,date hatchlings first heard >4,First date Fledglings >4,Last date Fledglings >4,,,,,
Site ID,Name_old,Name,Group,Outcome,Breeding Type,First Rec,P/S,I,B,F,D,A,Last Rec,Skip Site,,For single straight forward
2059,2017 Rush Ranch,2017 Rush Ranch,Solano County,Complex,Complex,3/2/2017,"3/19/2017
5/8/2017 (r)
6/2/2017 (m)","4/19/2017
5/19/20217 (r)
6/19/2017 (m)","5/1/2017 
5/31/2017 (r)
7/1/2017 (m)","ND
6/12/2017 (r)
7/11/2017 (m)","ND
6/22/2017 (r)
7/22/2017 (m)","5/3/2017
ND (r)
ND (m)",7/24/2017,,Both the (a) and the (r2) pulses were very small compared to the (r1). ,"For multiple, dates separated by a comma"
3150,2018 Iron Point,2018 Iron Point,Iron Point,Abandoned,Unknown,4/22/2018,pre,ND,ND,ND,ND,4/27/2018,5/19/2018,,,"For sub,-addition, (s) after date of sub"
3348,2018 Markham Ravine Main,2018 Markham Ravine,Markham Ravine,Successful,Unknown,6/26/2018,pre,6/19/2018,7/1/2018,7/13/2018,7/17/2018,ND,7/23/2018,,,For continuous - need to calculate 
3366,2018 Markham Ravine westside,2018 Markham Ravine - West,Markham Ravine,Successful,Unknown,6/26/2018,pre,pre,pre,pre,post,ND,7/13/2018,?,,
3281,2018 Red Wing Ranch,2018 Red Wing Ranch,Placer County,Abandoned,Unknown,5/4/2018,pre,5/5/2018,5/17/2018,ND,ND,5/22/2018,6/4/2018,,,
2719,2018 Rush Ranch,2018 Rush Ranch,Solano County,Successful,Simple,2/9/2018,5/4/2018,5/13/2018,5/25/2018,6/11/2018,6/23/2018,ND,6/26/2018,,,
3417,2018 SJWA-rose-1,2018 San Jacinto Wildlife Area - 1,San Jacinto Wildlife Area,n/a,No Colony,4/2/2018,ND,ND,ND,ND,ND,ND,4/10/2018,,,
3682,2018 SJWA-rose-2,2018 San Jacinto Wildlife Area - 2,San Jacinto Wildlife Area,Abandoned,Unknown,4/10/2018,pre,ND,ND,ND,ND,4/21/2018,4/27/2018,,,
5642,2019 Colusa NWR 27-1,2019 Colusa NWR T27.1,Colusa NWR,Successful,Simple,5/27/2019,pre,5/31/2019,6/12/2019,6/27/2019,7/21/2019,ND,8/12/2019,,,
4554,2019 Colusa NWR 27-1 LG,2019 Colusa NWR T27.1 - LG,Colusa NWR,,,1/1/1999,,,,,,,1/1/1999,Y,,
5639,2019 Colusa NWR 27-1 telemetry station AM,2019 Colusa NWR T27.1 telemetry station,Colusa NWR,,,1/1/1999,,,,,,,1/1/1999,Y,,
5643,2019 Colusa NWR 27-2,2019 Colusa NWR T27.2,Colusa NWR,Successful,Simple,5/21/2019,pre,5/16/2019,5/28/2019,6/14/2019,6/16/2019,ND,6/18/2019,,,
4455,2019 Creed Road,2019 Denverton Creek,Solano County,Complex,Multiple,3/17/2019,"3/19/2019
5/19/2019 (m)","4/28/2019
ND (m)","5/10/2019
ND (m)","5/23/2019
ND (m)","5/30/2019
ND (m)","ND
5/31/2019 (m)",7/7/2019,,,
4456,2019 Hay Landfill,2019 Hay Landfill,Solano County,Successful,Multiple,4/8/2019,"4/8/2019
5/19/2019 (m)","4/15/2019
5/27/2019 (m)","4/27/2019
6/9/2019 (m)","5/11/2019
6/22/2019 (m)","5/29/2019
7/2/2019 (m)",ND,7/7/2019,,,
4979,2019 Iron Point,2019 Iron Point,Iron Point,Successful,Complex,4/24/2019,pre,4/21/2019,5/3/2019,5/14/2019,post,ND,8/1/2019,,,
4457,2019 Iron Point LG,2019 Iron Point - LG,Iron Point,,,1/1/1999,,,,,,,1/1/1999,Y,,
5613,2019 Laguna Seca,2019 Laguna Seca,Monterey,,,1/1/1999,,,,,,,1/1/1999,Y,,
4251,2019 Laguna Seca LG,2019 Laguna Seca - LG,Monterey,Unknown,Unknown,2/11/2019,,,,,,,4/16/2019,Y,,
4639,2019 Leisure Town,2019 Leisure Town Road,Solano County,Successful,Multiple,3/17/2019,"3/29/2019
5/18/2019 (m)","ND
5/23/2019 (m)","ND
6/4/2019 (m)","5/17/2019
6/17/2019 (m)","5/20/2019
7/3/2019 (m)",ND,7/7/2019,,,
5637,2019 Markham Ravine,2019 Markham Ravine,Markham Ravine,Successful,Simple,5/10/2019,pre,5/16/2019,5/28/2019,6/16/2019,6/18/2019,ND,7/8/2019,,,
5640,2019 Markham Ravine 2,2019 Markham Ravine 2,Markham Ravine,Partially Abandoned,Simple,5/10/2019,pre,5/19/2019,5/31/2019,6/9/2019,6/20/2019,5/24/2019 (p),7/8/2019,,,
4491,2019 Markham Ravine 2 LG,2019 Markham Ravine 2 - LG,Markham Ravine,,,1/1/1999,,,,,,,1/1/1999,Y,,
4492,2019 Markham Ravine LG,2019 MArkham Ravine - LG,Markham Ravine,,,1/1/1999,,,,,,,1/1/1999,Y,,
5609,2019 Ohlone - Santa Lucia Preserve - AM,2019 Ohlone,Monterey,,,1/1/1999,,,,,,,1/1/1999,Y,,
4247,2019 Ohlone - Santa Lucia Preserve LG,2019 Ohlone - LG,Monterey,Unknown,Unknown,1/1/1999,,,,,,,1/1/1999,Y,,
28863,2019 Ohlone - Santa Lucia Preserve try 2,2019 Ohlone - try 2,Monterey,,,1/1/1999,,,,,,,1/1/1999,Y,,
5638,2019 Rush Ranch,2019 Rush Ranch,Solano County,Abandoned,Unknown,2/6/2019,5/1/2019,ND,ND,ND,ND,5/22/2019,7/6/2019,,,
4188,2019 Rush Ranch LG,2019 Rush Ranch - LG,Solano County,,,1/1/1999,,,,,,,1/1/1999,Y,,
7657,2020 Conaway Ranch,2020 Conaway Ranch,Bob's Sites,Successful,Simple,5/18/2020,pre,5/25/2020,6/6/2020,6/18/2020,7/5/2020,ND,7/10/2020,,,
2908,2020 Creed Road,2020 Denverton Creek,Solano County,n/a,No Colony,2/12/2020,ND,ND,ND,ND,ND,ND,7/11/2020,,,
57589,2020 Fort Ord,2020 Fort Ord,Monterey,Successful,Simple,4/8/2020,pre,4/12/2020,4/24/2020,5/9/2020,5/28/2020,ND,7/15/2020,,,
16223,2020 Fort Ord - Old,2020 Fort Ord - Old,Monterey,,,ND,,,,,,,ND,Y,,
6199,2020 Hay Landfill,2020 Hay Landfill,Solano County,Successful,Complex,2/12/2020,"4/3/2020
5/13/2020 (m)","4/15/2020
5/22/2020 (m)","4/27/2020
6/3/2020 (m)","5/11/2020
6/21/2020 (m)","6/12/2020
7/3/2020 (m)",ND,7/10/2020,,,
7650,2020 Iron Point,2020 Iron Point,Iron Point,n/a,No Colony,4/19/2020,ND,ND,ND,ND,ND,ND,8/5/2020,,,
6404,2020 Markham Ravine,2020 Markham Ravine,Markham Ravine,Partially Abandoned,Simple,4/28/2020,4/29/2020,5/7/2020,5/19/2020,5/30/2020,6/11/2020,5/20/2020 (p),6/24/2020,,,
18572,2020 Ohlone - Santa Lucia Preserve,2020 Ohlone,Monterey,Successful,Simple,3/25/2020,4/27/2020,4/22/2020,5/4/2020,5/12/2020,6/14/2020,ND,7/18/2020,,,
2915,2020 Rush Ranch,2020 Rush Ranch,Solano County,n/a,No Colony,2/12/2020,ND,ND,ND,ND,ND,ND,7/10/2020,,,
24130,2021 Colusa NWR 27-1,2021 Colusa NWR T27.1,Colusa NWR,Successful,Simple,4/21/2021,5/11/2021,5/23/2021,6/4/2021,ND,6/18/2021,ND,6/26/2021,,,
24221,2021 Colusa NWR 27-2,2021 Colusa NWR T27.2,Colusa NWR,Unknown,Unknown,4/21/2021,5/18/2021,6/3/2021,6/15/2021,post,post,ND,6/21/2021,,,
