site_id,site,recording_id,year,month,day,validated
34045,2022 Rancho Jamul,85023938,2022,4,15,present
34045,2022 Rancho Jamul,85024126,2022,4,15,present
34045,2022 Rancho Jamul,85024108,2022,4,16,present
34045,2022 Rancho Jamul,85024210,2022,4,17,present
34045,2022 Rancho Jamul,85024414,2022,4,17,present
34045,2022 Rancho Jamul,85024378,2022,4,18,present
34045,2022 Rancho Jamul,85024347,2022,4,19,present
34045,2022 Rancho Jamul,85024483,2022,4,19,present
34045,2022 Rancho Jamul,85024489,2022,4,19,present
34045,2022 Rancho Jamul,85024631,2022,4,19,present
34045,2022 Rancho Jamul,85024447,2022,4,20,present
34045,2022 Rancho Jamul,85024618,2022,4,20,present
34045,2022 Rancho Jamul,85024633,2022,4,20,present
34045,2022 Rancho Jamul,85024638,2022,4,20,present
34045,2022 Rancho Jamul,85024657,2022,4,20,present
34045,2022 Rancho Jamul,85024673,2022,4,20,present
34045,2022 Rancho Jamul,85024701,2022,4,20,present
34045,2022 Rancho Jamul,85024513,2022,4,21,present
34045,2022 Rancho Jamul,85024516,2022,4,21,present
34045,2022 Rancho Jamul,85024517,2022,4,21,present
34045,2022 Rancho Jamul,85024524,2022,4,21,present
34045,2022 Rancho Jamul,85024532,2022,4,21,present
34045,2022 Rancho Jamul,85024533,2022,4,21,present
34045,2022 Rancho Jamul,85024833,2022,4,21,present
34045,2022 Rancho Jamul,85024880,2022,4,22,present
34045,2022 Rancho Jamul,85024998,2022,4,23,present
34045,2022 Rancho Jamul,85025015,2022,4,23,present
34045,2022 Rancho Jamul,85024968,2022,4,24,present
34045,2022 Rancho Jamul,85025147,2022,4,24,present
34045,2022 Rancho Jamul,85025182,2022,4,25,present
34045,2022 Rancho Jamul,85025407,2022,4,25,present
34045,2022 Rancho Jamul,85025480,2022,4,26,present
34045,2022 Rancho Jamul,85025465,2022,4,27,present
34045,2022 Rancho Jamul,85025481,2022,4,27,present
34045,2022 Rancho Jamul,85025545,2022,4,27,present
34045,2022 Rancho Jamul,85025579,2022,4,27,present
34045,2022 Rancho Jamul,85025625,2022,4,27,present
34045,2022 Rancho Jamul,85025627,2022,4,27,present
34045,2022 Rancho Jamul,85025637,2022,4,27,present
34045,2022 Rancho Jamul,85025659,2022,4,27,present
