site_id,site,recording_id,year,month,day,validated
48463,2023 Hale Road,147385485,2023,5,20,present
48463,2023 Hale Road,147385507,2023,5,20,present
48463,2023 Hale Road,147385588,2023,5,20,present
48463,2023 Hale Road,147385591,2023,5,20,present
48463,2023 Hale Road,147385624,2023,5,20,present
48463,2023 Hale Road,147385631,2023,5,20,present
48463,2023 Hale Road,147385633,2023,5,20,present
48463,2023 Hale Road,147385640,2023,5,20,present
48463,2023 Hale Road,147385642,2023,5,20,present
48463,2023 Hale Road,147385645,2023,5,20,present
48463,2023 Hale Road,147385647,2023,5,20,present
48463,2023 Hale Road,147385655,2023,5,20,present
48463,2023 Hale Road,147385662,2023,5,20,present
48463,2023 Hale Road,147385678,2023,5,20,present
48463,2023 Hale Road,147385741,2023,5,20,present
48463,2023 Hale Road,147385774,2023,5,20,present
48463,2023 Hale Road,147385777,2023,5,20,present
48463,2023 Hale Road,147385785,2023,5,20,present
48463,2023 Hale Road,147385793,2023,5,20,present
48463,2023 Hale Road,147385800,2023,5,20,present
48463,2023 Hale Road,147385807,2023,5,20,present
48463,2023 Hale Road,147385809,2023,5,20,present
48463,2023 Hale Road,147385814,2023,5,20,present
48463,2023 Hale Road,147385826,2023,5,20,present
48463,2023 Hale Road,147385841,2023,5,20,present
48463,2023 Hale Road,147385345,2023,5,21,present
48463,2023 Hale Road,147385348,2023,5,21,present
48463,2023 Hale Road,147385356,2023,5,21,present
48463,2023 Hale Road,147385365,2023,5,21,present
48463,2023 Hale Road,147385366,2023,5,21,present
48463,2023 Hale Road,147385383,2023,5,21,present
48463,2023 Hale Road,147385387,2023,5,21,present
48463,2023 Hale Road,147385411,2023,5,21,present
48463,2023 Hale Road,147385414,2023,5,21,present
48463,2023 Hale Road,147385442,2023,5,21,present
48463,2023 Hale Road,147385444,2023,5,21,present
48463,2023 Hale Road,147385445,2023,5,21,present
48463,2023 Hale Road,147385454,2023,5,21,present
48463,2023 Hale Road,147385477,2023,5,21,present
48463,2023 Hale Road,147385478,2023,5,21,present
48463,2023 Hale Road,147385484,2023,5,21,present
48463,2023 Hale Road,147385490,2023,5,21,present
48463,2023 Hale Road,147385492,2023,5,21,present
48463,2023 Hale Road,147385497,2023,5,21,present
48463,2023 Hale Road,147385498,2023,5,21,present
48463,2023 Hale Road,147385516,2023,5,21,present
48463,2023 Hale Road,147385531,2023,5,21,present
48463,2023 Hale Road,147385543,2023,5,21,present
48463,2023 Hale Road,147385556,2023,5,21,present
48463,2023 Hale Road,147385558,2023,5,21,present
48463,2023 Hale Road,147385560,2023,5,21,present
48463,2023 Hale Road,147385570,2023,5,21,present
48463,2023 Hale Road,147385576,2023,5,21,present
48463,2023 Hale Road,147385598,2023,5,21,present
48463,2023 Hale Road,147385599,2023,5,21,present
48463,2023 Hale Road,147385609,2023,5,21,present
48463,2023 Hale Road,147385619,2023,5,21,present
48463,2023 Hale Road,147385625,2023,5,21,present
48463,2023 Hale Road,147385649,2023,5,21,present
48463,2023 Hale Road,147385656,2023,5,21,present
48463,2023 Hale Road,147385669,2023,5,21,present
48463,2023 Hale Road,147385185,2023,5,22,present
48463,2023 Hale Road,147385193,2023,5,22,present
48463,2023 Hale Road,147385195,2023,5,22,present
48463,2023 Hale Road,147385207,2023,5,22,present
48463,2023 Hale Road,147385218,2023,5,22,present
48463,2023 Hale Road,147385229,2023,5,22,present
48463,2023 Hale Road,147385230,2023,5,22,present
48463,2023 Hale Road,147385232,2023,5,22,present
48463,2023 Hale Road,147385238,2023,5,22,present
48463,2023 Hale Road,147385244,2023,5,22,present
48463,2023 Hale Road,147385254,2023,5,22,present
48463,2023 Hale Road,147385255,2023,5,22,present
48463,2023 Hale Road,147385258,2023,5,22,present
48463,2023 Hale Road,147385260,2023,5,22,present
48463,2023 Hale Road,147385262,2023,5,22,present
48463,2023 Hale Road,147385263,2023,5,22,present
48463,2023 Hale Road,147385280,2023,5,22,present
48463,2023 Hale Road,147385281,2023,5,22,present
48463,2023 Hale Road,147385283,2023,5,22,present
48463,2023 Hale Road,147385284,2023,5,22,present
48463,2023 Hale Road,147385286,2023,5,22,present
48463,2023 Hale Road,147385289,2023,5,22,present
48463,2023 Hale Road,147385292,2023,5,22,present
