id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
1072087755,Rush_Ranch-2017-03-10_02-20.flac,2017 Rush Ranch,2017,3,10,2,20,sp31,Simple Call,12.0105,12.8929,3359,5771,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2017/03/09/9olvcgce4dzc/1636496d-049a-fc47-c7c4-1e17f6ca3b70.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764540004&Signature=xnTQFIw33sJaUvi1AUddkSdyeDw%3D,0.260356,2059
1072087756,Rush_Ranch-2017-03-10_02-40.flac,2017 Rush Ranch,2017,3,10,2,40,sp31,Simple Call,53.1156,53.998,3359,5771,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2017/03/09/9olvcgce4dzc/51c613a1-edf5-5f6b-406b-2b9c769a59b1.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764540004&Signature=H1PPhvSwaTc3dtwLjjC7VT3xfEc%3D,0.21437,2059
1072087757,Rush_Ranch-2017-03-10_03-40.flac,2017 Rush Ranch,2017,3,10,3,40,sp31,Simple Call,45.1744,46.0568,3359,5771,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2017/03/09/9olvcgce4dzc/09001d6e-6449-d954-49fc-e98d7a782d1a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764540004&Signature=flfHR15bjEeS%2BguX9W9C41mMnT8%3D,0.224849,2059
1072087758,Rush_Ranch-2017-03-10_04-00.flac,2017 Rush Ranch,2017,3,10,4,0,sp31,Simple Call,56.8192,57.7016,3359,5771,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2017/03/09/9olvcgce4dzc/74deb634-77ff-af75-9d13-bb709ee340ed.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764540004&Signature=rd8wZn4Qda90vDl6cwjj0lPkmnI%3D,0.204786,2059
1072087759,Rush_Ranch-2017-07-22_17-20.flac,2017 Rush Ranch,2017,7,22,17,20,sp31,Simple Call,12.2021,13.0844,3359,5771,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2017/07/22/9olvcgce4dzc/b7ae32eb-dc81-79fc-be5d-5c7c515e2873.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764540004&Signature=alHgtt6YJFVHGOytghkASXc2aoU%3D,0.210419,2059
1072087760,RushRanch-2017-07-15_09-40.flac,2017 Rush Ranch,2017,7,15,9,40,sp31,Simple Call,51.5483,52.4307,3359,5771,22050,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2017/07/15/9olvcgce4dzc/27ca99a6-a64d-cc5e-a9da-5a6ab297284c.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764540004&Signature=cZXK4Nfrkio0gY3VTQcAKDxHvm0%3D,0.285926,2059
1072087761,RushRanch-2017-07-16_09-20.flac,2017 Rush Ranch,2017,7,16,9,20,sp31,Simple Call,51.7457,52.628,3359,5771,22050,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2017/07/16/9olvcgce4dzc/dfaf2cee-5d82-04f0-a55b-27afa58c8c2c.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764540004&Signature=R9cN73wlCqXBlylwNX%2Ba53zcXu4%3D,0.202939,2059
1072087762,RushRanch-2017-07-16_09-40.flac,2017 Rush Ranch,2017,7,16,9,40,sp31,Simple Call,4.44662,5.32898,3359,5771,22050,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2017/07/16/9olvcgce4dzc/714541d6-2ca4-3b39-0bea-f8b7f80bba96.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764540004&Signature=IPiSulYJ2U6uWoJxnn%2Fla17Nx10%3D,0.251089,2059
1072087763,RushRanch-2017-07-16_11-40.flac,2017 Rush Ranch,2017,7,16,11,40,sp31,Simple Call,38.7773,39.6597,3359,5771,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2017/07/16/9olvcgce4dzc/3a92a5c6-7bf6-bc8d-c7e7-28e503eef1e3.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764540004&Signature=4iQTk4wL5TH3x0ty4RXHol4ble0%3D,0.383086,2059
1072087764,RushRanch-2017-07-16_14-40.flac,2017 Rush Ranch,2017,7,16,14,40,sp31,Simple Call,20.0678,20.9502,3359,5771,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2017/07/16/9olvcgce4dzc/f475f436-62fb-6a17-72e5-de6bc3002d15.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764540004&Signature=21QbeKhKwF%2BD7pDjcsf9PsKtQ5w%3D,0.219851,2059
