id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
1077656594,PC02-2018-07-23_17-40.flac,2018 Markham Ravine Main,2018,7,23,17,40,sp32,Simple Call,5.99075,6.83247,2842,6202,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/07/23/9ybmw14am4sr/41a7a244-e44e-b11a-e6ab-4ec14155cdda.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765776320&Signature=fVYqOctAm7hstb9RR4keRK%2BUpL8%3D,0.328148,3348
1077656766,PC02-2018-07-02_05-00.flac,2018 Markham Ravine Main,2018,7,2,5,0,sp32,Simple Call,16.9041,17.7458,2842,6202,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/07/01/9ybmw14am4sr/78aa753f-1e7f-a473-d0f4-0e230bb4b81d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765776320&Signature=SOOAmc%2F7hw7Ac2BE6CROOYQ5y0E%3D,0.222289,3348
1077656767,PC02-2018-07-02_06-00.flac,2018 Markham Ravine Main,2018,7,2,6,0,sp32,Simple Call,38.4058,39.2475,2842,6202,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/07/01/9ybmw14am4sr/cdcae868-7833-75ac-53fd-904be127a1a9.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765776320&Signature=ZKkgbEir6pBQMrqRKC6JC696doE%3D,0.232444,3348
1077656768,PC02-2018-07-02_05-40.flac,2018 Markham Ravine Main,2018,7,2,5,40,sp32,Simple Call,0.888163,1.72989,2842,6202,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/07/01/9ybmw14am4sr/7bec7641-a70c-1143-fa00-e59147c3f49a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765776320&Signature=GapVmggkWFYybv3N%2BcMyUDR4ZGE%3D,0.20091,3348
1077656769,PC02-2018-07-02_06-40.flac,2018 Markham Ravine Main,2018,7,2,6,40,sp32,Simple Call,59.3734,60.2151,2842,6202,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/07/01/9ybmw14am4sr/e603854c-f858-4e48-2579-0fed542e1522.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765776320&Signature=%2B0cmJhN9GFKuN%2B9v10iJUWJABhE%3D,0.266272,3348
1077656770,PC02-2018-07-02_07-00.flac,2018 Markham Ravine Main,2018,7,2,7,0,sp32,Simple Call,16.9215,17.7633,2842,6202,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/07/02/9ybmw14am4sr/80546e47-1628-5a3f-c5b7-2ba0d682724f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765776320&Signature=beou7%2BXZiX3vhl4aeKsvDAcbNG8%3D,0.208535,3348
1077656771,PC02-2018-07-02_10-20.flac,2018 Markham Ravine Main,2018,7,2,10,20,sp32,Simple Call,33.0362,33.8779,2842,6202,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/07/02/9ybmw14am4sr/ac4e5e61-ef4d-8c86-758c-42220414e09d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765776320&Signature=%2FzfQ094f4banXI7ubEWZe4GfHf4%3D,0.246275,3348
1077656772,PC02-2018-07-02_12-00.flac,2018 Markham Ravine Main,2018,7,2,12,0,sp32,Simple Call,20.7064,21.5481,2842,6202,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/07/02/9ybmw14am4sr/50c4be96-8c5b-39fc-37e8-22b420266a42.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765776320&Signature=g90aZgeSDsTynWFRvF3EbuwwXwg%3D,0.235921,3348
1077656773,PC02-2018-07-02_13-20.flac,2018 Markham Ravine Main,2018,7,2,13,20,sp32,Simple Call,25.3272,26.1689,2842,6202,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/07/02/9ybmw14am4sr/6188bf61-aa03-a2d8-2bdc-60cfefcf020e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765776320&Signature=%2FJ6VDuQbifFuO3YkXIaDT%2BrJkKE%3D,0.230651,3348
1077656774,PC02-2018-07-02_10-00.flac,2018 Markham Ravine Main,2018,7,2,10,0,sp32,Simple Call,50.933,51.7747,2842,6202,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/07/02/9ybmw14am4sr/8c5732d2-a05f-cbc5-e518-41af85fdd152.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765776320&Signature=Gz%2Fae7qlza0FFqTGaNxAUqr%2F%2BSs%3D,0.326235,3348
