id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
1068441036,PC-2018-05-28_05-00.flac,2018 Red Wing Ranch,2018,5,28,5,0,sp30,Simple Call,35.6252,36.5482,2584,4651,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/05/27/7un0pa6d5cpa/abefa62e-0d02-65a7-1144-aa5cbb440b9f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176764&Signature=S%2BVCuA96tQQ%2BRgKhIDXt%2BdCeJaY%3D,0.203756,3281
1068441037,PC-2018-05-28_07-00.flac,2018 Red Wing Ranch,2018,5,28,7,0,sp30,Simple Call,12.7536,13.6766,2584,4651,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/05/28/7un0pa6d5cpa/e2def147-6361-6d39-352c-6c21ab4c688a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176764&Signature=k%2FUX9CW%2BbTpjn1eUEsZHqXfEZ%2BA%3D,0.235744,3281
1068441038,PC-2018-05-25_13-00.flac,2018 Red Wing Ranch,2018,5,25,13,0,sp30,Simple Call,42.7654,43.6883,2584,4651,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/05/25/7un0pa6d5cpa/fe7f1d4d-503c-e1d7-5873-4189664be23b.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176764&Signature=20MCz0e3Kd5i3gdC1dW%2Fy5pFv3Y%3D,0.220075,3281
1068441039,PC-2018-05-25_15-00.flac,2018 Red Wing Ranch,2018,5,25,15,0,sp30,Simple Call,2.90249,3.82549,2584,4651,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/05/25/7un0pa6d5cpa/cab03abd-3610-7fee-0b15-fa1a904766e5.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176764&Signature=l92ApibDRkG%2BRuC%2BEgVey1EVkbs%3D,0.227331,3281
1068441040,PC-2018-05-24_08-00.flac,2018 Red Wing Ranch,2018,5,24,8,0,sp30,Simple Call,33.3322,34.2552,2584,4651,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/05/24/7un0pa6d5cpa/b281420a-3687-28eb-bf44-c13a524cad04.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176764&Signature=g4iE9g5h5pKY1CnIgqxjVVDwrNw%3D,0.220587,3281
1068441041,PC-2018-05-23_09-00.flac,2018 Red Wing Ranch,2018,5,23,9,0,sp30,Simple Call,22.8078,23.7308,2584,4651,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/05/23/7un0pa6d5cpa/92c5f931-fbf0-9eeb-1f7f-eb167582ebfc.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176764&Signature=zZ9hgoFg7udaO%2BaYGqoSiBoKZKs%3D,0.227751,3281
1068441042,PC-2018-05-22_08-00.flac,2018 Red Wing Ranch,2018,5,22,8,0,sp30,Simple Call,41.4186,42.3416,2584,4651,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/05/22/7un0pa6d5cpa/f81e30d3-0105-bbed-d6ed-b7d2ac560a46.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176764&Signature=i%2BgoZ3q1vU6nhga8aGT7gHXBov8%3D,0.237332,3281
1068441043,PC-2018-05-22_09-00.flac,2018 Red Wing Ranch,2018,5,22,9,0,sp30,Simple Call,23.3999,24.3229,2584,4651,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/05/22/7un0pa6d5cpa/4e6acf83-9f65-e0e5-08a9-a3742652d908.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176764&Signature=%2BXrsSDD%2BI5eGC4QIu1nEM2sO%2ByU%3D,0.235819,3281
1068441044,PC-2018-05-21_18-00.flac,2018 Red Wing Ranch,2018,5,21,18,0,sp30,Simple Call,11.6796,12.6026,2584,4651,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/05/21/7un0pa6d5cpa/844c9d4b-00ab-866d-16ac-bdfddaa7e62f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176764&Signature=%2Fv1YSihGKZ2t8Lc4aY%2FWWiGXrUg%3D,0.202181,3281
1068441045,PC-2018-05-20_08-00.flac,2018 Red Wing Ranch,2018,5,20,8,0,sp30,Simple Call,24.2881,25.2111,2584,4651,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/05/20/7un0pa6d5cpa/91dbec2c-ee1d-89ad-ffca-fa5ba3361c5c.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176764&Signature=HD7UNKWbbkyrUdk9Xs27GYHolpQ%3D,0.270105,3281
1068441046,PC-2018-05-20_07-00.flac,2018 Red Wing Ranch,2018,5,20,7,0,sp30,Simple Call,39.1256,40.0486,2584,4651,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/05/20/7un0pa6d5cpa/0f1cd132-e335-47fc-71b2-fc7738206de2.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176764&Signature=PrFEHLlQIRWmmdX%2FcI0dLYvR8ao%3D,0.216651,3281
1068441047,PC-2018-05-19_16-00.flac,2018 Red Wing Ranch,2018,5,19,16,0,sp30,Simple Call,30.8071,31.7301,2584,4651,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/05/19/7un0pa6d5cpa/8f42fbfe-2527-cd4e-3198-eda183fa807e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176764&Signature=QQXM24E0fl43uJ9j57YT%2FRJ56pI%3D,0.218115,3281
1068441048,PC-2018-05-18_13-00.flac,2018 Red Wing Ranch,2018,5,18,13,0,sp30,Simple Call,30.7664,31.6894,2584,4651,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/05/18/7un0pa6d5cpa/6d357c72-79fb-435d-1805-9b11bd91213a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176764&Signature=5YVKBcblILccNOX%2F8xjf9ZXK3G0%3D,0.206266,3281
1068441049,PC-2018-05-17_15-00.flac,2018 Red Wing Ranch,2018,5,17,15,0,sp30,Simple Call,30.064,30.987,2584,4651,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/05/17/7un0pa6d5cpa/95ddcf1e-ae3e-09cd-6afb-3c6b2bd5d4fc.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176764&Signature=7EyPWRpgID6t5q%2F%2FcItLcIoSIyk%3D,0.26842,3281
1068441050,PC-2018-05-17_09-00.flac,2018 Red Wing Ranch,2018,5,17,9,0,sp30,Simple Call,25.2169,26.1399,2584,4651,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/05/17/7un0pa6d5cpa/9f44c6ad-1ad2-237e-c1f1-013fda88cc7d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176764&Signature=IgNZMYe9W%2BYgY%2B7tN%2B7aPGRuFPo%3D,0.281848,3281
