id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
1081596506,sjwa1-2018-04-26_14-40.wav,2018 SJWA WSS,2018,4,26,15,40,sp11,Simple Call,17.4498,18.1986,2239,13609,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/26/x81b8reelef6/56b49571-5ebf-48ef-9d9d-c7865c2e78c0.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766178292&Signature=jQ%2Bam1lXlOgt%2BXxfB7BV3KajKeE%3D,0.236917,82621
1081596507,sjwa1-2018-04-26_16-00.wav,2018 SJWA WSS,2018,4,26,17,0,sp11,Simple Call,52.2101,52.9589,2239,13609,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/27/x81b8reelef6/780affa5-e481-4fb5-b5fd-1e3735b45c47.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766178292&Signature=qnLIu1zdPb1tvfZbxM14KQX42jc%3D,0.267779,82621
1081596508,sjwa1-2018-04-27_05-40.wav,2018 SJWA WSS,2018,4,27,6,40,sp11,Simple Call,45.1164,45.8652,2239,13609,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/27/x81b8reelef6/6b6a54c7-18ea-4db4-b39c-4059706aec45.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766178292&Signature=8TA3mHscBASdbRetQk7sr%2Bcz6Z4%3D,0.241407,82621
1081596509,sjwa1-2018-04-27_13-00.wav,2018 SJWA WSS,2018,4,27,14,0,sp11,Simple Call,43.52,44.2688,2239,13609,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/27/x81b8reelef6/cedb0869-26e2-450f-a1ff-ec389b2424eb.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766178292&Signature=%2BtYBydA1pwGXvuQ9nnMQFPmg3rU%3D,0.278587,82621
1081596510,sjwa1-2018-04-27_10-40.wav,2018 SJWA WSS,2018,4,27,11,40,sp11,Simple Call,25.6929,26.4417,2239,13609,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/27/x81b8reelef6/8a83b35e-c520-4599-a308-48bcea457f6d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766178292&Signature=3XuvsNDItaTmXX4i4OQrNX9VIfk%3D,0.288275,82621
1081596511,sjwa1-2018-04-27_13-40.wav,2018 SJWA WSS,2018,4,27,14,40,sp11,Simple Call,5.45088,6.19973,2239,13609,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/27/x81b8reelef6/098b80b5-ed9b-4b5b-a32c-3d15ad0fe483.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766178292&Signature=2jqeAD4HBLrxXoZQQ%2BzwFtaVe5U%3D,0.236356,82621
1081596512,sjwa1-2018-04-27_10-00.wav,2018 SJWA WSS,2018,4,27,11,0,sp11,Simple Call,6.48998,7.23882,2239,13609,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/27/x81b8reelef6/864d2bfd-a224-433f-9f27-ba9c2b8c07da.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766178292&Signature=eUekWbB%2Fx4onzK3ehDpoYbxzqpY%3D,0.230109,82621
1081596513,sjwa1-2018-04-27_09-20.wav,2018 SJWA WSS,2018,4,27,10,20,sp11,Simple Call,53.8471,54.5959,2239,13609,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/27/x81b8reelef6/d16cf001-fbe8-4a6c-b169-f709b9b40311.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766178292&Signature=UPSqWH%2FVHx5WBGrPRqCpswnygXg%3D,0.299576,82621
1081596514,sjwa1-2018-04-27_11-00.wav,2018 SJWA WSS,2018,4,27,12,0,sp11,Simple Call,23.5683,24.3171,2239,13609,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/27/x81b8reelef6/8a3bcb3c-a175-47c9-a45c-43faf91ffd43.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766178292&Signature=9wdu2uwjrPPBFlrEJ%2BU2sXaEkpA%3D,0.227793,82621
1081596515,sjwa1-2018-04-27_17-00.wav,2018 SJWA WSS,2018,4,27,18,0,sp11,Simple Call,36.0374,36.7862,2239,13609,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/28/x81b8reelef6/ff0adbe3-3049-490c-91f6-74cae7725dc6.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766178292&Signature=c6GG9ycHKr4%2F5DNtoddzb5hpmGE%3D,0.21853,82621
1081596516,sjwa1-2018-04-27_14-20.wav,2018 SJWA WSS,2018,4,27,15,20,sp11,Simple Call,24.8512,25.6,2239,13609,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/27/x81b8reelef6/0bb6c3e7-e29d-4d8c-946e-393631804f21.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766178292&Signature=9UKr%2BoRH4Yokf26%2FzRFXHME%2BO7U%3D,0.350547,82621
1081596517,sjwa1-2018-04-27_15-20.wav,2018 SJWA WSS,2018,4,27,16,20,sp11,Simple Call,34.7312,35.4801,2239,13609,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/27/x81b8reelef6/1f663801-c5fa-4a73-8b75-1c1025f2bce8.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766178292&Signature=69UoGqFSuu%2FBWcwYXCTcSoI9wMo%3D,0.204651,82621
1081596518,sjwa1-2018-04-27_16-20.wav,2018 SJWA WSS,2018,4,27,17,20,sp11,Simple Call,28.8102,29.559,2239,13609,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/28/x81b8reelef6/b9de3edd-4b7e-45d6-974c-c3f1490795f6.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766178292&Signature=xVlnxXqRjzLhqDW3MtTVnYgYlho%3D,0.20148,82621
1081596519,sjwa1-2018-04-27_17-20.wav,2018 SJWA WSS,2018,4,27,18,20,sp11,Simple Call,14.9885,15.7373,2239,13609,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/28/x81b8reelef6/6b7f926d-c3b3-4f18-b99a-91498504dbee.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766178292&Signature=Hn2WGtxBDjGmlwbAsx9VzxYUNBE%3D,0.213641,82621
1081596520,sjwa1-2018-04-28_02-00.wav,2018 SJWA WSS,2018,4,28,3,0,sp11,Simple Call,50.2248,50.9736,2239,13609,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/28/x81b8reelef6/29919dc4-b6d4-4bc2-84be-5c77ec6860a0.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766178292&Signature=6qP6NKkKZmkR0vR3HgVy%2BcAjg%2Bs%3D,0.200987,82621
1081596521,sjwa1-2018-04-28_07-00.wav,2018 SJWA WSS,2018,4,28,8,0,sp11,Simple Call,13.543,14.2919,2239,13609,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/28/x81b8reelef6/9d91a6bf-3749-449e-935c-9d0d71ef6a6a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766178292&Signature=mwOsKBJ7zS4SizlTThZQS3RIA78%3D,0.209543,82621
1081596522,sjwa1-2018-04-28_07-40.wav,2018 SJWA WSS,2018,4,28,8,40,sp11,Simple Call,36.7282,37.477,2239,13609,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/28/x81b8reelef6/172daef8-298e-4a18-a100-db1c637313f4.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766178292&Signature=U5yLyrEX862Vvuhk5sn8jxvoxos%3D,0.258727,82621
1081596523,sjwa1-2018-04-28_09-40.wav,2018 SJWA WSS,2018,4,28,10,40,sp11,Simple Call,47.6357,48.3846,2239,13609,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/28/x81b8reelef6/66c94387-fdfa-4351-b2ec-ff7578e420c0.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766178292&Signature=UcIVqYLZqFMJktIqpMfYkCfREO0%3D,0.212978,82621
1081596524,sjwa1-2018-04-28_06-00.wav,2018 SJWA WSS,2018,4,28,7,0,sp11,Simple Call,44.0715,44.8203,2239,13609,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/28/x81b8reelef6/1ccb7735-ad14-47d3-86bc-6b84ffafd85a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766178292&Signature=0bzGUlNbDt2vqC9WY0iF1mdOjFU%3D,0.212019,82621
1081596525,sjwa1-2018-04-28_17-20.wav,2018 SJWA WSS,2018,4,28,18,20,sp11,Simple Call,8.89324,9.64209,2239,13609,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/29/x81b8reelef6/b87a7c6b-0aea-4b2d-8d97-4616258682ec.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766178292&Signature=MBN9nEus8oTWjufIp5y%2FQ9OYva4%3D,0.255277,82621
