id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
997735710,S4A06592_20180410_144400.flac,2018 SJWA-rose-1,2018,4,10,14,44,Agelaius tricolor,Simple Call 2,32.6933,33.0987,375,12000,12000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/10/w4l2s0ir366n/af6b22f0-a0a3-bbbd-6081-ad7e4c7f0d9b.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766121767&Signature=tPaKz%2B%2BnMrHMyAu1ar9w1wjaGwg%3D,0.531387,3417
997735711,S4A06592_20180402_145900.flac,2018 SJWA-rose-1,2018,4,2,14,59,Agelaius tricolor,Simple Call 2,36.1493,36.5547,375,12000,12000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/02/w4l2s0ir366n/b5d42416-248a-a08a-1f7a-8f2bf99e1a78.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766121767&Signature=xesAyA0xSdytFgTle0VeLSslYfo%3D,0.485601,3417
997735712,S4A06592_20180402_165900.flac,2018 SJWA-rose-1,2018,4,2,16,59,Agelaius tricolor,Simple Call 2,18.976,19.3813,375,12000,12000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/02/w4l2s0ir366n/68b287b4-0683-9150-f438-784242ba044f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766121767&Signature=7AJB4eTxx5kD1FMvTK9rngSdRjQ%3D,0.448807,3417
997735713,S4A06592_20180402_185900.flac,2018 SJWA-rose-1,2018,4,2,18,59,Agelaius tricolor,Simple Call 2,50.5813,50.9867,375,12000,12000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/02/w4l2s0ir366n/e305dda1-1daf-5ef8-5690-f9616a461f80.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766121767&Signature=RofwzjSMbmaTA20bHcYVwRrM7qQ%3D,0.443651,3417
997735714,S4A06592_20180402_225900.flac,2018 SJWA-rose-1,2018,4,2,22,59,Agelaius tricolor,Simple Call 2,50.8907,51.296,375,12000,12000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/02/w4l2s0ir366n/1d84f953-d064-835c-4a63-0274c64f2092.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766121767&Signature=L0w5JIDYtq3RWaosbpdqyTtTn2c%3D,0.440567,3417
997735715,S4A06592_20180402_163340.p1.flac,2018 SJWA-rose-1,2018,4,2,16,33,Agelaius tricolor,Simple Call 2,51.8507,52.256,375,12000,12000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/02/w4l2s0ir366n/2e45650b-954f-59b6-aaad-c7c5e97bf94e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766121767&Signature=CpX08ihA7Fi9ZqsHsKQMlWYmyo0%3D,0.588629,3417
997735716,S4A06592_20180402_205900.flac,2018 SJWA-rose-1,2018,4,2,20,59,Agelaius tricolor,Simple Call 2,23.3493,23.7547,375,12000,12000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/02/w4l2s0ir366n/b7cfd6c4-0253-007c-4234-3e640cbcbf0b.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766121767&Signature=e%2BzPa%2FpapTPBSYaNvuBgAHyZiE8%3D,0.451286,3417
997735717,S4A06592_20180402_195900.flac,2018 SJWA-rose-1,2018,4,2,19,59,Agelaius tricolor,Simple Call 2,43.104,43.5093,375,12000,12000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/02/w4l2s0ir366n/c8a95abd-3487-cdb9-c9c2-6bcc826f00b4.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766121767&Signature=fHwypUbXuh9CAQ%2FnYBbd0plMxfg%3D,0.422163,3417
997735718,S4A06592_20180402_163044.flac,2018 SJWA-rose-1,2018,4,2,16,30,Agelaius tricolor,Simple Call 2,0.736,1.14133,375,12000,12000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/02/w4l2s0ir366n/4d8bb021-9a8e-149a-d57a-fd825f2b5f12.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766121767&Signature=oIX3XyHxX36V6B8bkh8R1gEVtHA%3D,0.45146,3417
997735719,S4A06592_20180403_005900.flac,2018 SJWA-rose-1,2018,4,3,0,59,Agelaius tricolor,Simple Call 2,14.912,15.3173,375,12000,12000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/02/w4l2s0ir366n/7af30a5c-2af5-42f6-8820-8d3f42a37171.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766121767&Signature=SPojlJY2e1osUEEZbzwkH6IXE8E%3D,0.505177,3417
