id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
1068459550,S4A06592_20180427_084700.flac,2018 SJWA-rose-2,2018,4,27,8,47,sp30,Simple Call,3.22133,4.14933,2625,4594,12000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/27/gunzylbkp5cs/29f34a63-1e7f-9e80-c4f5-b26b786d219d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765178078&Signature=ysHJj%2BJqj06XoWUA1znSdl1xoLE%3D,0.288256,3682
1068459554,S4A06592_20180410_211400.flac,2018 SJWA-rose-2,2018,4,10,21,14,sp30,Simple Call,13.1627,14.0907,2625,4594,12000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/10/gunzylbkp5cs/f5ec2b0a-588e-984f-eef2-b06c10a22a83.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765178078&Signature=WS8QZtbAclT48L4KF21kNp3GR08%3D,0.223261,3682
1068459555,S4A06592_20180410_225900.flac,2018 SJWA-rose-2,2018,4,10,22,59,sp30,Simple Call,56.8533,57.7813,2625,4594,12000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/10/gunzylbkp5cs/3898333d-7256-79c5-3e3e-b66a75f3415b.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765178078&Signature=8T34p3YaV9xqEGfwrLI7LDgqTIc%3D,0.306726,3682
1068459556,S4A06592_20180410_234100.flac,2018 SJWA-rose-2,2018,4,10,23,41,sp30,Simple Call,25.6533,26.5813,2625,4594,12000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/10/gunzylbkp5cs/fd36fb1c-e4df-e620-c13d-004fa411bd39.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765178078&Signature=7NBMRgSl7Jf5hVjGckPyzGQN%2Bp8%3D,0.287727,3682
1068459557,S4A06592_20180411_002300.flac,2018 SJWA-rose-2,2018,4,11,0,23,sp30,Simple Call,24.2773,25.2053,2625,4594,12000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/10/gunzylbkp5cs/3d627cb0-3048-5284-c3b7-a6063091af37.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765178078&Signature=iqyCUGZz3Dy9i%2FwSVR75G5iD3nc%3D,0.218201,3682
1068459558,S4A06592_20180410_232000.flac,2018 SJWA-rose-2,2018,4,10,23,20,sp30,Simple Call,57.5467,58.4747,2625,4594,12000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/10/gunzylbkp5cs/49cc84ca-6ed6-0dfb-9082-8ff2799a2652.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765178078&Signature=avCAhkMy8b4FtljTR%2BlmXWKBeTc%3D,0.239554,3682
1068459559,S4A06592_20180411_020800.flac,2018 SJWA-rose-2,2018,4,11,2,8,sp30,Simple Call,36.576,37.504,2625,4594,12000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/10/gunzylbkp5cs/f7f13b00-5f1e-10e3-7166-8392e3648ccf.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765178078&Signature=hDLLUxTcjHq%2FFhILfsByJsYibqk%3D,0.289954,3682
1068459560,S4A06592_20180411_014700.flac,2018 SJWA-rose-2,2018,4,11,1,47,sp30,Simple Call,2.56,3.488,2625,4594,12000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/10/gunzylbkp5cs/8da44b73-ee28-cd05-aeeb-c142f7d3d069.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765178078&Signature=cmXIljze9BJWyduFULb5UWIVoR0%3D,0.271531,3682
1068459561,S4A06592_20180411_095000.flac,2018 SJWA-rose-2,2018,4,11,9,50,sp30,Simple Call,43.3387,44.2667,2625,4594,12000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/11/gunzylbkp5cs/3ca9decc-9058-ab43-b875-60bd65d46427.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765178078&Signature=ccyRw5GFIDJFL%2FVJ%2BejPMJnVwAQ%3D,0.259226,3682
1068459562,S4A06592_20180411_132000.flac,2018 SJWA-rose-2,2018,4,11,13,20,sp30,Simple Call,1.472,2.4,2625,4594,12000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/11/gunzylbkp5cs/3b3be3fc-33b1-fc48-4360-591e10d86d2f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765178078&Signature=NGsS5BNbLvVd2IJOCc3fQd%2B6wUY%3D,0.219494,3682
1068459563,S4A06592_20180411_144400.flac,2018 SJWA-rose-2,2018,4,11,14,44,sp30,Simple Call,1.90933,2.83733,2625,4594,12000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/11/gunzylbkp5cs/fd460677-3103-41f7-2c1d-e5a9db4ceee1.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765178078&Signature=d8t9kPMt6xN6v0C4OCAaY%2FHffZ0%3D,0.208026,3682
1068459564,S4A06592_20180411_152600.flac,2018 SJWA-rose-2,2018,4,11,15,26,sp30,Simple Call,20.0107,20.9387,2625,4594,12000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/11/gunzylbkp5cs/df059d76-a717-4ed8-eaf6-ec2354ecea4a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765178078&Signature=rE0LFf3vfk6tjPHJD4xsFhWFO3E%3D,0.240637,3682
1068459565,S4A06592_20180411_142300.flac,2018 SJWA-rose-2,2018,4,11,14,23,sp30,Simple Call,25.1627,26.0907,2625,4594,12000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/11/gunzylbkp5cs/8653f48a-bf6e-9edd-e69c-14d2bc99e5dc.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765178078&Signature=e6ZYWbtsxgyjosBmL%2BufRgtT0uc%3D,0.213611,3682
1068459566,S4A06592_20180412_010500.flac,2018 SJWA-rose-2,2018,4,12,1,5,sp30,Simple Call,38.88,39.808,2625,4594,12000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/11/gunzylbkp5cs/40697f5f-0456-6323-c9c2-6a484c3e3377.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765178078&Signature=A62ZzoXyJAqc5k6iTXiCV7HcxQY%3D,0.23455,3682
1068459567,S4A06592_20180412_020800.flac,2018 SJWA-rose-2,2018,4,12,2,8,sp30,Simple Call,56.9067,57.8347,2625,4594,12000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/11/gunzylbkp5cs/0bfc04f1-3ed0-64cf-cc6c-b9d1a64af6f0.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765178078&Signature=apF1rnVg2qBv%2FRAaUL%2BQ3UPr3Uc%3D,0.277588,3682
1068459568,S4A06592_20180412_090800.flac,2018 SJWA-rose-2,2018,4,12,9,8,sp30,Simple Call,1.74933,2.67733,2625,4594,12000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/12/gunzylbkp5cs/6c7ea18b-872c-085e-84a1-2fc446d2d8eb.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765178078&Signature=Ikdh7M1bBbv4PojJ19%2BhY7cR670%3D,0.208067,3682
1068459569,S4A06592_20180412_142300.flac,2018 SJWA-rose-2,2018,4,12,14,23,sp30,Simple Call,58.7413,59.6693,2625,4594,12000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/12/gunzylbkp5cs/62696a19-b34a-9e9e-72b7-cc313d79fab4.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765178078&Signature=d%2FfGKCmcqp3BxCNZWqzFTTfBBZ0%3D,0.203825,3682
1068459570,S4A06592_20180412_140200.flac,2018 SJWA-rose-2,2018,4,12,14,2,sp30,Simple Call,40.992,41.92,2625,4594,12000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/12/gunzylbkp5cs/ceb6941b-cdc5-98f5-0818-afeba22e54c6.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765178078&Signature=k4jKXJW%2BrJBkzYss8fd2ZqQvN40%3D,0.225896,3682
