id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
1082199354,HLam-2019-06-03_06-46.flac,2019 Hay Landfill,2019,6,3,6,46,Pseudacris regilla,Common Song,6.928,7.33333,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/06/02/s52dyd1bu9fv/14065bd0-bf89-5dd3-8064-a3c28909bad6.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1776698757&Signature=A0zaGprR080sNiAyTejeKqws1W0%3D,0.227143,4456
1082199355,HLam-2019-06-03_07-25.flac,2019 Hay Landfill,2019,6,3,7,25,Pseudacris regilla,Common Song,8.81067,9.216,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/06/03/s52dyd1bu9fv/8ebb6621-22df-556b-ae98-15f40909d8af.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1776698757&Signature=tTOMEQy%2FWzLk%2BImvAoKiJJw59WA%3D,0.241368,4456
1082199356,HLam-2019-06-03_07-45.flac,2019 Hay Landfill,2019,6,3,7,45,Pseudacris regilla,Common Song,53.6427,54.048,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/06/03/s52dyd1bu9fv/25065aad-6fd2-4404-6864-c4f85bf72ffb.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1776698757&Signature=Ec%2BvVxLc7oz42KSu1c%2FaVg6HNMo%3D,0.232241,4456
1082199357,HLam-2019-06-03_08-24.flac,2019 Hay Landfill,2019,6,3,8,24,Pseudacris regilla,Common Song,38.416,38.8213,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/06/03/s52dyd1bu9fv/778b34e6-bdc5-38af-d6b0-afbe078a215b.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1776698757&Signature=3%2FgS6TjEjvzvM6xrmtufOEb9ZRM%3D,0.30243,4456
1082199358,HLam-2019-06-03_08-44.flac,2019 Hay Landfill,2019,6,3,8,44,Pseudacris regilla,Common Song,3.296,3.70133,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/06/03/s52dyd1bu9fv/652e1517-9589-bd4c-865c-253a406603ce.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1776698757&Signature=L65VfAttYHIoEZpYJp%2Ba%2BIoGQZw%3D,0.278883,4456
1082199359,HLam-2019-06-03_09-23.flac,2019 Hay Landfill,2019,6,3,9,23,Pseudacris regilla,Common Song,21.6907,22.096,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/06/03/s52dyd1bu9fv/d6508f1e-3aae-c1d5-dcec-d7a780e1ecaf.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1776698757&Signature=Kbmid5AnWtszgZsx5hLxYZ72ZcA%3D,0.200119,4456
1082199360,HLam-2019-06-03_09-43.flac,2019 Hay Landfill,2019,6,3,9,43,Pseudacris regilla,Common Song,20.176,20.5813,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/06/03/s52dyd1bu9fv/d7b2d0e4-81d5-a66c-6466-8a3c3d882f42.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1776698757&Signature=zwLLeYq3Qepsywlji9VOYOAj4fU%3D,0.253944,4456
1082199361,HLam-2019-06-03_10-42.flac,2019 Hay Landfill,2019,6,3,10,42,Pseudacris regilla,Common Song,45.7867,46.192,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/06/03/s52dyd1bu9fv/9ba401c1-ad03-343b-9549-2c9968e15a03.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1776698757&Signature=rz8EY9Bkyy%2F%2FgliHqU4uysTPjdY%3D,0.460254,4456
1082199362,HLam-2019-06-03_12-20.flac,2019 Hay Landfill,2019,6,3,12,20,Pseudacris regilla,Common Song,30.3413,30.7467,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/06/03/s52dyd1bu9fv/f6a3d641-59ca-164e-9b9a-07ab7307de08.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1776698757&Signature=pC3Y6NCYXJil4ejU2tbxo4LAETI%3D,0.20856,4456
1082199363,HLam-2019-06-03_12-40.flac,2019 Hay Landfill,2019,6,3,12,40,Pseudacris regilla,Common Song,15.184,15.5893,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/06/03/s52dyd1bu9fv/6d6e70fb-f2b0-c3b1-2c81-13153039de1f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1776698757&Signature=iyq%2F9JVYad0hSLr8LinJaEqARGM%3D,0.215625,4456
