id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
1081919797,IPam-2019-07-30_21-20.flac,2019 Iron Point,2019,7,30,21,20,sp33,Simple Call,34.8213,36.3627,3656,4688,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/07/30/vb2q1x59znxe/2fb867f5-5aa6-25f7-2b14-277e7a7d0119.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766188427&Signature=iyKnCwkeRmt%2BML182OKalkAzyZc%3D,0.212966,4979
1081919798,IPam-2019-07-31_00-20.flac,2019 Iron Point,2019,7,31,0,20,sp33,Simple Call,37.0133,38.5547,3656,4688,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/07/30/vb2q1x59znxe/fafb8ee4-cc25-021f-6bf9-42f85fa51272.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766188427&Signature=Ev%2FRGqOaYzK6olKxyGo5M%2FDH%2FdI%3D,0.208943,4979
1081919799,IPam-2019-07-31_21-20.flac,2019 Iron Point,2019,7,31,21,20,sp33,Simple Call,56.832,58.3733,3656,4688,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/07/31/vb2q1x59znxe/fa27aa49-ea6b-82e9-0d7a-b969d37daf38.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766188427&Signature=i6QJAnqg70G0kdZ1w3KSNC%2Bqkk0%3D,0.211492,4979
1081919800,IPam-2019-08-01_10-40.flac,2019 Iron Point,2019,8,1,10,40,sp33,Simple Call,0.741333,2.28267,3656,4688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/08/01/vb2q1x59znxe/7dcf632a-79f3-b314-a1d6-1c661f1702af.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766188427&Signature=%2B3q4KZhan5gk1%2BjtkGE%2B6heHkmQ%3D,0.203054,4979
1081920101,IPam-2019-06-13_11-40.flac,2019 Iron Point,2019,6,13,11,40,sp33,Simple Call,19.3173,20.8587,3656,4688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/06/13/vb2q1x59znxe/6c7e6380-8a13-6b78-b0bf-f2a8bc3c6f77.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766188427&Signature=Xj1y4jQyKnnilHsPiXSE5V2IJMk%3D,0.200809,4979
1081920102,IPam-2019-06-13_14-20.flac,2019 Iron Point,2019,6,13,14,20,sp33,Simple Call,57.5733,59.1147,3656,4688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/06/13/vb2q1x59znxe/1f774a1b-f790-9227-c95d-6d7321c4244d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766188427&Signature=qPhMH3va64%2Fc9ZSCCWoP2k0ALxQ%3D,0.208836,4979
1081920103,IPam-2019-06-13_14-40.flac,2019 Iron Point,2019,6,13,14,40,sp33,Simple Call,18.4693,20.0107,3656,4688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/06/13/vb2q1x59znxe/4cdf2d81-b09a-5574-7e25-64e08f61ae0d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766188427&Signature=10nR5c4L3QNHxztyKMzf%2FPuTsHU%3D,0.210678,4979
1081920104,IPam-2019-06-13_15-40.flac,2019 Iron Point,2019,6,13,15,40,sp33,Simple Call,24.4267,25.968,3656,4688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/06/13/vb2q1x59znxe/4d464d2a-3cf7-b773-6b7d-0651a3645e9c.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766188427&Signature=COqwZHGs2MfozlkDLiGXNt6v4uI%3D,0.234546,4979
1081920105,IPam-2019-06-13_16-20.flac,2019 Iron Point,2019,6,13,16,20,sp33,Simple Call,55.872,57.4133,3656,4688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/06/13/vb2q1x59znxe/d3c2ed7c-a993-497a-9cf9-c6f3273f4f8c.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766188427&Signature=7gG2GFMmjqv6t6Kph1tEb0V7oRY%3D,0.246115,4979
1081920106,IPam-2019-06-13_19-40.flac,2019 Iron Point,2019,6,13,19,40,sp33,Simple Call,34.256,35.7973,3656,4688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/06/13/vb2q1x59znxe/dc206223-1556-ab9d-dfd8-eca52af48fe3.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766188427&Signature=bULZDcoO63Q4APJ%2BMI4YtsRwB9c%3D,0.214631,4979
