id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
1064370564,IPam-2019-07-30_16-20.flac,2019 Iron Point,2019,7,30,16,20,sp30,Simple Call,0.576,1.49333,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/07/30/vb2q1x59znxe/a2fa90c3-32e9-f6c2-354f-ae026e7132b2.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1776533760&Signature=GZlzjkJKp4Ut0V%2FUjpVe5ul2KgU%3D,0.210941,4979
1064370565,IPam-2019-07-30_20-20.flac,2019 Iron Point,2019,7,30,20,20,sp30,Simple Call,20.1067,21.024,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/07/30/vb2q1x59znxe/c60e9202-98ff-ea24-9d53-8c2e09d9ae1f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1776533760&Signature=zGMMygg52opPHTBwULr7AL%2BH9aI%3D,0.214184,4979
1064370566,IPam-2019-07-31_05-20.flac,2019 Iron Point,2019,7,31,5,20,sp30,Simple Call,30.9067,31.824,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/07/30/vb2q1x59znxe/3e380b45-80b6-c6ea-54fe-ab46cb653048.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1776533760&Signature=QSD3Ot2tTfharAn05J4QOJUwk4s%3D,0.200034,4979
1064370567,IPam-2019-07-31_06-20.flac,2019 Iron Point,2019,7,31,6,20,sp30,Simple Call,36.3467,37.264,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/07/30/vb2q1x59znxe/06a0c4af-c9be-e802-77e1-b14a0bd2a8c9.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1776533760&Signature=qKgwhyRNeu%2BoN1cyx7HEggr0mKc%3D,0.211907,4979
1064370568,IPam-2019-07-31_07-40.flac,2019 Iron Point,2019,7,31,7,40,sp30,Simple Call,45.9413,46.8587,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/07/31/vb2q1x59znxe/c8763d5c-19c8-1966-bd49-cf14ef1f17e5.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1776533760&Signature=U3x9z7ZKfOZWIFud06BLgyRQTXw%3D,0.20454,4979
1064370569,IPam-2019-07-31_11-20.flac,2019 Iron Point,2019,7,31,11,20,sp30,Simple Call,41.776,42.6933,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/07/31/vb2q1x59znxe/97eb2f00-24fc-cafc-4689-d757db3e1d3e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1776533760&Signature=HdgCoj9gmzcl3fsO46FguaKjymU%3D,0.328137,4979
1064370570,IPam-2019-07-31_14-40.flac,2019 Iron Point,2019,7,31,14,40,sp30,Simple Call,29.856,30.7733,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/07/31/vb2q1x59znxe/1527d99e-228f-b4c3-ae58-d76d6ee073a9.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1776533760&Signature=VVRSdSxT54gW55NtetaHkEC%2FMhs%3D,0.262438,4979
1064370571,IPam-2019-07-31_20-20.flac,2019 Iron Point,2019,7,31,20,20,sp30,Simple Call,50.2613,51.1787,2625,4594,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/07/31/vb2q1x59znxe/64145ca5-42aa-fae9-53ad-f02a6edfaa77.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1776533760&Signature=%2FPeio2jWhfEs%2Byr5Xj64o4%2FUJWM%3D,0.265537,4979
1064370572,IPam-2019-07-31_20-40.flac,2019 Iron Point,2019,7,31,20,40,sp30,Simple Call,57.488,58.4053,2625,4594,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/07/31/vb2q1x59znxe/e76e6574-de39-5a42-a6c0-ffd6735e7594.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1776533760&Signature=z5UZQnBFXngVkAFUPPFSb5eKmHU%3D,0.210334,4979
1064370573,IPam-2019-08-01_04-40.flac,2019 Iron Point,2019,8,1,4,40,sp30,Simple Call,16.7147,17.632,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/07/31/vb2q1x59znxe/f02190d9-6ec6-4819-b99e-908d43f60aa7.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1776533760&Signature=8BMffrk3NPTXEjOMM7hs20iJt5E%3D,0.330394,4979
1064370574,IPam-2019-08-01_07-20.flac,2019 Iron Point,2019,8,1,7,20,sp30,Simple Call,48.1707,49.088,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/08/01/vb2q1x59znxe/cfffb3f4-dbd0-d950-0c4b-ccbfef424ce5.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1776533760&Signature=C7mhX92RQsUJ1MFoc4RU0PARfM8%3D,0.251082,4979
1064370861,IPam-2019-05-29_10-00.flac,2019 Iron Point,2019,5,29,10,0,sp30,Simple Call,20.7093,21.6267,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/05/29/vb2q1x59znxe/1a0d6a38-f8f5-7c70-318f-bc4a068bef3b.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1776533760&Signature=0IpK2NfaeiGR1yFn3qcY32VZ2g0%3D,0.209388,4979
1064370862,IPam-2019-05-29_09-00.flac,2019 Iron Point,2019,5,29,9,0,sp30,Simple Call,29.8347,30.752,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/05/29/vb2q1x59znxe/7241e66e-3b6f-c69a-f7dd-e2994a51de87.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1776533760&Signature=8w3CUtIOwDYuhXfPjSXxiSooVmA%3D,0.203804,4979
1064370863,IPam-2019-05-29_08-00.flac,2019 Iron Point,2019,5,29,8,0,sp30,Simple Call,20.7733,21.6907,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/05/29/vb2q1x59znxe/9e58e8db-d698-7db9-6385-abf80f359221.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1776533760&Signature=ENdasI5esoUBEHjKyNNeifRego8%3D,0.20141,4979
1064370864,IPam-2019-05-28_22-00.flac,2019 Iron Point,2019,5,28,22,0,sp30,Simple Call,21.8613,22.7787,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/05/28/vb2q1x59znxe/b4ee114a-aa18-83dd-9117-881b6370480f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1776533760&Signature=YsBziUzhxqW97Q7nrV6Fu7swIK0%3D,0.208509,4979
1064370865,IPam-2019-05-27_21-00.flac,2019 Iron Point,2019,5,27,21,0,sp30,Simple Call,28.1707,29.088,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/05/27/vb2q1x59znxe/1b9a6d32-f056-96af-7f9f-676f758225e3.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1776533760&Signature=0R0J4yiLw2mj5aP9Qq1bu926QK0%3D,0.206836,4979
1064370866,IPam-2019-05-27_16-00.flac,2019 Iron Point,2019,5,27,16,0,sp30,Simple Call,14.2933,15.2107,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/05/27/vb2q1x59znxe/13f8336d-a5bb-868e-b6ca-50532ea51ebd.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1776533760&Signature=W220Y08eFYpV5DqiwK%2FSDZvZXWg%3D,0.210054,4979
1064370867,IPam-2019-05-27_12-00.flac,2019 Iron Point,2019,5,27,12,0,sp30,Simple Call,53.1947,54.112,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/05/27/vb2q1x59znxe/1b66c561-0f56-ae97-f01d-c6cf6ec85329.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1776533760&Signature=VPXVzI3L9YHmFQeBJ8yKJY9W1r8%3D,0.200194,4979
1064370868,IPam-2019-05-27_09-00.flac,2019 Iron Point,2019,5,27,9,0,sp30,Simple Call,27.312,28.2293,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/05/27/vb2q1x59znxe/2fbf4dbf-3957-b954-32de-11cb5cd8a571.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1776533760&Signature=JF7eoqYeFA65fB87pzrJNFzLuPY%3D,0.23136,4979
1064370869,IPam-2019-05-27_08-00.flac,2019 Iron Point,2019,5,27,8,0,sp30,Simple Call,25.568,26.4853,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/05/27/vb2q1x59znxe/b19f92b6-9c85-ed8f-40e3-813a76d93a51.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1776533760&Signature=nNjLe7vgmD5Y4Yb4Np0YP5dkYyE%3D,0.208653,4979
1064370870,IPam-2019-05-26_21-00.flac,2019 Iron Point,2019,5,26,21,0,sp30,Simple Call,31.1733,32.0907,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/05/26/vb2q1x59znxe/92ea8035-ef95-e11e-f259-401e031c82e9.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1776533760&Signature=kPzORXdJN3Zp%2FsowH%2B%2BnYo0ANFE%3D,0.212496,4979
1064370871,IPam-2019-05-26_13-00.flac,2019 Iron Point,2019,5,26,13,0,sp30,Simple Call,56.6027,57.52,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/05/26/vb2q1x59znxe/2490ce7e-d800-8f5e-4993-f711cecd254a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1776533760&Signature=YpqckARI4RcsN1UKMKIHZI7JtIg%3D,0.215659,4979
1064370872,IPam-2019-05-24_18-00.flac,2019 Iron Point,2019,5,24,18,0,sp30,Simple Call,38.816,39.7333,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/05/24/vb2q1x59znxe/be748439-0d49-5815-8a76-3742a793ede4.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1776533760&Signature=XTUNXB4qj%2FaB8C674XOlPIBOJjs%3D,0.237466,4979
1064370873,IPam-2019-05-23_19-00.flac,2019 Iron Point,2019,5,23,19,0,sp30,Simple Call,35.4667,36.384,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/05/23/vb2q1x59znxe/55cacb02-5ee3-9bd0-1f64-26cd4e9d1ac5.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1776533760&Signature=7ZEydeg8bqJ0gadNKm9XyRoCggI%3D,0.21233,4979
1064370874,IPam-2019-05-20_09-00.flac,2019 Iron Point,2019,5,20,9,0,sp30,Simple Call,26.0533,26.9707,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/05/20/vb2q1x59znxe/824067ab-c22d-2f1c-9d2c-9b884d003b2a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1776533760&Signature=Gp%2FeJTtmWYFE3DDRL6jYEQbz0XU%3D,0.212486,4979
1064371065,IPam-2019-04-27_20-00.flac,2019 Iron Point,2019,4,27,20,0,sp30,Simple Call,32.8533,33.7707,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/04/27/vb2q1x59znxe/d04d86f7-6960-ae2b-d079-c53bf5aad5f9.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1776533760&Signature=L3svN0mXNj%2FjC1ys52Cu8WI0Omg%3D,0.241351,4979
