id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
1003738955,LS-2019-04-16_11-00.flac,2019 Laguna Seca LG,2019,4,16,11,0,Agelaius tricolor,Alternative Song 2,23.5683,23.9746,603,7407,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/04/16/no3qwfevoi0v/32696b87-9eb0-2668-496b-5bb5f297fed7.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752783178&Signature=GUCRRm%2BDkvfsU5Q%2BecaPAXSWAg0%3D,0.273065,4251
1003739133,LS-2019-03-27_15-40.flac,2019 Laguna Seca LG,2019,3,27,15,40,Agelaius tricolor,Alternative Song 2,55.4318,55.8382,603,7407,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/03/27/no3qwfevoi0v/a531c588-9c74-4ca9-fc83-aea800222341.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752783178&Signature=1oZXhxvSCmqNNlTrFXb7bQJXq6w%3D,0.212011,4251
1003739134,LS-2019-03-27_15-00.flac,2019 Laguna Seca LG,2019,3,27,15,0,Agelaius tricolor,Alternative Song 2,48.2627,48.669,603,7407,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/03/27/no3qwfevoi0v/77ca8a6f-ce4f-8abc-ca56-a24ea907a86f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752783178&Signature=UE%2F7pmECFIH45UB8n1ADua5sGGQ%3D,0.210483,4251
1003739135,LS-2019-03-27_13-20.flac,2019 Laguna Seca LG,2019,3,27,13,20,Agelaius tricolor,Alternative Song 2,25.6406,26.047,603,7407,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/03/27/no3qwfevoi0v/47f38924-d14b-f61e-0028-6fa6841e78a2.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752783178&Signature=N%2FOGrYlzRlmJb1yY4eceIJFn3Y0%3D,0.211202,4251
1003739136,LS-2019-03-27_13-00.flac,2019 Laguna Seca LG,2019,3,27,13,0,Agelaius tricolor,Alternative Song 2,52.6571,53.0634,603,7407,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/03/27/no3qwfevoi0v/2fcbc320-392f-6309-e9d1-c1be7ad1af6c.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752783178&Signature=GkmsPhhxbn%2FYCdLSNwRkUbbZyqo%3D,0.206028,4251
1003739137,LS-2019-03-27_10-20.flac,2019 Laguna Seca LG,2019,3,27,10,20,Agelaius tricolor,Alternative Song 2,28.3806,28.7869,603,7407,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/03/27/no3qwfevoi0v/9ce13f2f-5252-f651-4811-eec54d81651a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752783178&Signature=uda7W2bFp%2FRl7UbkUcM81nXIuN0%3D,0.20095,4251
1003739138,LS-2019-03-27_08-40.flac,2019 Laguna Seca LG,2019,3,27,8,40,Agelaius tricolor,Alternative Song 2,57.2604,57.6668,603,7407,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/03/27/no3qwfevoi0v/dc58a90f-a032-848e-3171-a50f17fb3026.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752783178&Signature=Wd%2BMiprtRvzJZQZsbeP%2BT0V%2BYHA%3D,0.22257,4251
1003739139,LS-2019-03-27_08-20.flac,2019 Laguna Seca LG,2019,3,27,8,20,Agelaius tricolor,Alternative Song 2,19.1158,19.5222,603,7407,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/03/27/no3qwfevoi0v/5338531c-11fa-a2cf-b839-41281919d6d2.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752783178&Signature=ekE4Dkkcl%2BsFMTYZMj9pxE0%2BhzU%3D,0.200243,4251
1003739140,LS-2019-03-26_19-00.flac,2019 Laguna Seca LG,2019,3,26,19,0,Agelaius tricolor,Alternative Song 2,26.7784,27.1848,603,7407,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/03/26/no3qwfevoi0v/d326a09d-5970-05ab-f4af-5b951d60897e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752783178&Signature=xQlAYeovO4%2Bgwo76hl4wWO8qCsY%3D,0.231916,4251
1003739141,LS-2019-03-26_18-20.flac,2019 Laguna Seca LG,2019,3,26,18,20,Agelaius tricolor,Alternative Song 2,17.3105,17.7168,603,7407,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/03/26/no3qwfevoi0v/92cc86bf-e60a-6a37-8cfd-9c489fc15f07.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752783178&Signature=UcDODWnlZYoli2xw70xzz83eAG4%3D,0.224722,4251
1003739142,LS-2019-03-26_08-00.flac,2019 Laguna Seca LG,2019,3,26,8,0,Agelaius tricolor,Alternative Song 2,37.3841,37.7905,603,7407,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/03/26/no3qwfevoi0v/1a13cef8-f734-6cc5-ac88-7b505c8cca70.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752783178&Signature=lUcyJIi6rXFYXWCMYtsiFgROPrw%3D,0.201819,4251
1003739143,LS-2019-03-25_13-20.flac,2019 Laguna Seca LG,2019,3,25,13,20,Agelaius tricolor,Alternative Song 2,52.5874,52.9937,603,7407,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/03/25/no3qwfevoi0v/6d02edf6-7f38-77b6-7993-17931619022b.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752783178&Signature=oUtOj9Nb%2Bvg7wVdxlrMc%2FG9BXZo%3D,0.225864,4251
