id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
1003739117,LS-2019-04-16_11-00.flac,2019 Laguna Seca LG,2019,4,16,11,0,sp22,Simple Call,10.7683,11.9757,2670,7235,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/04/16/no3qwfevoi0v/32696b87-9eb0-2668-496b-5bb5f297fed7.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744079207&Signature=O9i5NEBAKJXhu1bpG0TFc1aceyU%3D,0.271502,4251
1003739611,LS-2019-03-22_09-20.flac,2019 Laguna Seca LG,2019,3,22,9,20,sp22,Simple Call,53.7426,54.95,2670,7235,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/03/22/no3qwfevoi0v/359df806-f656-e1cb-b3d2-4491b9b89b05.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744079207&Signature=ISS6k3Tsq3Tl0xgAtWWxqDjxJf4%3D,0.279397,4251
1003739612,LS-2019-03-22_09-00.flac,2019 Laguna Seca LG,2019,3,22,9,0,sp22,Simple Call,23.5566,24.7641,2670,7235,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/03/22/no3qwfevoi0v/f6d9ea26-397d-5ac0-71bd-23b9bd7686d9.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744079207&Signature=7mFZMkxohWApqTJ6u5lxWOE4ZP8%3D,0.218645,4251
1003739613,LS-2019-02-26_12-00.flac,2019 Laguna Seca LG,2019,2,26,12,0,sp22,Simple Call,3.43655,4.64399,2670,7235,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/02/26/no3qwfevoi0v/aacbecdc-2d6f-d85b-b9a8-aeff11e3cfd2.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744079207&Signature=INx6W7DHFnRun5hntTImpASeIJ4%3D,0.204413,4251
1003739614,LS-2019-02-11_13-40.flac,2019 Laguna Seca LG,2019,2,11,13,40,sp22,Simple Call,3.05342,4.26086,2670,7235,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/02/11/no3qwfevoi0v/1b318640-c5bc-1a42-2f8d-6897c0ffa87c.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744079207&Signature=4PJAppU3jLJBQMrxeO8%2FlTPV4Hk%3D,0.296295,4251
1003739615,LS-2019-02-12_08-40.flac,2019 Laguna Seca LG,2019,2,12,8,40,sp22,Simple Call,28.7289,29.9363,2670,7235,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/02/12/no3qwfevoi0v/863486a8-561f-ba7a-7e21-003f731450e9.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744079207&Signature=ahE4FE8iREuV4RHNC3n%2FAKDCP5s%3D,0.217175,4251
1003739616,LS-2019-02-12_11-40.flac,2019 Laguna Seca LG,2019,2,12,11,40,sp22,Simple Call,56.9644,58.1718,2670,7235,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/02/12/no3qwfevoi0v/ad07316a-ccc3-3f69-290c-5cab4e8638ad.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744079207&Signature=P0IFFsANl%2F29mPaHlAdAoE36TYQ%3D,0.212391,4251
1003739617,LS-2019-02-12_13-40.flac,2019 Laguna Seca LG,2019,2,12,13,40,sp22,Simple Call,58.6246,59.832,2670,7235,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/02/12/no3qwfevoi0v/e8c2bf74-2055-578b-56ed-bfea3c4536ff.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744079207&Signature=fbKw%2BZyBcphh3gWT8cl6v1zYa4s%3D,0.224177,4251
1003739618,LS-2019-02-13_12-40.flac,2019 Laguna Seca LG,2019,2,13,12,40,sp22,Simple Call,12.8813,14.0887,2670,7235,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/02/13/no3qwfevoi0v/560c370e-2aa7-1565-d318-05525a2f9538.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744079207&Signature=vi3cqqKJh7QjzqUNKHh4MakI%2Bho%3D,0.210541,4251
1003739619,LS-2019-03-13_19-00.flac,2019 Laguna Seca LG,2019,3,13,19,0,sp22,Simple Call,44.5649,45.7723,2670,7235,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/03/13/no3qwfevoi0v/d3664604-d07c-df22-b423-4ea73f84d664.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744079207&Signature=ZR9tNbQN9%2FawDd7bis%2B7oLHcTp8%3D,0.224661,4251
