id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
722138640,CRam-2020-02-22_11-00.flac,2020 Creed Road,2020,2,22,11,0,sp22,Simple Call,49.552,50.7573,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/02/22/6sem3jukvrv4/bd91fb57-a5cc-baad-1a71-b8b540374847.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1742195461&Signature=Fm%2FeIFQ0QsAvQgJf4VnkTNqCu8s%3D,0.252096,2908
722138641,CRam-2020-02-26_08-20.flac,2020 Creed Road,2020,2,26,8,20,sp22,Simple Call,12.272,13.4773,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/02/26/6sem3jukvrv4/83585632-a70e-32b8-554d-2f31336638c4.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1742195461&Signature=VUDoGnPEww2ehkVAaRplUAhCIw8%3D,0.200678,2908
722138642,CRam-2020-05-19_06-00.flac,2020 Creed Road,2020,5,19,6,0,sp22,Simple Call,30.6667,31.872,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/05/18/6sem3jukvrv4/70c4292d-4d46-9e95-4f3c-11d8f6700c89.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1742195461&Signature=MbCMFFdlLvkbIrE15tHYJi87JcE%3D,0.2271,2908
722138643,CRam-2020-05-23_06-00.flac,2020 Creed Road,2020,5,23,6,0,sp22,Simple Call,58.4427,59.648,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/05/22/6sem3jukvrv4/de591e75-e6b7-b93c-858b-241844cfeb6e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1742195461&Signature=IYbtuHjS5Tb9l0GPrduPfDAIheA%3D,0.20004,2908
722138644,CRam-2020-03-16_03-40.flac,2020 Creed Road,2020,3,16,3,40,sp22,Simple Call,5.46133,6.66667,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/03/15/6sem3jukvrv4/07d0ddbf-c1ea-bdd0-eddd-f3150c5263bc.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1742195461&Signature=XkvdyoNg%2FSbVYnZMsL1DBxw2omw%3D,0.220541,2908
722138645,CRam-2020-03-19_08-40.flac,2020 Creed Road,2020,3,19,8,40,sp22,Simple Call,29.184,30.3893,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/03/19/6sem3jukvrv4/7339c5bb-da0a-4f06-1d00-27a48fc0c0cd.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1742195461&Signature=pjrwViKyb5VP940j7t5B69ddbX4%3D,0.207592,2908
722138646,CRam-2020-07-02_10-40.flac,2020 Creed Road,2020,7,2,10,40,sp22,Simple Call,42.784,43.9893,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/07/02/6sem3jukvrv4/5753c99d-bc4e-9351-813e-79d49bec72ab.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1742195461&Signature=%2Fj8Db737vcJlP9SyHLRvmvW4F7A%3D,0.246964,2908
722138647,CRam-2020-07-02_11-00.flac,2020 Creed Road,2020,7,2,11,0,sp22,Simple Call,14.5653,15.7707,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/07/02/6sem3jukvrv4/344bceea-b3be-bd83-7f97-a4370bb0da78.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1742195461&Signature=CN1oBrxmbrHJCBZUD2Pd9IxTOyY%3D,0.263116,2908
722138648,CRam-2020-07-04_09-40.flac,2020 Creed Road,2020,7,4,9,40,sp22,Simple Call,57.648,58.8533,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/07/04/6sem3jukvrv4/1eaa5e3c-8e93-4601-1ad2-c6ad0c010050.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1742195461&Signature=w%2B%2B5rcrXw%2FuN%2FmK1JEk%2FABedzRY%3D,0.310986,2908
722138649,CRam-2020-07-06_12-00.flac,2020 Creed Road,2020,7,6,12,0,sp22,Simple Call,12.9067,14.112,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/07/06/6sem3jukvrv4/1ab1d5ab-8285-6db8-c3b2-0e6fe6929435.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1742195461&Signature=KcXeH1Audy7PJrDFtDLu67gGNDI%3D,0.202258,2908
722138650,CRam-2020-07-08_10-40.flac,2020 Creed Road,2020,7,8,10,40,sp22,Simple Call,20.0213,21.2267,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/07/08/6sem3jukvrv4/53973ab8-d1a3-5c3a-480f-4a6c2330f192.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1742195461&Signature=%2FOnl4ByVbtQQ2VJcE0KTvCTf6ws%3D,0.205121,2908
722138651,CRam-2020-07-08_11-00.flac,2020 Creed Road,2020,7,8,11,0,sp22,Simple Call,49.2747,50.48,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/07/08/6sem3jukvrv4/594c06e8-3ce4-59dd-201b-5f6a111e4da8.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1742195461&Signature=%2FnTbHQfR4wfV5ghbr3dLKfRx5bg%3D,0.203294,2908
722138652,CRam-2020-07-09_11-20.flac,2020 Creed Road,2020,7,9,11,20,sp22,Simple Call,22.7893,23.9947,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/07/09/6sem3jukvrv4/95ec80be-8d18-c008-c666-c4a36d59037e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1742195461&Signature=DjoY9kTUOCth1d6mPRhPjCJ8cuA%3D,0.202263,2908
722138653,CRam-2020-07-09_12-00.flac,2020 Creed Road,2020,7,9,12,0,sp22,Simple Call,11.9467,13.152,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/07/09/6sem3jukvrv4/e22e6b76-ffb6-1df7-0bad-684a65f502d1.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1742195461&Signature=CX3hEpD1aTSzNPg1f83VX5xCp34%3D,0.214753,2908
722138654,CRam-2020-05-31_11-00.flac,2020 Creed Road,2020,5,31,11,0,sp22,Simple Call,57.1253,58.3307,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/05/31/6sem3jukvrv4/9b4fe662-c31c-a603-21c7-9a6044880bc1.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1742195461&Signature=cLwL%2BDwEJP8KQzk8gi%2BIpytJmiw%3D,0.211214,2908
722138655,CRam-2020-06-04_05-20.flac,2020 Creed Road,2020,6,4,5,20,sp22,Simple Call,0.096,1.30133,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/06/03/6sem3jukvrv4/f743ff2d-f57d-02de-6bc6-2e32140b6735.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1742195461&Signature=33AkoL9b90rMdW5brfagoofGGYs%3D,0.221698,2908
722138656,CRam-2020-06-05_07-20.flac,2020 Creed Road,2020,6,5,7,20,sp22,Simple Call,3.84533,5.05067,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/06/05/6sem3jukvrv4/07e8931f-9697-637b-4091-72e150aea951.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1742195461&Signature=irrc4eGkO0SaiaKYPjxBfIfsXDM%3D,0.2301,2908
722138657,CRam-2020-06-06_06-00.flac,2020 Creed Road,2020,6,6,6,0,sp22,Simple Call,50.512,51.7173,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/06/05/6sem3jukvrv4/f372eb31-4a3f-4da2-3763-6b4326141a12.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1742195461&Signature=ulFTaOJ4gWjFdJufAFauR69p2pk%3D,0.242689,2908
722138658,CRam-2020-06-06_10-20.flac,2020 Creed Road,2020,6,6,10,20,sp22,Simple Call,48.8853,50.0907,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/06/06/6sem3jukvrv4/c8e70b2b-2797-bfc2-7e48-9ad5affa1154.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1742195461&Signature=YBwMY68guyn2lJWuodR5PCLmw3Y%3D,0.233928,2908
722138659,CRam-2020-06-06_10-40.flac,2020 Creed Road,2020,6,6,10,40,sp22,Simple Call,22.496,23.7013,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/06/06/6sem3jukvrv4/8d268cb2-22e0-703e-da57-99330f60bf28.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1742195461&Signature=mpUY4Y2orHz7%2BIhQViaRmc0OMUc%3D,0.215349,2908
722138660,CRam-2020-06-07_11-00.flac,2020 Creed Road,2020,6,7,11,0,sp22,Simple Call,26.5387,27.744,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/06/07/6sem3jukvrv4/f9c72a57-dd0b-27f4-4a09-1d2726b2b72a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1742195461&Signature=QPovTPluj4lJc9UuqO9guEpPiU4%3D,0.207292,2908
722138661,CRam-2020-07-03_11-00.flac,2020 Creed Road,2020,7,3,11,0,sp22,Simple Call,14.8853,16.0907,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/07/03/6sem3jukvrv4/62c8d3fe-a159-e5b7-494f-925860bb4470.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1742195461&Signature=IFi3s9D8Vo8vQJxpdSJW99uCEVw%3D,0.308651,2908
