id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
722152335,IPam-2020-08-05_11-00.flac,2020 Iron Point,2020,8,5,11,0,Agelaius tricolor,Simple Call 2,0.197333,0.592,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/08/05/9ryugpjnqtli/5a3c08cc-0813-1494-7fc9-cf297a086fcd.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766123168&Signature=fPk1K9fPKWLzg98rhy9cqtqs040%3D,0.231337,7650
722152336,IPam-2020-08-05_11-40.flac,2020 Iron Point,2020,8,5,11,40,Agelaius tricolor,Simple Call 2,49.2853,49.68,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/08/05/9ryugpjnqtli/09bfd429-7337-0ff4-e436-cdaf2beb9590.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766123168&Signature=jde8H7Hti3UokJ01oy2na%2FnQnEc%3D,0.364437,7650
722152337,IPam-2020-08-05_12-00.flac,2020 Iron Point,2020,8,5,12,0,Agelaius tricolor,Simple Call 2,19.056,19.4507,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/08/05/9ryugpjnqtli/8db9ecfa-58ab-32c3-a2b6-cef12a46b7e7.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766123168&Signature=7VqxzkxUleFyAJLhQ%2BZK%2BfRrL0Y%3D,0.319004,7650
722152338,IPam-2020-08-05_12-20.flac,2020 Iron Point,2020,8,5,12,20,Agelaius tricolor,Simple Call 2,44.6667,45.0613,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/08/05/9ryugpjnqtli/25c73a89-1c9c-d98d-ee10-a48cae24f61a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766123168&Signature=rO3ppJCCyrFbwMyu4DhhkkkgNWI%3D,0.458438,7650
722152339,IPam-2020-08-05_12-40.flac,2020 Iron Point,2020,8,5,12,40,Agelaius tricolor,Simple Call 2,44.6613,45.056,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/08/05/9ryugpjnqtli/92dfc99a-0b6f-5fbd-a884-542695dcdf27.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766123168&Signature=R0J9Lgq7b77KXK4GQVg%2BpAzkBGw%3D,0.246828,7650
722152340,IPam-2020-08-05_13-00.flac,2020 Iron Point,2020,8,5,13,0,Agelaius tricolor,Simple Call 2,10.1493,10.544,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/08/05/9ryugpjnqtli/2492e605-6cf9-04ba-25ba-b0952bf35725.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766123168&Signature=of8sQ2Vlo4M%2BGZvPCa2ReUng9H8%3D,0.304382,7650
722152341,IPam-2020-08-05_13-20.flac,2020 Iron Point,2020,8,5,13,20,Agelaius tricolor,Simple Call 2,10.6347,11.0293,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/08/05/9ryugpjnqtli/20bec15c-c7ff-25ce-1af3-d55a09766408.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766123168&Signature=ggh4GloULr7tlTzPDuBbbRZv0Io%3D,0.313385,7650
722152342,IPam-2020-08-05_13-40.flac,2020 Iron Point,2020,8,5,13,40,Agelaius tricolor,Simple Call 2,29.4453,29.84,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/08/05/9ryugpjnqtli/d5622592-8c1e-78a6-424a-34961b3e4c5f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766123168&Signature=U48hemfZiXXkAadg5sIvy95v6UY%3D,0.384551,7650
722152343,IPam-2020-08-05_14-00.flac,2020 Iron Point,2020,8,5,14,0,Agelaius tricolor,Simple Call 2,55.9467,56.3413,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/08/05/9ryugpjnqtli/8732fc8f-0384-a23f-c421-56004febbc2b.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766123168&Signature=7da6XL6aP2CE0%2Feot%2FbGyqfz4Y4%3D,0.355419,7650
722152344,IPam-2020-08-05_14-20.flac,2020 Iron Point,2020,8,5,14,20,Agelaius tricolor,Simple Call 2,55.4507,55.8453,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/08/05/9ryugpjnqtli/8d946d02-4ddf-4d97-6404-b24043727a6a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766123168&Signature=Kll55rJO8kjLauL86VzQeMFqQRM%3D,0.560941,7650
