id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
722150612,IPam-2020-08-05_12-00.flac,2020 Iron Point,2020,8,5,12,0,sp22,Simple Call,43.472,44.6773,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/08/05/9ryugpjnqtli/8db9ecfa-58ab-32c3-a2b6-cef12a46b7e7.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764493710&Signature=ikt6U4Zy9nyE%2FERXdZTLXB2g0G4%3D,0.225185,7650
722150613,IPam-2020-08-05_14-00.flac,2020 Iron Point,2020,8,5,14,0,sp22,Simple Call,26.144,27.3493,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/08/05/9ryugpjnqtli/8732fc8f-0384-a23f-c421-56004febbc2b.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764493710&Signature=Iz3OrTH%2B4fWpfA7NYEujcSLCEd0%3D,0.20003,7650
722150614,IPam-2020-08-05_15-14.flac,2020 Iron Point,2020,8,5,15,14,sp22,Simple Call,31.3707,32.576,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/08/05/9ryugpjnqtli/2e61e2dc-9d72-a629-02c7-3144e218463a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764493710&Signature=bbs4%2BvRWDj6UMH4S2IHLG9%2F1TF8%3D,0.296373,7650
722152397,IPam-2020-05-25_10-40.flac,2020 Iron Point,2020,5,25,10,40,sp22,Simple Call,36.6933,37.8987,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/05/25/9ryugpjnqtli/52c21147-ec00-1fe1-27b8-5b63a32148d9.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764493710&Signature=dUbeqtECItkU8%2FHeIPecXlOtmHw%3D,0.214647,7650
722152398,IPam-2020-05-26_09-40.flac,2020 Iron Point,2020,5,26,9,40,sp22,Simple Call,28.976,30.1813,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/05/26/9ryugpjnqtli/4a6b6781-8068-9e49-4795-56568bf70041.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764493710&Signature=ciotoelJ2Pa1UKk%2Bx0W1n%2B%2Fi1f0%3D,0.26957,7650
722152399,IPam-2020-05-26_12-40.flac,2020 Iron Point,2020,5,26,12,40,sp22,Simple Call,39.84,41.0453,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/05/26/9ryugpjnqtli/cb48e21a-36d7-6e3e-c63c-c9a84a4424bb.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764493710&Signature=0anD%2BHXzCN7dHg77XK64MFkaB04%3D,0.206924,7650
722152400,IPam-2020-05-27_10-20.flac,2020 Iron Point,2020,5,27,10,20,sp22,Simple Call,48.9173,50.1227,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/05/27/9ryugpjnqtli/9c543132-72e9-618d-c06d-9866e548c1ed.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764493710&Signature=7UZM8MfGZDgUEyEL614OKSas68c%3D,0.300005,7650
722152515,IPam-2020-07-06_14-20.flac,2020 Iron Point,2020,7,6,14,20,sp22,Simple Call,1.30667,2.512,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/07/06/9ryugpjnqtli/ecd9b154-a06c-b248-c041-3b0cfa1c591e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764493710&Signature=tH3h7XoCC2SK5SnpTEKkSX4OQvQ%3D,0.201729,7650
722152516,IPam-2020-07-06_15-00.flac,2020 Iron Point,2020,7,6,15,0,sp22,Simple Call,27.7653,28.9707,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/07/06/9ryugpjnqtli/aea136b0-47b1-a96c-b85f-cb59e7ad1f90.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764493710&Signature=i1XqhSlHzDsiRHoaCIpKFgLw9lE%3D,0.233488,7650
722152517,IPam-2020-07-07_09-20.flac,2020 Iron Point,2020,7,7,9,20,sp22,Simple Call,56.3947,57.6,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/07/07/9ryugpjnqtli/7b74852d-b1ed-454a-902f-ed57b293804e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764493710&Signature=pdbwlKL2KHGkANAWy7r%2BBhLajgk%3D,0.219977,7650
