id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
640639972,ConEam-2021-07-04_17-20.flac,2021 Conaway East,2021,7,4,17,20,Agelaius tricolor,Simple Call 2,9.58933,9.984,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/07/04/wtgi6n9j1v4g/75ada4bf-a4ed-a7fc-8aa4-af824a54b1e8.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765163684&Signature=qkg%2FeNirHP%2BkkjHsREOnoJawzyQ%3D,0.478263,21652
640639973,ConEam-2021-07-04_19-20.flac,2021 Conaway East,2021,7,4,19,20,Agelaius tricolor,Simple Call 2,57.5093,57.904,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/07/04/wtgi6n9j1v4g/9eaaa065-2c0e-112a-6f1d-f294fed442f9.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765163684&Signature=3swnEhTvZKwOh8sH%2BytVJHbh4b8%3D,0.522331,21652
640639974,ConEam-2021-07-04_19-40.flac,2021 Conaway East,2021,7,4,19,40,Agelaius tricolor,Simple Call 2,20.848,21.2427,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/07/04/wtgi6n9j1v4g/6ce7c720-900d-e435-5157-ae9f3f56791b.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765163684&Signature=up9BFOJREIfEtNazo61liJ2D0KM%3D,0.434161,21652
640639975,ConEam-2021-07-05_06-20.flac,2021 Conaway East,2021,7,5,6,20,Agelaius tricolor,Simple Call 2,55.9093,56.304,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/07/04/wtgi6n9j1v4g/8c3430b0-75b3-cc6c-2368-51ad7770521b.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765163684&Signature=KiSN17GUTefbgq5ApDkLI4RFUUo%3D,0.465173,21652
640639976,ConEam-2021-07-05_07-20.flac,2021 Conaway East,2021,7,5,7,20,Agelaius tricolor,Simple Call 2,6.944,7.33867,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/07/05/wtgi6n9j1v4g/246f64a0-b118-b0fa-1c79-e82b97574b5f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765163684&Signature=J8Kh4ZTSzvmtPiHlXbfzTntQrIw%3D,0.544947,21652
640639977,ConEam-2021-07-05_08-36.flac,2021 Conaway East,2021,7,5,8,36,Agelaius tricolor,Simple Call 2,27.9413,28.336,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/07/05/wtgi6n9j1v4g/d78f3be6-ee9a-b91e-4bc1-5256e4a981d1.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765163684&Signature=T6tS2COZcVVp6ijeFyqskrR7NS0%3D,0.521098,21652
640678326,ConEam-2021-03-30_11-00.flac,2021 Conaway East,2021,3,30,11,0,Agelaius tricolor,Simple Call 2,21.888,22.2827,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/03/30/wtgi6n9j1v4g/1929e868-5e7f-4ead-1bdf-2cf3b8920c27.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765163684&Signature=3qP%2BT7Tt2Ij28MjqkZfhyFKkMPI%3D,0.589529,21652
640678327,ConEam-2021-05-20_14-39.flac,2021 Conaway East,2021,5,20,14,39,Agelaius tricolor,Simple Call 2,31.7333,32.128,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/05/20/wtgi6n9j1v4g/40504902-4536-0c3d-5ae7-00fc3b22f61d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765163684&Signature=px8Cv7WH%2BX7xT%2ByoJ67y9bz8C3w%3D,0.539602,21652
640678328,ConEam-2021-05-20_14-40.flac,2021 Conaway East,2021,5,20,14,40,Agelaius tricolor,Simple Call 2,1.664,2.05867,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/05/20/wtgi6n9j1v4g/4685e79b-29c2-f092-e7ba-a74816ffbade.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765163684&Signature=brHP7Dby4KLXB7BJS6Q%2FlziRxZ8%3D,0.459766,21652
640678329,ConEam-2021-05-23_09-00.flac,2021 Conaway East,2021,5,23,9,0,Agelaius tricolor,Simple Call 2,29.68,30.0747,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/05/23/wtgi6n9j1v4g/b5d5d10e-3b9a-0244-b2af-bc59b08efeb3.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765163684&Signature=XRaLTLIhwj%2Fplz1fjItUB2jcLX8%3D,0.427905,21652
