id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
1082287246,ConWam-2021-06-26_13-00.flac,2021 Conaway West,2021,6,26,13,0,Pseudacris regilla,Common Song,26.3467,26.752,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/26/pnkdem884rwu/6b91d323-b6b4-bc30-3801-0cbb0bf342d2.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767334557&Signature=HZu5vlCRX6%2BIxUBD7xmXc94oAbA%3D,0.234768,21591
1082287247,ConWam-2021-06-26_13-20.flac,2021 Conaway West,2021,6,26,13,20,Pseudacris regilla,Common Song,16.704,17.1093,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/26/pnkdem884rwu/43b3feb5-9154-1c66-d135-c614228139e6.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767334557&Signature=kEQN0JM2oIH%2BeInKHCN7%2B5CBLl0%3D,0.203661,21591
1082287248,ConWam-2021-06-26_13-40.flac,2021 Conaway West,2021,6,26,13,40,Pseudacris regilla,Common Song,5.80267,6.208,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/26/pnkdem884rwu/d001d135-f82d-2838-50d9-4f1fda413f28.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767334557&Signature=FpQfd5tqB%2F%2FeIhMk1h%2FqW2ykbBM%3D,0.263938,21591
1082287249,ConWam-2021-06-26_14-20.flac,2021 Conaway West,2021,6,26,14,20,Pseudacris regilla,Common Song,3.84,4.24533,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/26/pnkdem884rwu/90cdd39f-a5bc-9858-9ae0-1684d96da389.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767334557&Signature=GD1QElSrW0ZvxO34XHIkyfHm9w0%3D,0.215309,21591
1082287250,ConWam-2021-06-26_14-40.flac,2021 Conaway West,2021,6,26,14,40,Pseudacris regilla,Common Song,24.416,24.8213,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/26/pnkdem884rwu/8563d78b-e5ed-7a26-8f91-8f75fa5c26b8.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767334557&Signature=l2dNc0AbssUXCIvmX79WGszo4HQ%3D,0.313818,21591
1082287251,ConWam-2021-06-26_15-00.flac,2021 Conaway West,2021,6,26,15,0,Pseudacris regilla,Common Song,59.1467,59.552,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/26/pnkdem884rwu/89799b23-acf9-ee7a-62e5-ba66aced0821.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767334557&Signature=8SgxibZiFzmxfHCQ44cR4KBPyPc%3D,0.446518,21591
1082287252,ConWam-2021-06-26_15-20.flac,2021 Conaway West,2021,6,26,15,20,Pseudacris regilla,Common Song,3.01867,3.424,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/26/pnkdem884rwu/f56ab17a-bbf5-b84e-0608-3cc1b6a85db9.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767334557&Signature=iRCN%2BebJUR1Zn6dMGQ8%2FyHP1How%3D,0.395259,21591
1082287253,ConWam-2021-06-26_15-40.flac,2021 Conaway West,2021,6,26,15,40,Pseudacris regilla,Common Song,24.8693,25.2747,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/26/pnkdem884rwu/d4b516a9-66e6-233e-5152-efa2b524b1f7.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767334557&Signature=6fZ8Ryyf7tg9QMfIh0Ig7jQmUuo%3D,0.465579,21591
1082287254,ConWam-2021-06-26_16-00.flac,2021 Conaway West,2021,6,26,16,0,Pseudacris regilla,Common Song,32.2933,32.6987,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/26/pnkdem884rwu/e9e7d260-c866-e7a5-5707-e80e89d64848.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767334557&Signature=qpqUjp69s6o2FgjUqU7gGO%2FoZec%3D,0.225576,21591
1082287255,ConWam-2021-06-26_16-40.flac,2021 Conaway West,2021,6,26,16,40,Pseudacris regilla,Common Song,32.1973,32.6027,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/26/pnkdem884rwu/272baf02-bd09-a77c-a7b4-48bf6bef5a8e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767334557&Signature=ius1FPVWTsXyHnx8VXE1IwsVKKg%3D,0.459486,21591
1082287256,ConWam-2021-06-26_17-00.flac,2021 Conaway West,2021,6,26,17,0,Pseudacris regilla,Common Song,39.8293,40.2347,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/26/pnkdem884rwu/7c4ec28a-3865-ad28-0809-59b4b8f330bf.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767334557&Signature=j%2B4T%2F5T8Vn2hB36cWAkyYZhxJE4%3D,0.246938,21591
1082287257,ConWam-2021-06-26_17-20.flac,2021 Conaway West,2021,6,26,17,20,Pseudacris regilla,Common Song,48.5067,48.912,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/26/pnkdem884rwu/83f454be-dac3-9ee3-6ca0-d9f616773220.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767334557&Signature=FQTRMQjcTTeRqZtgKHRJUTzw%2BPI%3D,0.215995,21591
1082287258,ConWam-2021-06-26_18-20.flac,2021 Conaway West,2021,6,26,18,20,Pseudacris regilla,Common Song,33.4613,33.8667,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/26/pnkdem884rwu/3be8a500-fcc5-9364-437b-034ce212e446.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767334557&Signature=OIext8dgSACOCNUnPKxjiGD1cYo%3D,0.370636,21591
1082287259,ConWam-2021-06-26_18-40.flac,2021 Conaway West,2021,6,26,18,40,Pseudacris regilla,Common Song,41.888,42.2933,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/26/pnkdem884rwu/34fc7e09-2ada-7b8f-9bd4-7d83524270cb.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767334557&Signature=79UE2DMldxRO%2FJ6p10sOiH8IiIY%3D,0.2198,21591
1082287260,ConWam-2021-06-26_19-00.flac,2021 Conaway West,2021,6,26,19,0,Pseudacris regilla,Common Song,58.512,58.9173,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/26/pnkdem884rwu/b70db75f-78cb-67d3-dc11-54b6a090ba12.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767334557&Signature=AHXJRIfxT8Ju1y1dDTiJ9Vzvg2c%3D,0.209058,21591
1082287261,ConWam-2021-06-26_19-20.flac,2021 Conaway West,2021,6,26,19,20,Pseudacris regilla,Common Song,58.0533,58.4587,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/26/pnkdem884rwu/c12fbc17-17de-3aae-22bb-8dafc09cfc90.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767334557&Signature=KTaaR4nq1fbdNzThk8bk0EgEyxg%3D,0.243287,21591
