id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
697358870,HLam-2021-04-26_16-40.flac,2021 Hay Landfill,2021,4,26,16,40,Agelaius tricolor,Simple Call 2,18.7093,19.104,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/26/plikxkdrqa5t/d4f85530-c774-3cd9-cf8d-c1d9dc75a805.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764540568&Signature=vR5bu%2FVqm3qkSntCsIOf2H1OAdc%3D,0.334554,11101
697358871,HLam-2021-04-26_17-00.flac,2021 Hay Landfill,2021,4,26,17,0,Agelaius tricolor,Simple Call 2,31.6907,32.0853,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/26/plikxkdrqa5t/e87267f6-cd18-e2b7-82ba-eb8947142080.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764540568&Signature=L%2FW60dxhP92Xfgqas0WY8b6XBWc%3D,0.364765,11101
697358872,HLam-2021-04-26_17-20.flac,2021 Hay Landfill,2021,4,26,17,20,Agelaius tricolor,Simple Call 2,6.26133,6.656,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/26/plikxkdrqa5t/62f431d8-4385-b417-065a-922915d16480.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764540568&Signature=MJHp2ULcoojCIvOrU%2BDMIItVPAE%3D,0.40016,11101
697358873,HLam-2021-04-26_18-40.flac,2021 Hay Landfill,2021,4,26,18,40,Agelaius tricolor,Simple Call 2,8.864,9.25867,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/26/plikxkdrqa5t/11e02ead-5388-3c29-8306-bfdee0f70422.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764540568&Signature=8bA%2FPT7lx33g4IG5wiolk98QVeM%3D,0.352095,11101
697358874,HLam-2021-04-26_19-00.flac,2021 Hay Landfill,2021,4,26,19,0,Agelaius tricolor,Simple Call 2,1.04533,1.44,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/26/plikxkdrqa5t/91ddd4f7-b08b-20e0-91b2-7b615c7450c9.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764540568&Signature=QUutNeoQ%2F5g9eYJaCW9K7hGMLFA%3D,0.27903,11101
697358875,HLam-2021-04-27_09-20.flac,2021 Hay Landfill,2021,4,27,9,20,Agelaius tricolor,Simple Call 2,0.0266667,0.421333,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/27/plikxkdrqa5t/e021856d-0bc6-7a47-8307-2ae31ec87ac8.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764540568&Signature=%2Fa1%2FMpTBa27HhvMFl8W60onAsPA%3D,0.223132,11101
697358876,HLam-2021-04-26_17-40.flac,2021 Hay Landfill,2021,4,26,17,40,Agelaius tricolor,Simple Call 2,56.8587,57.2533,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/26/plikxkdrqa5t/02d818f1-b2a6-d22b-a148-554c33ad9f99.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764540568&Signature=aVqMD6j6%2FuYoqzocKc5z8A2WfyQ%3D,0.304132,11101
697358877,HLam-2021-04-26_18-00.flac,2021 Hay Landfill,2021,4,26,18,0,Agelaius tricolor,Simple Call 2,59.0453,59.44,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/26/plikxkdrqa5t/493685f3-cffd-70d7-ffe9-7c10b41a056f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764540568&Signature=uBSX0lwwTWOwMq0BHkdN2l7scpE%3D,0.419321,11101
697358878,HLam-2021-04-27_10-20.flac,2021 Hay Landfill,2021,4,27,10,20,Agelaius tricolor,Simple Call 2,3.888,4.28267,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/27/plikxkdrqa5t/6f512a4d-e7ab-117d-badd-46bd4eb8b8cf.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764540568&Signature=nWqy4hdSzN6bkqN8sHECSBNqOAQ%3D,0.310999,11101
697358879,HLam-2021-04-27_10-40.flac,2021 Hay Landfill,2021,4,27,10,40,Agelaius tricolor,Simple Call 2,52.4,52.7947,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/27/plikxkdrqa5t/7ef0567e-8ea4-4560-9a00-f52b2c3235e2.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764540568&Signature=S3B5ibw4ck4FOC3C20OKcjTxV40%3D,0.342225,11101
