id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
1078199595,K2am-2021-07-14_11-00.WAV,2021 Kern 2,2021,7,14,11,0,sp32,Simple Call,1.65867,2.496,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/07/14/pem8hxalyx7i/1c7bb6ce-beb4-4c0a-bf79-e4cc2bde4be4.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764541044&Signature=PlDyP1zdz76Cn4mCT0D737Q26bc%3D,0.237404,24544
1078199596,K2am-2021-07-12_10-40.WAV,2021 Kern 2,2021,7,12,10,40,sp32,Simple Call,3.616,4.45333,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/07/12/pem8hxalyx7i/38a6fc17-e334-4ec8-9a72-35a353670c02.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764541044&Signature=hyXW%2F%2BLbyQS8emOiVLEv%2FLK1PtM%3D,0.204318,24544
1078199597,K2am-2021-07-13_09-00.WAV,2021 Kern 2,2021,7,13,9,0,sp32,Simple Call,0.122667,0.96,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/07/13/pem8hxalyx7i/2abc1b85-ec0e-4742-937f-03a7e0ffd846.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764541044&Signature=dyzNwm6dv0O3tGb9qzdt3k0owEw%3D,0.210132,24544
1078199598,K2am-2021-07-11_05-00.WAV,2021 Kern 2,2021,7,11,5,0,sp32,Simple Call,47.2693,48.1067,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/07/11/pem8hxalyx7i/4fb5847c-ea14-4116-8eb6-62474c95ddfc.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764541044&Signature=XYxcQW0fjAw0Y8WfCtiRINCNM8A%3D,0.29834,24544
1078199599,K2am-2021-07-10_21-00.WAV,2021 Kern 2,2021,7,10,21,0,sp32,Simple Call,42.16,42.9973,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/07/11/pem8hxalyx7i/7623b462-b25b-44bb-93e7-dd2a95c2a435.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764541044&Signature=eZ%2FknqQJVcDMlpWHNMxlJ3zr9bo%3D,0.224316,24544
1078199600,K2am-2021-07-09_21-00.WAV,2021 Kern 2,2021,7,9,21,0,sp32,Simple Call,27.392,28.2293,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/07/10/pem8hxalyx7i/03aa0a90-0b11-4f9a-b01b-43541cc0d2e2.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764541044&Signature=MpzgTmV8ksJAGVYkyLp3EPRuQQA%3D,0.243559,24544
1078199601,K2am-2021-07-09_05-00.WAV,2021 Kern 2,2021,7,9,5,0,sp32,Simple Call,18.304,19.1413,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/07/09/pem8hxalyx7i/b37c82ba-3305-4bbb-80e5-2f2d5018de33.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764541044&Signature=tezOgbu3vyXME8FQZXDp48M1qYo%3D,0.292174,24544
1078199602,K2am-2021-07-07_08-00.WAV,2021 Kern 2,2021,7,7,8,0,sp32,Simple Call,5.808,6.64533,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/07/07/pem8hxalyx7i/3345df3c-b73f-438e-bca1-8f750049abfa.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764541044&Signature=VK3aOQAiASU7nTTscOc%2BOTYyBcg%3D,0.230962,24544
1078199603,K2am-2021-07-07_02-00.WAV,2021 Kern 2,2021,7,7,2,0,sp32,Simple Call,12.5013,13.3387,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/07/07/pem8hxalyx7i/68581be0-373c-4a05-8c25-011818c7d910.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764541044&Signature=bx%2BJcnVl7yU52pIieRTyZyeQamc%3D,0.226441,24544
1078199621,K2am-2021-06-27_21-00.WAV,2021 Kern 2,2021,6,27,21,0,sp32,Simple Call,37.0613,37.8987,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/28/pem8hxalyx7i/fc66a741-538e-4b4e-b1e5-bc88d5c344c8.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764541044&Signature=7qI8%2BkC5bZDnmgkFY6fOzMYxGxU%3D,0.241265,24544
